,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,98.94,87.86,105.84,86.2,79.63,73.54,70.84,56.87,64.17,78.28,96.0,96.1
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,75.85,72.69,98.07,78.64,70.26,63.61,60.12,47.86,51.56,63.61,77.65,72.96
2,2,1003A,116.4174,39.9289,东四,北京,94.35,87.01,109.47,89.96,81.59,76.24,74.31,59.29,66.94,81.61,97.98,93.87
3,3,1004A,116.4072,39.8863,天坛,北京,96.59,85.53,102.37,83.69,77.39,73.35,70.34,56.28,61.6,75.1,92.69,93.77
4,4,1005A,116.462,39.9365,农展馆,北京,94.35,84.75,105.78,87.37,80.8,76.29,71.06,57.42,64.54,79.13,95.67,93.88
5,5,1006A,116.3392,39.9295,官园,北京,91.96,82.47,104.13,86.97,81.35,74.84,73.21,58.34,64.22,79.42,95.8,90.77
6,6,1007A,116.2878,39.9611,海淀万柳,北京,91.16,83.88,105.09,85.71,78.32,73.45,70.65,56.06,61.94,75.76,91.69,89.04
7,7,1008A,116.6636,40.135,顺义新城,北京,85.77,83.24,104.4,86.83,79.12,73.77,68.85,55.06,61.5,76.24,91.04,84.33
8,8,1009A,116.6275,40.3275,怀柔镇,北京,73.44,72.48,97.55,78.57,72.84,65.03,60.79,48.61,51.95,66.87,78.64,71.01
9,9,1010A,116.2296,40.217,昌平镇,北京,81.95,76.31,97.7,81.72,74.06,67.08,63.02,50.69,55.32,67.77,82.45,79.54
10,10,1011A,116.3966,39.9821,奥体中心,北京,88.35,83.18,106.86,87.21,80.42,73.95,71.25,55.54,63.81,78.29,94.49,87.81
11,11,1012A,116.184,39.9136,古城,北京,95.67,85.52,110.76,91.68,82.95,76.52,71.94,59.4,65.03,82.48,99.29,93.42
12,12,1015A,117.1444,39.1661,勤俭道,天津,111.93,93.46,102.17,89.91,78.17,78.19,69.33,60.98,68.05,80.88,100.3,111.15
