,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1001A,116.3621,39.8784,万寿西宫,北京,115.5,107.77,91.35,83.88,73.35,66.04,65.73,59.08
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,94.14,87.14,73.83,74.19,61.23,56.0,57.53,50.61
2,2,1003A,116.4174,39.9289,东四,北京,118.33,109.49,91.43,86.41,74.54,66.93,67.89,60.31
3,3,1004A,116.4072,39.8863,天坛,北京,113.2,104.22,88.08,82.15,73.07,64.72,63.6,56.53
4,4,1005A,116.462,39.9365,农展馆,北京,115.81,105.5,89.5,84.62,73.26,66.42,66.68,58.96
5,5,1006A,116.3392,39.9295,官园,北京,112.18,107.26,89.28,84.35,72.35,65.71,65.76,58.75
6,6,1007A,116.2878,39.9611,海淀万柳,北京,111.43,100.64,85.1,82.12,71.71,66.2,65.16,58.82
7,7,1008A,116.6636,40.135,顺义新城,北京,109.81,98.97,85.54,83.77,69.58,63.95,65.23,56.12
8,8,1009A,116.6275,40.3275,怀柔镇,北京,98.37,87.72,76.84,71.76,59.16,55.39,58.09,50.83
9,9,1010A,116.2296,40.217,昌平镇,北京,97.93,89.79,79.73,77.45,65.06,59.74,62.12,52.96
10,10,1011A,116.3966,39.9821,奥体中心,北京,113.58,102.32,85.18,84.81,72.27,64.73,65.89,58.5
11,11,1012A,116.184,39.9136,古城,北京,116.48,109.34,92.07,85.14,73.72,68.49,70.57,60.2
12,12,1015A,117.1444,39.1661,勤俭道,天津,103.15,103.75,97.07,87.42,87.53,77.99,72.55,66.8
13,13,1017A,117.237,39.1082,大直沽八号路,天津,102.03,101.03,96.05,85.29,85.05,77.41,72.44,63.95
14,14,1018A,117.202,39.0927,前进道,天津,105.71,103.14,96.51,84.25,83.51,78.73,70.22,62.69
15,15,1021A,117.307,39.0877,跃进路,天津,103.7,101.79,96.11,86.36,84.32,78.27,73.8,65.2
16,16,1023A,117.707,39.0343,第四大街,天津,107.19,93.74,92.02,80.77,79.56,76.65,68.09,63.03
17,17,1024A,117.457,38.8394,永明路,天津,102.82,97.26,94.07,84.23,82.29,75.71,69.16,63.21
18,18,1026A,117.764,39.1587,汉北路,天津,95.05,89.08,88.49,78.41,78.42,73.26,66.55,61.96
19,19,1027A,117.157,38.9194,团泊洼(对照点),天津,120.28,117.23,101.38,90.28,85.32,79.5,71.72,65.14
20,20,1029A,114.4422,38.0444,职工医院,石家庄,119.97,135.16,129.06,112.31,101.78,92.27,86.19,79.32
21,21,1030A,114.6063,38.0266,高新区,石家庄,124.64,135.57,129.43,111.27,99.96,91.44,82.87,77.46
22,22,1031A,114.4898,38.1328,西北水源,石家庄,134.15,133.83,132.2,115.96,105.29,93.11,86.67,78.72
23,23,1032A,114.4586,38.0058,西南高教,石家庄,118.64,131.54,121.56,101.22,99.99,90.58,82.41,78.17
24,24,1033A,114.5331,38.0178,世纪公园,石家庄,126.79,136.17,118.73,106.22,96.74,86.72,80.34,76.06
25,25,1034A,114.509,38.0457,人民会堂,石家庄,122.43,135.38,124.07,106.98,98.95,89.23,82.59,78.05
26,26,1037A,118.131,39.6363,雷达站,唐山,118.38,107.19,96.6,89.79,83.87,74.88,75.73,68.58
27,27,1040A,118.1705,39.6506,十二中,唐山,125.13,113.3,106.24,94.91,88.31,79.48,77.6,65.32
28,28,1041A,118.1869,39.622,小山,唐山,123.76,110.05,104.09,94.57,86.86,78.29,73.61,64.15
29,29,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,74.59,66.45,67.36,57.1,67.38,56.34,57.71,51.55
30,30,1043A,119.7493,40.0116,第一关,秦皇岛,84.0,75.85,69.27,63.15,66.51,61.09,65.25,54.79
31,31,1044A,119.5897,39.9499,监测站,秦皇岛,81.88,75.17,76.1,73.15,69.82,59.7,64.07,54.93
32,32,1046A,119.5251,39.9041,建设大厦,秦皇岛,80.22,81.39,81.31,77.17,73.08,63.9,65.38,55.63
33,33,1048A,114.5302,36.6116,东污水处理厂,邯郸,129.81,116.61,128.01,107.31,103.77,88.91,82.37,82.44
34,34,1049A,114.4918,36.5713,矿院,邯郸,140.64,126.07,125.11,113.96,106.12,93.29,83.16,82.96
35,35,1050A,114.484,36.6133,丛台公园,邯郸,126.2,115.97,124.63,104.02,101.42,88.36,80.87,80.44
36,36,1051A,115.493,38.8632,游泳馆,保定,144.46,123.45,117.45,97.56,86.98,77.29,76.4,75.49
37,37,1053A,115.4713,38.9108,接待中心,保定,137.97,127.59,118.47,103.79,93.28,79.99,77.79,75.14
38,38,1056A,115.5086,38.8639,监测站,保定,147.51,128.25,118.21,99.79,89.7,80.02,77.16,77.83
39,39,1057A,114.8883,40.8336,人民公园,张家口,68.94,68.0,63.7,66.86,54.68,52.23,55.19,43.58
40,40,1059A,114.8687,40.8042,五金库,张家口,67.52,69.9,65.81,69.28,55.62,50.41,55.56,44.74
41,41,1060A,114.8902,40.762,世纪豪园,张家口,71.77,72.92,66.52,71.79,59.92,54.54,59.82,46.83
42,42,1063A,117.9392,40.9763,中国银行,承德,73.54,70.7,67.13,65.47,56.17,51.91,54.94,46.55
43,43,1064A,117.9503,40.928,开发区,承德,76.73,68.81,67.08,63.74,53.48,49.52,54.35,47.65
44,44,1067A,116.6708,39.5111,药材公司,廊坊,121.9,99.52,90.23,82.9,75.62,71.85,70.89,63.53
45,45,1070A,116.7244,39.5269,北华航天学院,廊坊,114.32,98.79,91.93,84.51,77.54,70.76,72.27,68.19
