,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,1.35,0.98,0.87,0.64,0.63,0.77,0.79,0.76,0.75,0.81,1.09,1.3
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,0.97,0.74,0.68,0.48,0.45,0.55,0.58,0.57,0.52,0.56,0.8,0.89
2,2,1003A,116.4174,39.9289,东四,北京,1.26,0.93,0.92,0.64,0.65,0.83,0.8,0.76,0.75,0.8,1.13,1.25
3,3,1004A,116.4072,39.8863,天坛,北京,1.3,0.97,0.86,0.64,0.61,0.79,0.77,0.75,0.74,0.8,1.08,1.27
4,4,1005A,116.462,39.9365,农展馆,北京,1.28,0.95,0.85,0.64,0.62,0.84,0.81,0.76,0.73,0.81,1.08,1.31
5,5,1006A,116.3392,39.9295,官园,北京,1.21,0.91,0.83,0.6,0.6,0.78,0.77,0.73,0.7,0.77,1.04,1.22
6,6,1007A,116.2878,39.9611,海淀万柳,北京,1.4,0.97,0.88,0.6,0.58,0.76,0.71,0.67,0.67,0.74,1.08,1.25
7,7,1008A,116.6636,40.135,顺义新城,北京,1.19,0.91,0.85,0.63,0.64,0.75,0.72,0.65,0.6,0.67,0.98,1.17
8,8,1009A,116.6275,40.3275,怀柔镇,北京,0.95,0.8,0.75,0.55,0.52,0.64,0.65,0.59,0.55,0.59,0.82,0.94
9,9,1010A,116.2296,40.217,昌平镇,北京,1.21,0.88,0.8,0.55,0.51,0.61,0.66,0.61,0.61,0.67,1.0,1.17
10,10,1011A,116.3966,39.9821,奥体中心,北京,1.29,0.96,0.88,0.59,0.57,0.71,0.69,0.65,0.69,0.77,1.11,1.31
11,11,1012A,116.184,39.9136,古城,北京,1.29,0.94,0.85,0.59,0.55,0.71,0.66,0.65,0.66,0.77,1.04,1.27
12,12,1015A,117.1444,39.1661,勤俭道,天津,1.61,1.22,1.03,0.8,0.76,0.91,0.81,0.89,0.89,0.97,1.32,1.49
13,13,1017A,117.237,39.1082,大直沽八号路,天津,1.52,1.1,1.1,0.86,0.82,0.98,0.98,0.88,0.95,0.99,1.24,1.35
14,14,1018A,117.202,39.0927,前进道,天津,1.54,1.24,1.13,0.89,0.84,1.0,0.88,0.93,0.9,0.93,1.31,1.44
15,15,1021A,117.307,39.0877,跃进路,天津,1.57,1.28,1.17,0.93,0.83,0.99,0.95,0.91,0.94,1.05,1.33,1.55
16,16,1023A,117.707,39.0343,第四大街,天津,1.55,1.15,1.11,0.83,0.76,0.86,0.74,0.91,0.98,1.02,1.27,1.35
17,17,1024A,117.457,38.8394,永明路,天津,1.51,1.15,1.04,0.83,0.72,0.87,0.79,0.95,0.91,0.95,1.26,1.31
18,18,1026A,117.764,39.1587,汉北路,天津,1.59,1.16,1.12,0.9,0.86,0.93,0.76,0.89,0.93,1.05,1.25,1.32
19,19,1027A,117.157,38.9194,团泊洼(对照点),天津,1.55,1.18,1.14,0.96,0.9,1.0,1.01,1.08,0.95,1.01,1.27,1.46
20,20,1029A,114.4422,38.0444,职工医院,石家庄,2.34,1.43,1.19,0.78,0.66,0.67,0.67,0.73,0.86,0.98,1.34,1.81
21,21,1030A,114.6063,38.0266,高新区,石家庄,2.2,1.46,1.02,0.8,0.74,0.76,0.72,0.7,0.77,0.88,1.29,1.94
22,22,1031A,114.4898,38.1328,西北水源,石家庄,2.17,1.47,1.02,0.78,0.7,0.69,0.62,0.65,0.73,0.82,1.28,1.85
23,23,1032A,114.4586,38.0058,西南高教,石家庄,2.29,1.41,1.1,0.86,0.77,0.8,0.83,0.83,1.0,1.05,1.38,1.9
24,24,1033A,114.5331,38.0178,世纪公园,石家庄,2.45,1.51,1.12,0.83,0.76,0.82,0.74,0.76,0.85,0.99,1.37,2.02
25,25,1034A,114.509,38.0457,人民会堂,石家庄,1.94,1.24,1.01,0.77,0.63,0.66,0.62,0.65,0.73,0.88,1.18,1.65
26,26,1037A,118.131,39.6363,雷达站,唐山,2.27,1.81,1.56,1.32,1.26,1.56,1.51,1.36,1.31,1.36,1.74,2.02
27,27,1040A,118.1705,39.6506,十二中,唐山,2.18,1.87,1.72,1.44,1.33,1.59,1.59,1.45,1.42,1.46,1.73,1.94
28,28,1041A,118.1869,39.622,小山,唐山,2.08,1.71,1.54,1.31,1.18,1.44,1.42,1.45,1.38,1.39,1.69,1.87
29,29,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,1.66,1.42,1.23,0.95,0.81,0.64,0.59,0.77,0.79,0.99,1.2,1.39
30,30,1043A,119.7493,40.0116,第一关,秦皇岛,1.83,1.59,1.26,0.83,0.75,0.65,0.56,0.67,0.71,0.9,1.16,1.53
31,31,1044A,119.5897,39.9499,监测站,秦皇岛,1.82,1.59,1.38,1.13,1.0,0.82,0.71,0.8,0.89,1.13,1.23,1.45
32,32,1046A,119.5251,39.9041,建设大厦,秦皇岛,1.64,1.3,1.21,0.88,0.84,0.7,0.6,0.69,0.75,1.0,1.22,1.44
33,33,1048A,114.5302,36.6116,东污水处理厂,邯郸,2.13,1.55,0.94,0.83,0.82,0.92,0.87,0.95,1.09,1.07,1.31,1.83
34,34,1049A,114.4918,36.5713,矿院,邯郸,2.12,1.58,1.0,0.84,0.81,0.84,0.84,0.94,1.0,1.04,1.25,1.83
35,35,1050A,114.484,36.6133,丛台公园,邯郸,2.28,1.77,1.12,0.94,0.9,0.95,0.87,1.1,1.17,1.27,1.46,2.12
36,36,1051A,115.493,38.8632,游泳馆,保定,2.36,1.59,0.95,0.7,0.65,0.62,0.59,0.58,0.64,0.83,1.26,2.1
37,37,1053A,115.4713,38.9108,接待中心,保定,2.44,1.58,0.98,0.7,0.63,0.73,0.65,0.62,0.68,0.75,1.18,1.91
38,38,1056A,115.5086,38.8639,监测站,保定,2.42,1.74,1.11,0.7,0.68,0.68,0.71,0.79,0.64,0.79,1.31,2.02
39,39,1057A,114.8883,40.8336,人民公园,张家口,0.78,0.77,0.73,0.51,0.49,0.37,0.41,0.37,0.36,0.43,0.67,0.73
40,40,1059A,114.8687,40.8042,五金库,张家口,0.99,0.79,0.87,0.75,0.67,0.55,0.56,0.46,0.45,0.55,0.76,0.74
41,41,1060A,114.8902,40.762,世纪豪园,张家口,0.97,0.92,0.88,0.7,0.57,0.5,0.52,0.47,0.43,0.57,0.87,0.91
42,42,1062A,117.9531,40.9081,铁路,承德,1.32,1.02,0.82,0.62,0.61,0.61,0.69,0.64,0.62,0.7,1.07,1.28
43,43,1063A,117.9392,40.9763,中国银行,承德,1.35,1.1,0.9,0.61,0.62,0.61,0.7,0.65,0.61,0.8,1.1,1.25
44,44,1064A,117.9503,40.928,开发区,承德,1.48,1.03,0.92,0.66,0.62,0.64,0.75,0.65,0.61,0.7,1.05,1.26
45,45,1067A,116.6708,39.5111,药材公司,廊坊,1.57,1.16,0.97,0.75,0.71,0.79,0.81,0.73,0.73,0.82,1.16,1.54
46,46,1070A,116.7244,39.5269,北华航天学院,廊坊,1.52,1.11,0.93,0.75,0.7,0.79,0.83,0.76,0.7,0.86,1.18,1.47
47,47,1071A,116.8842,38.2991,沧县城建局,沧州,1.7,1.25,0.94,0.75,0.66,0.68,0.59,0.72,0.72,0.85,1.15,1.62
48,48,1072A,116.8584,38.3254,电视转播站,沧州,1.64,1.15,0.79,0.65,0.57,0.58,0.51,0.58,0.64,0.77,1.18,1.64
49,49,1073A,116.8709,38.3228,市环保局,沧州,1.5,1.12,0.78,0.63,0.59,0.58,0.46,0.53,0.54,0.67,1.03,1.41
50,50,1074A,115.6838,37.7541,电机北厂,衡水,1.74,1.26,0.91,0.65,0.63,0.67,0.67,0.75,0.84,0.87,1.13,1.56
51,51,1075A,115.6303,37.7316,市监测站,衡水,1.73,1.32,0.84,0.66,0.66,0.65,0.75,0.73,0.76,0.79,0.97,1.58
52,52,1077A,114.4704,37.0886,达活泉,邢台,2.34,1.61,1.17,1.06,1.05,1.07,0.97,0.91,1.11,1.21,1.44,2.03
53,53,1079A,114.5237,37.0851,路桥公司,邢台,2.32,1.59,1.15,0.99,0.92,0.92,0.9,0.85,0.97,1.08,1.31,2.02
54,54,1081A,112.5139,37.8873,尖草坪,太原,1.64,1.36,1.26,0.93,0.72,0.89,0.94,0.85,0.89,1.04,1.24,1.27
55,55,1084A,112.469,37.7124,晋源,太原,2.01,1.49,1.21,0.81,0.7,0.85,0.77,0.76,0.85,1.01,1.44,1.66
56,56,1085A,112.5583,37.7394,小店,太原,2.01,1.48,1.26,1.04,0.85,0.9,0.81,0.88,0.95,1.22,1.47,1.62
57,57,1086A,112.5369,37.8692,桃园,太原,1.88,1.65,1.16,0.94,0.88,1.03,0.86,0.9,0.97,1.21,1.31,1.33
58,58,1087A,112.57,37.8195,坞城,太原,1.84,1.58,1.33,0.81,0.78,0.94,0.87,0.91,1.0,1.18,1.28,1.4
59,59,1088A,112.549,37.9854,南寨,太原,1.62,1.39,1.09,0.84,0.85,0.91,0.92,0.91,0.87,1.03,1.21,1.26
60,60,1091A,111.6572,40.8033,小召,呼和浩特,1.8,1.33,1.06,0.78,0.64,0.65,0.73,0.73,0.74,0.86,1.3,1.57
61,61,1094A,111.7516,40.8369,如意水处理厂,呼和浩特,1.89,1.46,1.02,0.7,0.56,0.59,0.62,0.61,0.59,0.75,1.21,1.52
62,62,1095A,111.7276,40.8062,二十九中,呼和浩特,1.46,1.12,0.91,0.69,0.57,0.62,0.64,0.65,0.65,0.82,1.18,1.35
63,63,1097A,111.717,40.7612,化肥厂生活区,呼和浩特,1.95,1.38,1.17,0.8,0.6,0.63,0.67,0.66,0.7,0.89,1.27,1.62
64,64,1099A,123.505,41.7406,浑南东路,沈阳,1.37,1.06,0.94,0.78,0.71,0.78,0.85,0.82,0.87,0.97,1.03,1.28
65,65,1100A,123.4231,41.6989,新秀街,沈阳,1.36,1.06,0.96,0.79,0.73,0.84,0.85,0.86,0.82,0.94,0.97,1.15
66,66,1102A,123.5903,41.8411,东陵路,沈阳,1.35,1.02,0.93,0.8,0.77,0.81,0.8,0.76,0.79,0.94,0.98,1.17
67,67,1103A,123.4264,41.8467,陵东街,沈阳,1.45,1.08,0.97,0.8,0.72,0.82,0.82,0.83,0.95,1.02,1.05,1.21
68,68,1104A,123.4114,41.7653,文化路,沈阳,1.29,1.01,0.94,0.81,0.72,0.8,0.77,0.8,0.84,0.92,0.99,1.16
69,69,1105A,123.4678,41.7867,小河沿,沈阳,1.31,1.04,0.91,0.76,0.68,0.72,0.75,0.78,0.83,1.01,0.96,1.15
70,70,1106A,123.4017,41.7972,太原街,沈阳,1.28,1.07,0.98,0.82,0.71,0.74,0.74,0.76,0.87,1.03,0.98,1.15
71,71,1108A,123.3783,41.9228,京沈街,沈阳,1.21,0.96,0.86,0.74,0.67,0.71,0.74,0.72,0.79,0.86,0.93,1.11
72,72,1109A,121.612,38.9741,甘井子,大连,0.85,0.79,0.75,0.61,0.57,0.56,0.62,0.64,0.6,0.63,0.69,0.79
73,73,1110A,121.565,38.9511,周水子,大连,1.0,0.85,0.83,0.75,0.7,0.69,0.68,0.76,0.76,0.82,0.87,0.95
74,74,1111A,121.5637,38.8845,星海三站,大连,1.04,0.9,0.82,0.75,0.68,0.64,0.66,0.74,0.74,0.81,0.85,0.86
75,75,1112A,121.6302,38.9117,青泥洼桥,大连,1.11,0.98,0.96,0.8,0.66,0.74,0.8,0.84,0.84,0.89,1.0,1.03
76,76,1113A,121.6251,38.8638,傅家庄,大连,0.88,0.76,0.72,0.61,0.66,0.62,0.62,0.73,0.76,0.77,0.85,0.87
77,77,1115A,121.2529,38.8061,旅顺,大连,0.94,0.84,0.8,0.64,0.61,0.62,0.66,0.65,0.7,0.67,0.78,0.8
78,78,1116A,121.7485,39.1311,金州,大连,0.96,0.84,0.83,0.68,0.64,0.64,0.67,0.66,0.7,0.72,0.84,0.93
79,79,1117A,121.7811,39.0496,开发区,大连,1.03,0.84,0.8,0.73,0.71,0.78,0.81,0.81,0.76,0.76,0.83,0.89
80,80,1119A,125.3325,43.9166,食品厂,长春,1.21,1.03,0.91,0.81,0.68,0.74,0.75,0.73,0.74,0.85,0.95,1.06
81,81,1120A,125.2863,43.9027,客车厂,长春,1.15,0.96,0.89,0.84,0.69,0.7,0.71,0.7,0.79,0.91,0.86,0.99
82,82,1121A,125.2841,43.8463,邮电学院,长春,1.24,0.99,0.94,0.86,0.74,0.76,0.73,0.75,0.75,0.9,0.96,1.07
83,83,1123A,125.3297,43.8805,园林处,长春,1.09,0.87,0.83,0.74,0.65,0.71,0.72,0.68,0.67,0.76,0.85,0.95
84,84,1126A,125.3863,43.8447,经开区环卫处,长春,1.24,0.99,0.88,0.8,0.61,0.58,0.58,0.62,0.66,0.82,0.84,1.01
85,85,1127A,125.245,43.7783,高新区管委会,长春,1.11,0.92,0.82,0.73,0.56,0.53,0.55,0.59,0.57,0.75,0.85,0.93
86,86,1128A,125.1761,43.8325,岱山公园,长春,1.13,0.91,0.79,0.68,0.56,0.54,0.55,0.57,0.59,0.75,0.79,1.0
87,87,1129A,126.5422,45.755,岭北(对照点),哈尔滨,1.32,1.3,1.03,0.85,0.62,0.66,0.63,0.61,0.69,0.85,0.98,1.04
88,88,1130A,126.561,45.8167,松北商大,哈尔滨,1.15,1.11,1.13,0.91,0.65,0.63,0.72,0.69,0.8,0.83,0.85,0.98
89,89,1131A,126.979,45.5419,阿城会宁,哈尔滨,1.44,1.28,1.02,0.95,0.62,0.55,0.66,0.59,0.63,0.8,0.99,1.14
90,90,1133A,126.689,45.7733,太平宏伟公园,哈尔滨,1.46,1.35,1.09,0.9,0.6,0.58,0.66,0.64,0.67,0.71,0.86,1.19
91,91,1134A,126.635,45.7667,道外承德广场,哈尔滨,1.14,1.06,0.87,0.81,0.58,0.62,0.59,0.52,0.58,0.74,0.84,0.94
92,92,1137A,126.593,45.7478,道里建国路,哈尔滨,1.12,1.06,0.9,0.81,0.7,0.71,0.87,0.81,0.76,0.74,0.92,0.96
93,93,1142A,121.478,31.2036,十五厂,上海,1.06,0.84,0.75,0.76,0.82,0.68,0.64,0.67,0.75,0.65,0.8,0.97
94,94,1143A,121.467,31.3008,虹口,上海,0.94,0.77,0.71,0.67,0.71,0.54,0.53,0.54,0.67,0.65,0.8,0.96
95,95,1144A,121.412,31.1654,徐汇上师大,上海,0.94,0.79,0.77,0.79,0.78,0.73,0.6,0.69,0.8,0.68,0.85,0.92
96,96,1145A,121.536,31.2659,杨浦四漂,上海,0.9,0.73,0.65,0.63,0.57,0.62,0.67,0.67,0.72,0.74,0.86,0.98
97,97,1148A,121.703,31.1907,浦东川沙,上海,0.85,0.71,0.6,0.62,0.66,0.56,0.54,0.58,0.58,0.57,0.69,0.85
98,98,1149A,121.533,31.2284,浦东新区监测站,上海,0.91,0.75,0.66,0.65,0.67,0.6,0.57,0.54,0.63,0.63,0.73,0.91
99,99,1150A,121.577,31.2071,浦东张江,上海,0.78,0.68,0.66,0.74,0.72,0.64,0.61,0.57,0.6,0.56,0.66,0.79
100,100,1151A,118.8086,32.1065,迈皋桥,南京,1.16,1.09,0.95,0.9,0.9,0.77,0.72,0.63,0.69,0.79,0.87,1.0
101,101,1152A,118.7538,32.0551,草场门,南京,1.06,0.87,0.88,0.87,0.83,0.77,0.74,0.76,0.79,0.74,0.9,1.03
102,102,1153A,118.7794,32.0745,山西路,南京,0.99,0.86,0.92,0.71,0.66,0.65,0.7,0.67,0.59,0.59,0.7,0.91
103,103,1154A,118.7752,32.0023,中华门,南京,1.09,0.95,0.85,0.81,0.78,0.83,0.84,0.83,0.74,0.78,0.85,1.0
104,104,1155A,118.8109,32.0309,瑞金路,南京,1.16,1.09,1.08,0.93,0.98,0.84,0.85,0.81,0.91,0.88,1.06,1.13
105,105,1156A,118.7997,32.0754,玄武湖,南京,1.04,0.92,0.91,0.83,0.73,0.76,0.72,0.68,0.66,0.66,0.79,0.95
106,106,1158A,118.7356,31.9996,奥体中心,南京,0.97,0.84,0.81,0.81,0.72,0.69,0.66,0.64,0.68,0.7,0.86,0.92
107,107,1159A,118.9125,32.1028,仙林大学城,南京,0.98,0.88,0.92,0.84,0.83,0.76,0.71,0.68,0.66,0.64,0.79,0.95
108,108,1163A,120.596,31.3264,轧钢厂,苏州,1.08,0.85,0.84,0.78,0.72,0.7,0.6,0.59,0.72,0.71,0.9,1.08
109,109,1164A,120.613,31.2703,吴中区,苏州,0.93,0.77,0.69,0.64,0.55,0.57,0.56,0.66,0.71,0.67,0.8,0.96
110,110,1166A,120.669,31.3097,苏州工业园区,苏州,0.95,0.8,0.68,0.71,0.69,0.62,0.6,0.69,0.8,0.73,0.86,0.97
111,111,1168A,120.9098,31.9663,狼山街道,南通,0.93,0.77,0.72,0.68,0.56,0.51,0.53,0.52,0.57,0.46,0.64,0.85
112,112,1169A,120.86,32.0005,虹桥,南通,0.85,0.79,0.78,0.76,0.69,0.63,0.61,0.6,0.61,0.6,0.71,0.8
113,113,1170A,120.87,32.02,城中,南通,0.9,0.84,0.85,0.76,0.6,0.59,0.56,0.53,0.57,0.53,0.74,0.92
114,114,1171A,120.94,31.93,星湖花园,南通,0.94,0.83,0.85,0.76,0.66,0.67,0.69,0.67,0.66,0.57,0.73,0.89
115,115,1172A,120.81,32.0417,紫琅学院,南通,0.78,0.73,0.68,0.68,0.62,0.59,0.6,0.64,0.58,0.5,0.62,0.79
116,116,1173A,119.176,34.5885,市环境监测站,连云港,1.25,0.97,0.76,0.73,0.61,0.6,0.6,0.64,0.68,0.76,0.91,1.14
117,117,1177A,117.179,34.2761,黄河新村,徐州,1.42,1.12,0.96,0.85,0.77,0.78,0.74,0.85,0.87,0.96,1.05,1.27
118,118,1178A,117.1918,34.2384,淮塔,徐州,1.36,1.11,0.98,0.94,0.83,0.75,0.68,0.79,0.84,0.88,0.99,1.19
119,119,1180A,117.256,34.2153,新城区,徐州,1.42,1.19,1.15,0.98,0.82,0.87,0.74,0.84,0.94,0.98,1.06,1.23
120,120,1181A,117.244,34.2911,桃园路,徐州,1.44,1.11,0.83,0.78,0.75,0.73,0.64,0.75,0.85,0.96,1.0,1.17
121,121,1182A,117.2933,34.2778,农科院,徐州,1.38,1.17,1.15,0.85,0.82,0.83,0.78,0.81,0.82,0.9,0.99,1.23
122,122,1188A,120.269,31.4867,雪浪,无锡,1.09,0.91,1.01,0.84,0.87,0.71,0.67,0.76,0.82,0.72,0.85,1.03
123,123,1191A,120.242,31.5031,漆塘,无锡,1.2,0.99,0.89,0.8,0.83,0.69,0.66,0.69,0.81,0.81,0.86,1.07
124,124,1193A,120.354,31.5475,旺庄,无锡,1.16,0.97,0.89,0.86,0.85,0.73,0.65,0.71,0.86,0.81,0.98,1.05
125,125,1195A,120.299,31.6817,堰桥,无锡,1.27,1.08,1.11,1.08,0.96,0.84,0.78,0.76,0.87,0.89,1.01,1.18
126,126,1196A,119.9633,31.762,市监测站,常州,1.18,0.97,0.98,0.91,0.88,0.86,0.73,0.67,0.72,0.75,0.9,1.07
127,127,1200A,119.9468,31.7069,武进监测站,常州,1.11,0.94,0.88,0.88,0.84,0.84,0.79,0.77,0.73,0.74,0.89,1.03
128,128,1201A,119.9255,31.9087,安家,常州,1.03,0.84,0.81,0.78,0.84,0.81,0.73,0.65,0.66,0.63,0.76,0.98
129,129,1203A,119.6707,32.1875,新区办事处,镇江,0.87,0.75,0.76,0.79,0.78,0.73,0.74,0.71,0.72,0.71,0.75,0.83
130,130,1204A,119.4974,32.1968,职教中心,镇江,0.89,0.78,0.77,0.74,0.77,0.76,0.77,0.72,0.67,0.66,0.78,0.8
131,131,1205A,119.4303,32.1328,丹徒区监测站,镇江,0.92,0.77,0.73,0.73,0.69,0.69,0.67,0.7,0.71,0.63,0.72,0.83
132,132,1206A,119.905,32.4878,公园路,泰州,1.02,0.96,0.95,0.89,0.87,0.88,0.76,0.72,0.8,0.78,0.92,1.08
133,133,1207A,119.9189,32.4625,莲花,泰州,1.12,0.96,0.8,0.82,0.82,0.76,0.75,0.75,0.79,0.86,0.9,1.02
134,134,1209A,119.888,32.4639,留学生创业园,泰州,0.86,0.79,0.78,0.79,0.7,0.66,0.66,0.62,0.6,0.62,0.77,0.92
135,135,1210A,119.036,33.5981,钵池山,淮安,1.1,0.94,0.9,0.84,0.78,0.7,0.59,0.61,0.68,0.7,0.76,0.97
