,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1001A,116.3621,39.8784,万寿西宫,北京,1.37,1.23,1.04,0.89,0.75,0.65,0.64,0.58
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,0.97,0.87,0.72,0.64,0.57,0.52,0.49,0.4
2,2,1003A,116.4174,39.9289,东四,北京,1.37,1.23,1.02,0.84,0.77,0.71,0.67,0.53
3,3,1004A,116.4072,39.8863,天坛,北京,1.32,1.2,1.0,0.9,0.76,0.67,0.68,0.52
4,4,1005A,116.462,39.9365,农展馆,北京,1.41,1.21,1.0,0.89,0.77,0.65,0.65,0.54
5,5,1006A,116.3392,39.9295,官园,北京,1.33,1.17,0.94,0.78,0.72,0.66,0.65,0.53
6,6,1007A,116.2878,39.9611,海淀万柳,北京,1.34,1.23,1.0,0.82,0.71,0.66,0.61,0.51
7,7,1008A,116.6636,40.135,顺义新城,北京,1.21,1.08,1.01,0.87,0.67,0.57,0.62,0.46
8,8,1009A,116.6275,40.3275,怀柔镇,北京,1.05,0.92,0.79,0.7,0.58,0.53,0.53,0.45
9,9,1010A,116.2296,40.217,昌平镇,北京,1.17,1.13,0.9,0.74,0.63,0.58,0.56,0.47
10,10,1011A,116.3966,39.9821,奥体中心,北京,1.45,1.19,0.93,0.78,0.71,0.65,0.59,0.5
11,11,1012A,116.184,39.9136,古城,北京,1.33,1.17,0.96,0.8,0.66,0.62,0.58,0.51
12,12,1015A,117.1444,39.1661,勤俭道,天津,1.35,1.41,1.34,1.03,0.87,0.86,0.85,0.73
13,13,1017A,117.237,39.1082,大直沽八号路,天津,1.35,1.38,1.3,1.0,0.93,1.0,0.83,0.7
14,14,1018A,117.202,39.0927,前进道,天津,1.38,1.34,1.36,1.06,1.0,0.9,0.88,0.74
15,15,1021A,117.307,39.0877,跃进路,天津,1.4,1.54,1.42,1.12,1.05,0.93,0.86,0.67
16,16,1023A,117.707,39.0343,第四大街,天津,1.23,1.39,1.25,1.01,0.93,0.89,0.86,0.77
