,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,1.33,0.99,0.87,0.64,0.63,0.77,0.79,0.76,0.74,0.8,1.12,1.3
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,0.96,0.75,0.69,0.48,0.46,0.56,0.58,0.57,0.51,0.56,0.81,0.89
2,2,1003A,116.4174,39.9289,东四,北京,1.25,0.95,0.92,0.65,0.65,0.85,0.81,0.76,0.74,0.79,1.15,1.24
3,3,1004A,116.4072,39.8863,天坛,北京,1.29,0.98,0.86,0.64,0.61,0.8,0.78,0.75,0.74,0.8,1.1,1.26
4,4,1005A,116.462,39.9365,农展馆,北京,1.27,0.96,0.85,0.64,0.63,0.86,0.81,0.78,0.73,0.8,1.1,1.29
5,5,1006A,116.3392,39.9295,官园,北京,1.2,0.92,0.83,0.6,0.6,0.79,0.78,0.72,0.7,0.76,1.06,1.21
6,6,1007A,116.2878,39.9611,海淀万柳,北京,1.39,0.98,0.88,0.61,0.58,0.77,0.71,0.67,0.67,0.73,1.1,1.24
7,7,1008A,116.6636,40.135,顺义新城,北京,1.19,0.92,0.85,0.63,0.65,0.76,0.72,0.64,0.6,0.66,1.0,1.16
8,8,1009A,116.6275,40.3275,怀柔镇,北京,0.96,0.81,0.74,0.56,0.52,0.65,0.66,0.59,0.55,0.59,0.83,0.93
9,9,1010A,116.2296,40.217,昌平镇,北京,1.2,0.89,0.8,0.55,0.51,0.61,0.67,0.61,0.61,0.66,1.01,1.16
10,10,1011A,116.3966,39.9821,奥体中心,北京,1.28,0.97,0.87,0.6,0.57,0.72,0.7,0.65,0.69,0.76,1.13,1.3
11,11,1012A,116.184,39.9136,古城,北京,1.29,0.95,0.85,0.59,0.55,0.72,0.66,0.65,0.66,0.76,1.05,1.26
12,12,1015A,117.1444,39.1661,勤俭道,天津,1.59,1.23,1.02,0.8,0.77,0.91,0.81,0.88,0.9,0.97,1.32,1.51
13,13,1017A,117.237,39.1082,大直沽八号路,天津,1.51,1.12,1.1,0.86,0.83,0.98,0.99,0.88,0.95,0.99,1.25,1.36
14,14,1018A,117.202,39.0927,前进道,天津,1.53,1.25,1.12,0.89,0.85,1.01,0.89,0.92,0.91,0.93,1.32,1.45
15,15,1021A,117.307,39.0877,跃进路,天津,1.56,1.3,1.16,0.93,0.83,0.99,0.95,0.91,0.95,1.05,1.33,1.56
16,16,1023A,117.707,39.0343,第四大街,天津,1.55,1.16,1.11,0.83,0.76,0.86,0.74,0.91,0.98,1.02,1.28,1.36
17,17,1024A,117.457,38.8394,永明路,天津,1.51,1.16,1.03,0.83,0.72,0.87,0.79,0.95,0.91,0.95,1.28,1.31
18,18,1026A,117.764,39.1587,汉北路,天津,1.58,1.17,1.11,0.9,0.87,0.93,0.77,0.9,0.94,1.07,1.26,1.33
19,19,1027A,117.157,38.9194,团泊洼(对照点),天津,1.54,1.18,1.14,0.96,0.9,1.01,1.02,1.07,0.96,1.01,1.28,1.47
