,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,55.34,39.8,46.38,37.14,32.44,30.0,27.38,28.37,38.03,48.5,54.84,55.78
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,30.25,18.07,25.32,20.05,16.17,16.3,12.3,9.75,13.32,20.17,31.75,31.25
2,2,1003A,116.4174,39.9289,东四,北京,48.68,35.89,43.13,36.31,32.56,30.81,28.56,29.26,38.53,47.71,51.19,50.21
3,3,1004A,116.4072,39.8863,天坛,北京,53.0,38.24,43.72,36.0,31.57,29.98,26.75,27.57,36.0,43.19,50.16,53.38
4,4,1005A,116.462,39.9365,农展馆,北京,53.74,39.4,48.09,39.87,34.93,33.1,30.89,29.32,39.72,47.85,54.44,56.84
5,5,1006A,116.3392,39.9295,官园,北京,54.14,40.08,46.51,37.34,32.79,30.78,29.24,29.89,37.76,48.59,54.79,54.87
6,6,1008A,116.6636,40.135,顺义新城,北京,42.95,32.18,42.45,34.59,29.15,26.8,20.8,22.42,31.4,40.77,45.81,45.35
7,7,1009A,116.6275,40.3275,怀柔镇,北京,32.9,24.33,29.43,22.54,18.46,15.44,14.02,12.9,15.29,24.81,34.63,33.53
8,8,1010A,116.2296,40.217,昌平镇,北京,42.38,31.02,37.78,29.9,24.93,24.03,20.76,21.52,27.39,35.14,42.94,42.38
9,9,1011A,116.3966,39.9821,奥体中心,北京,53.2,40.36,48.12,40.3,36.07,33.59,31.43,31.45,42.16,51.54,57.3,55.51
10,10,1012A,116.184,39.9136,古城,北京,49.55,32.92,43.44,38.62,33.95,33.1,29.12,29.24,36.96,46.45,51.98,51.29
11,11,1015A,117.1444,39.1661,勤俭道,天津,58.36,40.27,45.18,37.52,32.4,30.23,22.73,28.52,34.82,48.46,54.41,59.52
12,12,1017A,117.237,39.1082,大直沽八号路,天津,56.92,41.48,47.57,38.07,32.5,30.41,22.95,25.26,33.37,47.71,56.72,58.24
13,13,1018A,117.202,39.0927,前进道,天津,61.6,44.65,50.93,38.96,32.48,30.13,23.57,26.97,34.52,49.2,58.02,61.66
14,14,1021A,117.307,39.0877,跃进路,天津,62.68,45.31,52.69,42.74,34.69,34.51,27.05,30.05,38.39,51.96,59.68,60.85
15,15,1023A,117.707,39.0343,第四大街,天津,62.59,49.64,59.31,50.67,43.63,42.52,31.88,35.34,41.86,51.66,58.52,63.07
16,16,1024A,117.457,38.8394,永明路,天津,58.39,41.65,46.49,36.74,30.45,25.89,17.46,23.78,32.12,46.91,55.38,59.72
17,17,1026A,117.764,39.1587,汉北路,天津,55.08,41.77,49.87,41.32,33.73,27.54,19.14,22.94,31.3,45.06,51.81,55.4
18,18,1027A,117.157,38.9194,团泊洼(对照点),天津,59.44,40.82,49.28,37.51,30.07,28.25,21.96,24.51,32.08,43.8,56.44,62.45
19,19,1029A,114.4422,38.0444,职工医院,石家庄,71.51,45.73,49.84,45.86,40.29,32.51,27.44,30.1,47.26,57.1,63.44,64.75
20,20,1030A,114.6063,38.0266,高新区,石家庄,69.56,41.43,47.21,40.29,36.87,31.18,26.58,28.35,43.16,55.2,61.74,67.35
21,21,1031A,114.4898,38.1328,西北水源,石家庄,62.58,41.5,48.27,42.57,40.05,33.94,27.09,29.06,42.47,52.26,57.41,61.0
22,22,1033A,114.5331,38.0178,世纪公园,石家庄,67.03,41.74,44.95,38.82,34.42,28.5,21.64,25.75,39.24,51.41,56.71,65.72
23,23,1034A,114.509,38.0457,人民会堂,石家庄,62.37,40.79,45.5,39.35,37.31,29.72,26.52,29.62,39.32,52.09,55.3,60.78
24,24,1037A,118.131,39.6363,雷达站,唐山,63.64,51.12,55.07,47.73,41.47,39.27,32.04,35.35,44.93,57.86,59.1,61.08
25,25,1040A,118.1705,39.6506,十二中,唐山,60.77,49.22,56.57,49.0,44.15,44.11,37.79,37.79,45.61,57.73,60.29,59.99
26,26,1041A,118.1869,39.622,小山,唐山,63.99,50.35,58.03,50.65,45.7,43.19,37.56,40.12,49.94,61.23,65.39,63.8
27,27,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,47.77,36.32,39.4,29.62,26.0,20.96,16.27,21.52,24.18,35.17,40.96,44.35
28,28,1043A,119.7493,40.0116,第一关,秦皇岛,51.22,44.49,52.99,45.53,41.22,39.16,32.33,36.05,44.74,49.81,46.61,51.68
29,29,1044A,119.5897,39.9499,监测站,秦皇岛,52.67,43.6,52.38,44.85,41.52,33.19,26.27,27.88,34.71,46.29,45.74,49.35
30,30,1046A,119.5251,39.9041,建设大厦,秦皇岛,49.85,40.86,47.4,41.09,36.14,34.37,26.23,30.49,35.8,43.89,47.95,49.64
31,31,1048A,114.5302,36.6116,东污水处理厂,邯郸,60.94,39.14,40.14,36.3,33.6,32.0,27.15,28.71,36.71,49.8,53.7,63.38
32,32,1049A,114.4918,36.5713,矿院,邯郸,60.47,39.38,38.94,33.02,29.66,28.63,24.51,28.05,37.89,49.22,52.63,60.27
33,33,1050A,114.484,36.6133,丛台公园,邯郸,58.24,40.26,39.41,36.6,30.9,28.92,21.99,22.86,34.27,48.62,54.67,63.57
34,34,1051A,115.493,38.8632,游泳馆,保定,72.51,50.26,47.4,36.12,31.64,28.63,24.73,26.0,40.24,55.71,62.98,72.27
35,35,1053A,115.4713,38.9108,接待中心,保定,67.52,43.56,45.53,36.56,31.26,30.19,23.48,25.24,36.57,53.08,60.14,65.03
36,36,1056A,115.5086,38.8639,监测站,保定,72.64,55.27,47.27,38.14,33.69,30.68,25.95,26.56,40.13,54.57,65.71,77.57
37,37,1057A,114.8883,40.8336,人民公园,张家口,22.43,16.51,18.27,16.28,14.03,15.39,16.14,16.07,18.14,22.66,28.97,22.91
38,38,1059A,114.8687,40.8042,五金库,张家口,26.32,21.27,25.91,23.67,20.65,21.34,21.64,19.47,22.19,28.19,32.72,28.44
39,39,1060A,114.8902,40.762,世纪豪园,张家口,27.22,21.07,26.82,19.9,17.77,18.64,19.19,18.24,21.58,30.19,34.5,29.31
