,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1001A,116.3621,39.8784,万寿西宫,北京,52.74,50.39,48.52,42.62,40.38,32.56,33.67,28.59
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,26.78,25.36,24.85,24.85,19.81,14.13,14.31,13.09
2,2,1003A,116.4174,39.9289,东四,北京,50.41,50.76,47.56,42.39,38.27,30.52,30.44,25.17
3,3,1004A,116.4072,39.8863,天坛,北京,52.14,49.98,44.6,44.22,38.05,29.34,30.16,24.6
4,4,1005A,116.462,39.9365,农展馆,北京,58.55,52.59,48.94,45.25,39.22,32.02,32.8,29.52
5,5,1006A,116.3392,39.9295,官园,北京,54.85,53.44,49.49,44.52,39.83,31.25,31.36,26.51
6,6,1008A,116.6636,40.135,顺义新城,北京,43.34,42.71,42.8,36.39,33.32,27.72,27.67,22.64
7,7,1009A,116.6275,40.3275,怀柔镇,北京,28.46,27.41,25.85,24.28,24.29,18.25,19.48,17.49
8,8,1010A,116.2296,40.217,昌平镇,北京,42.66,45.56,39.36,31.1,29.35,22.26,23.0,19.94
9,9,1011A,116.3966,39.9821,奥体中心,北京,60.98,48.54,51.79,44.86,43.5,34.02,34.02,29.79
10,10,1012A,116.184,39.9136,古城,北京,49.75,49.92,49.34,45.94,37.43,28.68,29.69,27.29
11,11,1015A,117.1444,39.1661,勤俭道,天津,41.74,48.63,51.36,44.33,38.71,36.2,37.3,30.21
12,12,1017A,117.237,39.1082,大直沽八号路,天津,40.2,48.4,49.17,43.02,42.18,37.83,36.79,29.88
13,13,1018A,117.202,39.0927,前进道,天津,45.52,51.92,52.41,43.57,42.99,38.2,36.32,30.87
14,14,1021A,117.307,39.0877,跃进路,天津,45.07,51.86,51.09,47.17,45.01,42.7,43.42,34.15
15,15,1023A,117.707,39.0343,第四大街,天津,46.42,55.0,57.03,50.86,51.54,45.63,46.57,40.83
16,16,1024A,117.457,38.8394,永明路,天津,39.77,44.45,47.27,43.44,40.65,36.78,34.23,30.23
17,17,1026A,117.764,39.1587,汉北路,天津,37.58,41.94,45.07,44.02,41.08,40.3,34.8,31.8
18,18,1027A,117.157,38.9194,团泊洼(对照点),天津,40.46,51.4,48.74,42.46,38.64,37.3,34.08,31.11
19,19,1029A,114.4422,38.0444,职工医院,石家庄,49.86,62.27,58.33,51.79,47.91,42.23,35.25,36.38
20,20,1030A,114.6063,38.0266,高新区,石家庄,49.58,56.88,57.75,48.26,45.48,41.96,31.57,34.63
21,21,1031A,114.4898,38.1328,西北水源,石家庄,50.19,53.53,53.63,47.02,47.16,42.64,32.27,32.47
22,22,1033A,114.5331,38.0178,世纪公园,石家庄,54.04,53.87,46.51,44.97,45.18,38.42,30.81,30.42
23,23,1034A,114.509,38.0457,人民会堂,石家庄,52.24,52.8,52.88,44.31,41.64,40.83,30.21,31.16
24,24,1037A,118.131,39.6363,雷达站,唐山,58.95,60.37,61.94,51.31,46.56,44.04,39.73,29.48
