,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,54.64,40.0,46.36,36.99,32.49,29.92,27.41,28.5,38.48,48.23,55.12,56.0
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,29.58,18.3,25.38,20.04,16.14,16.27,12.32,9.71,13.29,20.11,31.82,31.37
2,2,1003A,116.4174,39.9289,东四,北京,48.04,36.17,43.15,36.33,32.54,30.76,28.79,29.17,39.07,47.35,51.36,50.29
3,3,1004A,116.4072,39.8863,天坛,北京,52.43,38.52,43.66,35.99,31.49,29.97,26.77,27.61,36.37,42.92,50.4,53.3
4,4,1005A,116.462,39.9365,农展馆,北京,53.07,39.71,48.07,39.82,34.93,33.13,30.95,29.14,40.44,47.4,54.54,56.87
5,5,1006A,116.3392,39.9295,官园,北京,53.55,40.31,46.51,37.32,32.78,30.81,29.31,29.77,38.17,48.32,55.03,55.0
6,6,1008A,116.6636,40.135,顺义新城,北京,42.39,32.35,42.35,34.62,29.38,26.7,20.81,22.83,31.61,40.62,45.99,45.51
7,7,1009A,116.6275,40.3275,怀柔镇,北京,32.48,24.45,29.39,22.45,18.62,15.37,14.01,12.95,15.44,24.79,34.82,33.52
8,8,1010A,116.2296,40.217,昌平镇,北京,41.68,31.28,37.89,29.87,24.98,23.97,20.87,21.47,27.48,34.95,43.06,42.38
9,9,1011A,116.3966,39.9821,奥体中心,北京,52.42,40.66,48.1,40.24,36.06,33.56,31.57,31.27,42.66,51.29,57.48,55.61
10,10,1012A,116.184,39.9136,古城,北京,48.93,33.17,43.55,38.59,34.09,33.13,29.09,29.65,37.56,46.06,52.02,51.41
11,11,1015A,117.1444,39.1661,勤俭道,天津,57.71,40.6,45.09,37.43,32.48,30.18,22.78,28.14,35.04,48.78,54.5,59.94
12,12,1017A,117.237,39.1082,大直沽八号路,天津,56.4,41.85,47.34,38.05,32.64,30.31,22.94,25.14,33.72,48.15,56.69,58.61
13,13,1018A,117.202,39.0927,前进道,天津,60.99,45.02,50.9,38.92,32.7,30.04,23.59,26.96,34.8,49.63,58.02,62.07
14,14,1021A,117.307,39.0877,跃进路,天津,62.03,45.95,52.67,42.62,34.77,34.42,27.04,29.9,38.67,52.45,59.7,61.22
15,15,1023A,117.707,39.0343,第四大街,天津,61.97,50.25,59.36,50.57,43.68,42.49,31.87,35.59,42.03,52.08,58.75,63.23
16,16,1024A,117.457,38.8394,永明路,天津,57.87,41.93,46.35,36.7,30.62,25.88,17.4,23.78,32.11,47.44,55.58,60.03
17,17,1026A,117.764,39.1587,汉北路,天津,54.56,42.12,49.76,41.27,33.98,27.34,19.15,22.9,31.41,45.56,51.91,55.73
18,18,1027A,117.157,38.9194,团泊洼(对照点),天津,58.88,41.32,49.3,37.55,30.19,28.24,21.92,24.54,32.6,44.18,56.78,63.04
19,19,1029A,114.4422,38.0444,职工医院,石家庄,71.58,45.87,49.77,45.97,40.01,32.38,27.36,29.85,47.38,57.3,63.77,64.68
20,20,1030A,114.6063,38.0266,高新区,石家庄,69.4,41.48,47.2,40.22,36.72,31.16,26.68,28.39,43.26,55.62,61.98,67.3
21,21,1031A,114.4898,38.1328,西北水源,石家庄,62.31,41.57,48.23,42.52,40.02,33.99,26.92,28.9,42.6,52.51,57.52,61.09
22,22,1033A,114.5331,38.0178,世纪公园,石家庄,66.55,41.69,44.92,38.74,34.48,28.36,21.64,25.67,39.35,51.77,56.9,66.11
23,23,1034A,114.509,38.0457,人民会堂,石家庄,62.16,40.83,45.46,39.23,37.35,29.59,26.45,29.32,39.63,52.3,55.57,60.57
24,24,1037A,118.131,39.6363,雷达站,唐山,63.17,51.37,54.91,47.6,41.58,39.24,32.09,35.12,45.34,58.09,59.19,61.22
25,25,1040A,118.1705,39.6506,十二中,唐山,60.55,49.59,56.47,48.91,44.19,44.04,37.89,37.58,45.9,58.18,60.33,60.03
26,26,1041A,118.1869,39.622,小山,唐山,63.43,50.62,57.92,50.45,45.79,43.15,37.69,40.15,50.28,61.63,65.34,63.98
27,27,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,47.45,36.51,39.18,29.41,25.96,20.96,16.22,21.65,24.49,35.43,41.07,44.76
28,28,1043A,119.7493,40.0116,第一关,秦皇岛,50.8,44.59,52.8,45.51,41.34,39.31,32.27,36.41,45.3,50.01,46.51,52.06
29,29,1044A,119.5897,39.9499,监测站,秦皇岛,52.55,43.77,52.36,44.66,41.44,33.1,26.18,27.86,35.02,46.54,45.74,49.48
30,30,1046A,119.5251,39.9041,建设大厦,秦皇岛,49.7,40.86,47.18,40.94,36.02,34.34,26.3,30.76,36.09,44.15,48.04,49.89
31,31,1048A,114.5302,36.6116,东污水处理厂,邯郸,60.67,39.13,40.16,36.34,33.53,31.85,27.07,28.83,36.86,50.27,53.72,63.6
32,32,1049A,114.4918,36.5713,矿院,邯郸,60.4,39.62,38.8,33.06,29.56,28.59,24.35,28.04,38.13,49.68,52.64,60.54
33,33,1050A,114.484,36.6133,丛台公园,邯郸,58.09,40.17,39.42,36.61,30.76,28.77,21.85,22.8,34.36,49.07,54.58,63.61
34,34,1051A,115.493,38.8632,游泳馆,保定,71.97,50.42,47.23,36.08,31.58,28.59,24.65,25.99,40.84,56.06,62.95,72.79
35,35,1053A,115.4713,38.9108,接待中心,保定,67.02,43.71,45.55,36.39,31.28,30.2,23.39,25.13,37.16,53.47,59.98,65.58
36,36,1056A,115.5086,38.8639,监测站,保定,72.1,55.48,47.08,38.17,33.69,30.5,25.94,26.7,40.49,55.19,65.69,78.12
37,37,1057A,114.8883,40.8336,人民公园,张家口,22.03,16.79,18.19,16.25,14.09,15.36,16.22,16.07,18.16,22.76,28.94,23.14
38,38,1059A,114.8687,40.8042,五金库,张家口,26.14,21.44,25.93,23.5,20.8,21.17,21.75,19.46,22.13,28.14,32.77,28.61
39,39,1060A,114.8902,40.762,世纪豪园,张家口,26.9,21.26,26.82,19.86,17.88,18.52,19.27,18.16,21.66,30.31,34.45,29.55
40,40,1063A,117.9392,40.9763,中国银行,承德,41.5,30.35,33.92,27.92,24.36,21.53,20.77,20.68,25.48,35.61,38.94,39.48
41,41,1064A,117.9503,40.928,开发区,承德,42.86,33.0,36.35,28.93,25.12,23.31,22.81,22.45,28.77,37.24,41.09,41.92
42,42,1067A,116.6708,39.5111,药材公司,廊坊,54.55,40.62,44.45,36.45,32.1,30.56,26.58,31.47,39.06,48.91,54.92,60.49
43,43,1070A,116.7244,39.5269,北华航天学院,廊坊,54.02,41.6,44.86,36.69,33.62,32.16,27.32,31.99,38.95,51.06,57.68,60.3
44,44,1071A,116.8842,38.2991,沧县城建局,沧州,56.16,38.96,41.76,34.22,31.77,28.94,21.46,27.36,38.68,49.68,53.15,56.98
45,45,1072A,116.8584,38.3254,电视转播站,沧州,53.14,38.93,39.89,32.95,29.24,26.18,21.66,25.04,33.76,45.09,50.07,57.77
46,46,1073A,116.8709,38.3228,市环保局,沧州,55.23,38.44,39.07,29.68,28.92,25.69,21.3,25.62,34.62,45.7,51.68,55.39
47,47,1074A,115.6838,37.7541,电机北厂,衡水,52.2,35.52,35.29,28.72,23.08,22.45,19.35,20.89,31.16,41.06,46.61,54.71
48,48,1075A,115.6303,37.7316,市监测站,衡水,54.97,35.84,34.36,29.16,24.09,23.0,19.67,23.3,31.82,43.79,48.1,56.26
49,49,1077A,114.4704,37.0886,达活泉,邢台,68.07,47.42,45.53,42.4,37.95,33.95,26.95,27.96,39.48,49.31,55.3,64.26
50,50,1079A,114.5237,37.0851,路桥公司,邢台,65.41,45.78,48.35,43.28,40.99,36.84,30.53,32.62,44.14,54.1,59.25,63.66
51,51,1081A,112.5139,37.8873,尖草坪,太原,52.29,37.86,43.61,43.04,40.88,41.46,36.23,36.3,47.54,52.82,56.19,51.83
52,52,1084A,112.469,37.7124,晋源,太原,57.77,41.56,44.4,39.28,39.26,39.5,32.37,34.45,44.78,51.13,59.71,59.5
53,53,1085A,112.5583,37.7394,小店,太原,56.46,41.46,43.64,38.7,40.04,40.09,32.33,34.19,48.4,54.3,58.81,57.07
54,54,1086A,112.5369,37.8692,桃园,太原,56.19,42.0,45.64,43.47,40.78,39.46,34.79,34.68,47.02,53.33,59.56,55.33
55,55,1087A,112.57,37.8195,坞城,太原,52.62,40.2,41.36,38.14,39.43,38.54,32.08,33.64,45.71,51.83,54.46,52.74
56,56,1088A,112.549,37.9854,南寨,太原,50.61,39.47,43.2,39.77,37.88,36.52,29.27,29.79,35.61,43.37,53.17,50.61
57,57,1091A,111.6572,40.8033,小召,呼和浩特,58.25,43.27,42.4,36.81,34.22,31.27,32.3,33.1,44.53,47.95,51.58,53.25
58,58,1094A,111.7516,40.8369,如意水处理厂,呼和浩特,45.96,35.95,35.09,30.84,27.59,25.01,25.81,24.15,32.66,38.39,45.64,48.65
59,59,1095A,111.7276,40.8062,二十九中,呼和浩特,51.07,36.29,35.72,32.22,30.99,29.74,27.73,27.55,36.38,41.73,47.09,51.2
60,60,1099A,123.505,41.7406,浑南东路,沈阳,50.55,38.34,39.52,33.84,30.65,31.98,27.17,28.15,35.93,41.56,42.95,46.06
61,61,1100A,123.4231,41.6989,新秀街,沈阳,53.39,40.29,42.0,36.43,31.63,32.91,28.55,30.94,39.14,43.15,44.23,46.8
