,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1001A,116.3621,39.8784,万寿西宫,北京,53.0,50.49,48.47,42.63,40.16,32.49,33.67,28.59
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,26.75,25.44,24.69,24.88,19.56,14.14,14.36,13.06
2,2,1003A,116.4174,39.9289,东四,北京,50.64,50.92,47.58,42.39,38.01,30.48,30.45,25.16
3,3,1004A,116.4072,39.8863,天坛,北京,52.2,50.02,44.51,44.32,37.83,29.28,30.18,24.59
4,4,1005A,116.462,39.9365,农展馆,北京,58.66,52.71,48.93,45.19,38.98,31.98,32.83,29.44
5,5,1006A,116.3392,39.9295,官园,北京,55.02,53.57,49.48,44.47,39.63,31.19,31.46,26.49
6,6,1008A,116.6636,40.135,顺义新城,北京,43.45,42.9,42.81,36.5,33.23,27.71,27.71,22.6
7,7,1009A,116.6275,40.3275,怀柔镇,北京,28.44,27.57,25.83,24.29,24.1,18.25,19.5,17.47
8,8,1010A,116.2296,40.217,昌平镇,北京,42.9,45.62,39.18,30.99,29.03,22.31,23.06,19.95
9,9,1011A,116.3966,39.9821,奥体中心,北京,61.16,48.63,51.77,44.82,43.24,33.94,34.05,29.77
10,10,1012A,116.184,39.9136,古城,北京,50.05,49.98,49.3,46.08,37.38,28.66,29.71,27.28
11,11,1015A,117.1444,39.1661,勤俭道,天津,41.97,48.74,51.39,44.12,38.62,36.22,37.32,30.19
12,12,1017A,117.237,39.1082,大直沽八号路,天津,40.44,48.45,49.2,42.92,42.28,37.79,36.85,29.93
13,13,1018A,117.202,39.0927,前进道,天津,45.72,51.94,52.57,43.62,43.15,38.2,36.33,30.92
14,14,1021A,117.307,39.0877,跃进路,天津,45.3,52.06,51.09,47.15,45.09,42.66,43.44,34.14
15,15,1023A,117.707,39.0343,第四大街,天津,46.68,55.11,57.07,50.83,51.7,45.71,46.63,40.84
16,16,1024A,117.457,38.8394,永明路,天津,40.13,44.6,47.25,43.34,40.59,36.77,34.22,30.31
17,17,1026A,117.764,39.1587,汉北路,天津,37.84,42.1,45.18,43.88,41.23,40.28,34.77,31.8
18,18,1027A,117.157,38.9194,团泊洼(对照点),天津,40.85,51.59,49.15,42.48,38.63,37.35,34.16,31.15
19,19,1029A,114.4422,38.0444,职工医院,石家庄,49.86,62.54,58.15,51.57,47.65,42.37,35.45,36.33
20,20,1030A,114.6063,38.0266,高新区,石家庄,49.69,57.0,57.79,48.25,45.31,42.08,31.59,34.61
21,21,1031A,114.4898,38.1328,西北水源,石家庄,50.33,53.6,53.54,47.04,46.94,42.63,32.39,32.43
22,22,1033A,114.5331,38.0178,世纪公园,石家庄,54.32,53.99,46.32,44.93,44.95,38.46,30.9,30.43
23,23,1034A,114.509,38.0457,人民会堂,石家庄,52.31,53.01,52.81,44.14,41.35,40.83,30.22,31.22
24,24,1037A,118.131,39.6363,雷达站,唐山,59.24,60.39,61.93,51.06,46.59,44.03,39.72,29.54
25,25,1040A,118.1705,39.6506,十二中,唐山,60.25,59.44,61.51,53.46,49.45,47.06,39.3,31.95
26,26,1041A,118.1869,39.622,小山,唐山,63.36,64.28,65.16,57.63,51.27,47.13,38.17,33.42
27,27,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,38.71,38.51,38.99,31.27,31.56,27.9,26.24,22.16
28,28,1043A,119.7493,40.0116,第一关,秦皇岛,48.8,49.62,53.95,47.16,48.03,39.91,35.03,35.64
29,29,1044A,119.5897,39.9499,监测站,秦皇岛,51.73,49.01,46.5,46.79,41.46,33.14,35.41,28.38
30,30,1046A,119.5251,39.9041,建设大厦,秦皇岛,47.3,46.5,50.49,43.4,42.03,34.6,30.53,28.0
31,31,1048A,114.5302,36.6116,东污水处理厂,邯郸,46.85,57.72,53.33,41.55,38.74,36.81,30.13,29.31
32,32,1049A,114.4918,36.5713,矿院,邯郸,54.59,51.49,49.23,38.69,36.83,34.82,28.37,28.06
33,33,1050A,114.484,36.6133,丛台公园,邯郸,40.49,56.97,51.56,41.71,39.83,34.16,29.23,25.98
34,34,1051A,115.493,38.8632,游泳馆,保定,57.21,61.4,55.38,45.03,40.61,35.65,34.29,36.37
35,35,1053A,115.4713,38.9108,接待中心,保定,52.64,56.66,48.27,42.5,39.58,36.4,34.43,35.41
36,36,1056A,115.5086,38.8639,监测站,保定,60.83,63.93,53.6,49.19,40.93,37.4,38.79,34.87
37,37,1057A,114.8883,40.8336,人民公园,张家口,22.24,21.17,23.31,20.94,17.15,16.73,17.64,12.66
38,38,1059A,114.8687,40.8042,五金库,张家口,28.43,28.56,27.08,26.56,25.42,21.81,20.99,15.65
39,39,1060A,114.8902,40.762,世纪豪园,张家口,28.94,30.97,26.47,23.6,23.34,20.61,18.92,16.77
40,40,1063A,117.9392,40.9763,中国银行,承德,34.04,33.44,32.95,31.86,29.47,28.04,27.35,23.17
41,41,1064A,117.9503,40.928,开发区,承德,36.31,35.46,34.69,32.2,29.94,30.27,30.49,26.4
42,42,1067A,116.6708,39.5111,药材公司,廊坊,49.66,53.68,46.3,43.05,37.5,35.63,35.15,32.4
43,43,1070A,116.7244,39.5269,北华航天学院,廊坊,45.78,52.37,49.06,46.5,38.54,36.84,37.63,33.46
44,44,1071A,116.8842,38.2991,沧县城建局,沧州,43.63,49.09,49.71,42.0,39.26,34.02,30.05,31.77
45,45,1072A,116.8584,38.3254,电视转播站,沧州,42.27,48.41,45.22,42.48,34.96,29.51,30.83,28.91
46,46,1073A,116.8709,38.3228,市环保局,沧州,38.1,44.09,44.99,39.85,38.89,33.6,31.23,30.14
47,47,1074A,115.6838,37.7541,电机北厂,衡水,43.0,43.83,37.48,33.49,31.86,31.35,27.4,25.45
48,48,1075A,115.6303,37.7316,市监测站,衡水,44.23,46.81,43.01,32.19,33.26,30.03,28.97,24.32
49,49,1077A,114.4704,37.0886,达活泉,邢台,58.17,60.39,57.07,45.91,43.79,35.06,29.28,28.5
50,50,1079A,114.5237,37.0851,路桥公司,邢台,61.3,62.76,56.26,48.21,46.62,39.63,32.81,29.13
51,51,1081A,112.5139,37.8873,尖草坪,太原,32.67,44.8,54.59,52.35,51.73,45.29,39.97,38.73
52,52,1084A,112.469,37.7124,晋源,太原,34.39,42.34,55.7,53.75,48.9,45.48,39.07,42.8
53,53,1085A,112.5583,37.7394,小店,太原,34.15,41.66,55.27,50.58,50.08,47.18,41.48,43.26
54,54,1086A,112.5369,37.8692,桃园,太原,39.89,46.74,54.06,51.86,50.23,46.11,38.16,40.94
55,55,1087A,112.57,37.8195,坞城,太原,34.04,44.11,55.43,45.43,48.71,43.23,37.07,38.98
56,56,1088A,112.549,37.9854,南寨,太原,37.59,43.93,46.19,43.06,45.17,40.27,32.78,36.91
