,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,28.01,43.49,47.92,69.16,85.19,103.13,89.39,76.31,61.9,31.61,21.05,23.49
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,41.53,58.44,64.12,83.7,99.05,110.72,91.44,80.72,74.84,46.31,30.47,36.17
2,2,1003A,116.4174,39.9289,东四,北京,28.48,44.38,48.93,72.36,89.09,109.07,97.28,83.76,67.66,33.43,20.81,23.82
3,3,1004A,116.4072,39.8863,天坛,北京,28.46,44.24,48.23,68.45,84.28,100.02,88.87,75.58,59.56,32.94,21.52,23.36
4,4,1005A,116.462,39.9365,农展馆,北京,29.83,45.69,50.31,70.73,88.06,107.96,94.58,81.78,64.48,32.85,22.08,24.34
5,5,1006A,116.3392,39.9295,官园,北京,27.79,43.65,47.65,71.08,87.3,105.58,94.87,81.15,64.23,33.59,21.48,23.67
6,6,1007A,116.2878,39.9611,海淀万柳,北京,26.04,40.16,44.79,65.04,82.63,99.82,86.58,73.5,57.85,28.67,19.89,22.82
7,7,1009A,116.6275,40.3275,怀柔镇,北京,33.89,50.57,57.29,78.05,95.18,109.23,92.82,76.34,69.46,39.4,26.96,30.79
8,8,1010A,116.2296,40.217,昌平镇,北京,31.43,46.64,51.3,71.85,88.59,101.8,91.49,78.43,66.41,34.21,21.76,26.38
9,9,1011A,116.3966,39.9821,奥体中心,北京,30.99,46.96,51.42,69.65,88.68,105.82,95.5,78.47,61.71,32.78,22.07,25.11
10,10,1012A,116.184,39.9136,古城,北京,28.92,44.09,48.37,69.1,87.51,105.19,95.23,80.85,64.43,34.03,21.13,24.02
11,11,1015A,117.1444,39.1661,勤俭道,天津,26.11,42.49,49.35,70.84,91.43,112.63,93.56,78.13,73.16,38.82,23.45,20.95
12,12,1017A,117.237,39.1082,大直沽八号路,天津,29.05,47.69,53.1,76.0,94.58,111.08,94.6,81.91,75.64,41.81,24.26,22.71
13,13,1018A,117.202,39.0927,前进道,天津,29.24,47.46,51.98,72.73,93.11,109.65,97.02,80.56,74.06,40.85,24.9,24.42
14,14,1021A,117.307,39.0877,跃进路,天津,25.34,43.31,47.24,67.17,89.28,103.64,90.67,77.98,68.87,36.72,22.02,21.42
15,15,1023A,117.707,39.0343,第四大街,天津,22.83,39.0,43.1,61.43,80.99,93.73,81.15,72.89,70.7,39.5,22.08,18.33
16,16,1024A,117.457,38.8394,永明路,天津,23.9,41.08,50.56,72.66,90.71,114.52,100.16,84.73,73.44,40.07,24.54,18.99
17,17,1026A,117.764,39.1587,汉北路,天津,22.66,37.87,47.33,67.08,86.89,106.74,95.7,82.88,75.22,38.62,23.16,18.85
18,18,1027A,117.157,38.9194,团泊洼(对照点),天津,24.92,41.75,49.33,71.71,89.84,109.09,100.11,86.59,73.97,41.68,23.98,20.21
19,19,1029A,114.4422,38.0444,职工医院,石家庄,20.8,41.71,49.09,66.5,81.17,105.58,89.11,72.18,67.43,34.44,21.84,18.82
20,20,1030A,114.6063,38.0266,高新区,石家庄,23.69,39.81,49.61,63.11,82.32,110.01,91.14,73.06,70.55,35.42,23.01,19.16
21,21,1031A,114.4898,38.1328,西北水源,石家庄,21.1,41.36,48.92,67.17,83.56,111.87,93.67,78.09,66.39,34.18,21.63,17.72
22,22,1032A,114.4586,38.0058,西南高教,石家庄,18.89,36.08,42.61,60.02,71.57,101.56,84.61,67.54,65.05,31.48,20.0,15.95
23,23,1033A,114.5331,38.0178,世纪公园,石家庄,22.83,44.57,53.44,68.83,80.81,109.76,85.16,73.95,70.22,34.56,22.12,18.73
24,24,1034A,114.509,38.0457,人民会堂,石家庄,22.77,44.82,51.46,68.21,87.92,110.85,106.22,83.74,69.5,36.51,23.86,19.04
25,25,1037A,118.131,39.6363,雷达站,唐山,25.6,41.61,52.02,72.58,89.2,103.11,88.47,75.68,72.87,38.12,22.9,20.95
26,26,1040A,118.1705,39.6506,十二中,唐山,25.55,41.0,50.83,72.59,87.41,97.76,86.44,75.1,70.89,37.87,21.65,20.95
27,27,1041A,118.1869,39.622,小山,唐山,25.48,41.26,50.83,73.46,88.98,102.07,90.53,74.99,69.43,37.49,22.13,21.29
28,28,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,30.95,41.9,55.34,80.72,98.07,106.27,96.91,80.34,75.74,50.62,33.42,28.2
29,29,1043A,119.7493,40.0116,第一关,秦皇岛,31.14,45.19,52.83,68.32,81.12,80.83,70.53,63.18,58.65,39.23,30.38,26.44
30,30,1044A,119.5897,39.9499,监测站,秦皇岛,27.72,40.84,51.03,72.05,80.85,92.1,84.53,72.52,68.99,44.56,29.76,26.31
31,31,1046A,119.5251,39.9041,建设大厦,秦皇岛,27.63,43.69,55.17,77.77,86.87,91.28,77.53,67.25,63.75,43.05,29.06,24.35
32,32,1048A,114.5302,36.6116,东污水处理厂,邯郸,23.4,42.04,50.75,65.83,81.1,107.1,83.38,73.74,69.24,38.21,26.2,19.43
33,33,1049A,114.4918,36.5713,矿院,邯郸,25.4,47.12,58.92,74.21,90.55,116.6,92.51,78.84,72.2,40.62,27.89,19.22
34,34,1050A,114.484,36.6133,丛台公园,邯郸,24.67,43.99,55.17,72.84,87.58,110.01,88.09,79.47,73.16,41.18,26.8,19.14
35,35,1051A,115.493,38.8632,游泳馆,保定,23.08,44.34,57.71,82.44,97.5,123.19,105.87,88.56,78.05,37.62,21.3,18.79
36,36,1053A,115.4713,38.9108,接待中心,保定,23.21,46.52,56.72,77.22,92.25,119.23,101.15,83.46,75.39,37.72,22.69,19.1
