,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,52.29,76.61,94.88,127.76,160.87,189.86,172.03,155.31,135.04,73.81,44.82,44.76
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,64.08,84.07,102.07,131.95,169.64,199.15,174.19,161.44,145.3,86.54,55.6,58.64
2,2,1003A,116.4174,39.9289,东四,北京,53.48,76.88,93.48,129.2,164.13,196.63,180.64,164.75,143.62,77.59,46.43,45.77
3,3,1004A,116.4072,39.8863,天坛,北京,55.01,80.28,98.76,129.53,164.98,194.81,179.35,162.03,140.41,89.43,49.57,51.41
4,4,1005A,116.462,39.9365,农展馆,北京,55.74,79.03,96.27,129.9,167.8,203.06,185.83,166.03,143.1,77.83,47.44,46.91
5,5,1006A,116.3392,39.9295,官园,北京,54.09,77.46,93.51,128.65,164.71,195.5,188.22,163.92,139.36,79.89,47.08,44.8
6,6,1007A,116.2878,39.9611,海淀万柳,北京,51.85,75.1,91.61,124.6,163.4,193.64,177.37,157.93,135.19,73.54,46.2,47.09
7,7,1009A,116.6275,40.3275,怀柔镇,北京,59.93,80.7,96.78,128.72,167.94,193.7,176.82,152.47,132.83,79.06,52.15,54.02
8,8,1010A,116.2296,40.217,昌平镇,北京,55.83,75.44,91.57,123.43,160.07,188.15,183.46,160.79,134.29,74.52,46.42,48.18
9,9,1011A,116.3966,39.9821,奥体中心,北京,56.33,81.02,99.68,128.75,167.89,196.05,184.08,155.81,135.31,77.56,48.71,48.81
10,10,1012A,116.184,39.9136,古城,北京,53.82,75.68,95.93,130.65,166.73,198.59,186.22,162.12,137.96,80.3,47.28,46.57
11,11,1015A,117.1444,39.1661,勤俭道,天津,55.2,78.55,96.3,126.07,161.97,198.71,173.18,152.57,144.03,93.12,58.92,48.97
12,12,1017A,117.237,39.1082,大直沽八号路,天津,56.45,81.81,97.71,130.74,160.47,195.05,173.53,154.32,145.9,94.74,58.47,50.86
13,13,1018A,117.202,39.0927,前进道,天津,56.7,82.12,99.01,127.67,160.67,193.54,176.9,151.3,144.65,93.82,59.14,51.59
14,14,1021A,117.307,39.0877,跃进路,天津,54.12,79.29,95.42,124.65,158.53,189.25,171.26,154.99,141.65,90.74,57.36,50.66
15,15,1023A,117.707,39.0343,第四大街,天津,50.42,75.61,88.61,114.15,144.86,172.28,149.54,146.3,139.41,91.67,55.29,45.59
16,16,1024A,117.457,38.8394,永明路,天津,54.3,76.2,96.7,127.23,156.56,194.43,170.22,156.81,145.4,94.83,61.47,47.53
17,17,1026A,117.764,39.1587,汉北路,天津,54.41,74.1,95.68,124.18,156.14,186.23,170.47,161.06,150.12,91.76,59.86,47.56
18,18,1027A,117.157,38.9194,团泊洼(对照点),天津,55.87,77.7,99.93,128.84,157.69,196.52,184.46,163.82,149.64,96.74,59.34,49.1
19,19,1029A,114.4422,38.0444,职工医院,石家庄,50.14,85.68,108.7,133.67,164.11,198.47,175.89,150.95,157.25,93.51,56.75,44.15
20,20,1030A,114.6063,38.0266,高新区,石家庄,50.96,78.0,106.4,126.39,164.65,206.34,175.4,146.11,155.6,94.18,60.53,45.13
21,21,1031A,114.4898,38.1328,西北水源,石家庄,50.06,85.49,108.49,137.03,171.42,215.45,188.3,169.02,155.37,93.08,58.9,43.77
22,22,1032A,114.4586,38.0058,西南高教,石家庄,43.28,74.74,95.64,122.77,149.05,193.24,173.37,142.04,146.97,86.86,50.82,36.74
23,23,1033A,114.5331,38.0178,世纪公园,石家庄,51.95,86.01,113.46,133.49,160.4,203.92,163.96,147.45,150.39,90.36,56.22,43.57
