,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1001A,116.3621,39.8784,万寿西宫,北京,117.24,117.7,114.45,111.82,110.5,105.58,100.25,109.61
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,125.79,120.33,127.39,124.31,120.69,113.55,103.92,119.54
2,2,1003A,116.4174,39.9289,东四,北京,110.45,111.54,116.29,122.65,120.19,114.87,105.05,115.95
3,3,1004A,116.4072,39.8863,天坛,北京,126.94,119.19,125.47,119.77,115.45,111.41,104.92,109.22
4,4,1005A,116.462,39.9365,农展馆,北京,123.76,118.94,125.98,120.59,119.42,112.2,102.68,111.8
5,5,1006A,116.3392,39.9295,官园,北京,116.19,113.04,120.87,122.38,120.1,114.17,102.16,111.74
6,6,1007A,116.2878,39.9611,海淀万柳,北京,110.98,113.9,113.31,122.58,115.52,111.52,97.53,108.73
7,7,1009A,116.6275,40.3275,怀柔镇,北京,117.66,109.12,128.56,117.79,113.7,113.55,103.06,114.78
8,8,1010A,116.2296,40.217,昌平镇,北京,109.86,107.68,113.91,123.1,118.02,109.51,103.96,111.65
9,9,1011A,116.3966,39.9821,奥体中心,北京,126.1,122.59,123.32,118.59,116.99,105.43,98.91,110.43
10,10,1012A,116.184,39.9136,古城,北京,123.44,118.34,121.16,127.15,114.21,106.98,100.16,112.5
11,11,1015A,117.1444,39.1661,勤俭道,天津,91.57,98.98,125.41,129.59,129.78,118.71,111.41,121.9
12,12,1017A,117.237,39.1082,大直沽八号路,天津,90.31,107.79,128.5,131.5,130.09,118.37,110.49,118.38
13,13,1018A,117.202,39.0927,前进道,天津,91.34,106.77,121.5,132.28,129.99,122.6,110.66,118.14
14,14,1021A,117.307,39.0877,跃进路,天津,90.49,97.59,118.5,127.75,130.54,119.97,110.59,118.31
15,15,1023A,117.707,39.0343,第四大街,天津,86.45,96.95,117.47,116.9,117.89,113.66,96.9,104.62
16,16,1024A,117.457,38.8394,永明路,天津,94.94,96.18,124.61,132.58,127.2,119.73,111.31,116.37
17,17,1026A,117.764,39.1587,汉北路,天津,98.85,100.79,129.09,126.58,120.78,117.37,106.44,116.68
18,18,1027A,117.157,38.9194,团泊洼(对照点),天津,106.65,122.59,120.06,124.49,124.59,116.46,111.49,122.81
19,19,1029A,114.4422,38.0444,职工医院,石家庄,91.31,106.63,124.4,138.41,124.47,118.55,120.12,124.36
20,20,1030A,114.6063,38.0266,高新区,石家庄,85.59,106.63,135.36,132.66,127.75,114.6,118.28,121.93
21,21,1031A,114.4898,38.1328,西北水源,石家庄,123.31,117.4,132.5,126.15,130.55,116.12,116.9,123.59
22,22,1032A,114.4586,38.0058,西南高教,石家庄,86.23,95.17,111.11,123.21,118.9,113.38,112.85,118.01
23,23,1033A,114.5331,38.0178,世纪公园,石家庄,102.92,108.39,120.76,128.28,121.82,118.1,116.74,118.59
24,24,1034A,114.509,38.0457,人民会堂,石家庄,113.07,102.84,113.66,128.26,129.59,121.24,125.21,126.25
25,25,1037A,118.131,39.6363,雷达站,唐山,117.07,119.26,126.87,129.04,122.69,118.58,111.87,120.91
26,26,1040A,118.1705,39.6506,十二中,唐山,117.8,117.66,131.16,123.16,122.17,114.18,110.37,115.06
27,27,1041A,118.1869,39.622,小山,唐山,119.84,118.18,133.68,134.27,121.8,124.41,107.33,119.79
28,28,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,73.29,94.64,128.4,114.93,119.77,115.17,107.17,114.16
29,29,1043A,119.7493,40.0116,第一关,秦皇岛,94.17,109.12,114.99,105.72,110.17,114.48,108.24,112.41
30,30,1044A,119.5897,39.9499,监测站,秦皇岛,68.15,90.57,119.57,117.74,111.54,111.02,110.81,112.87
31,31,1046A,119.5251,39.9041,建设大厦,秦皇岛,82.91,94.72,119.32,113.07,115.76,114.72,112.18,118.22
32,32,1048A,114.5302,36.6116,东污水处理厂,邯郸,77.67,105.26,124.05,129.02,129.89,118.2,118.6,118.84
33,33,1049A,114.4918,36.5713,矿院,邯郸,125.43,118.25,126.79,136.75,134.84,124.43,118.03,120.15
34,34,1050A,114.484,36.6133,丛台公园,邯郸,93.78,108.68,123.7,135.2,131.01,123.47,119.78,121.13
35,35,1051A,115.493,38.8632,游泳馆,保定,127.98,116.76,141.29,139.01,126.56,114.21,115.07,120.9
36,36,1053A,115.4713,38.9108,接待中心,保定,103.88,109.52,133.76,136.02,125.32,112.3,115.09,122.18
37,37,1056A,115.5086,38.8639,监测站,保定,119.36,103.94,128.54,132.1,125.27,116.58,113.07,122.38
38,38,1057A,114.8883,40.8336,人民公园,张家口,115.38,121.17,123.17,123.21,115.97,108.3,106.49,113.26
39,39,1059A,114.8687,40.8042,五金库,张家口,108.01,112.75,121.41,121.31,112.73,108.07,105.08,110.41
40,40,1060A,114.8902,40.762,世纪豪园,张家口,107.5,115.48,125.88,120.33,111.99,109.67,109.44,110.96
41,41,1062A,117.9531,40.9081,铁路,承德,115.31,114.57,110.61,113.08,105.84,103.2,92.47,99.59
42,42,1063A,117.9392,40.9763,中国银行,承德,117.69,119.88,113.84,113.57,108.69,105.95,98.59,101.91
43,43,1064A,117.9503,40.928,开发区,承德,117.81,119.89,117.74,119.25,108.2,111.43,101.01,108.73
44,44,1067A,116.6708,39.5111,药材公司,廊坊,96.53,108.3,127.94,117.01,119.54,116.53,111.36,118.4
45,45,1070A,116.7244,39.5269,北华航天学院,廊坊,109.31,116.44,131.97,127.31,125.39,120.93,113.22,117.95
46,46,1071A,116.8842,38.2991,沧县城建局,沧州,98.7,116.96,125.84,136.02,123.22,125.31,114.94,117.69
47,47,1072A,116.8584,38.3254,电视转播站,沧州,126.17,123.56,133.74,134.85,123.72,123.45,118.09,123.46
48,48,1073A,116.8709,38.3228,市环保局,沧州,103.05,121.99,133.11,133.53,119.2,122.15,114.56,124.4
49,49,1074A,115.6838,37.7541,电机北厂,衡水,116.7,126.76,115.83,130.2,122.36,128.29,120.04,123.4
50,50,1075A,115.6303,37.7316,市监测站,衡水,127.13,128.57,129.12,130.76,123.39,123.21,116.04,119.41
51,51,1077A,114.4704,37.0886,达活泉,邢台,108.95,114.9,136.2,133.41,129.94,122.6,122.32,125.23
52,52,1079A,114.5237,37.0851,路桥公司,邢台,91.04,98.38,134.42,132.31,126.02,122.16,122.33,123.43
53,53,1081A,112.5139,37.8873,尖草坪,太原,85.21,91.34,119.3,123.7,120.07,126.88,130.78,124.92
54,54,1084A,112.469,37.7124,晋源,太原,80.37,94.43,115.38,130.44,121.83,124.89,129.52,124.38
55,55,1085A,112.5583,37.7394,小店,太原,87.9,83.93,125.17,130.29,126.23,127.7,126.9,125.43
56,56,1086A,112.5369,37.8692,桃园,太原,62.74,92.05,121.31,127.6,121.69,125.57,132.41,124.87
57,57,1087A,112.57,37.8195,坞城,太原,69.56,85.48,109.39,126.38,120.66,124.97,129.39,126.24
58,58,1088A,112.549,37.9854,南寨,太原,115.92,112.29,118.33,121.27,117.78,125.62,122.44,118.84
59,59,1091A,111.6572,40.8033,小召,呼和浩特,86.72,111.55,115.66,102.96,103.64,100.99,100.56,105.92
60,60,1094A,111.7516,40.8369,如意水处理厂,呼和浩特,104.98,108.07,120.32,110.88,106.08,103.52,104.21,105.69
61,61,1095A,111.7276,40.8062,二十九中,呼和浩特,118.29,109.91,123.67,113.68,111.21,107.64,108.38,107.78
