,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1001A,116.3621,39.8784,万寿西宫,北京,100.65,85.2,61.67,63.24,64.89,63.7,60.54,68.9
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,107.88,88.86,78.25,77.14,76.03,73.83,68.15,79.46
2,2,1003A,116.4174,39.9289,东四,北京,95.35,81.97,63.7,70.12,71.67,71.07,64.9,75.16
3,3,1004A,116.4072,39.8863,天坛,北京,107.61,83.62,62.25,64.16,65.22,64.82,61.28,65.45
4,4,1005A,116.462,39.9365,农展馆,北京,105.87,86.03,68.49,69.07,69.71,67.6,61.86,70.01
5,5,1006A,116.3392,39.9295,官园,北京,99.26,80.21,67.06,69.67,70.49,70.34,61.71,70.55
6,6,1007A,116.2878,39.9611,海淀万柳,北京,93.95,80.44,59.66,67.65,65.03,63.92,57.2,64.96
7,7,1009A,116.6275,40.3275,怀柔镇,北京,99.59,77.33,78.94,73.74,72.4,72.64,66.52,75.88
8,8,1010A,116.2296,40.217,昌平镇,北京,93.6,75.9,64.16,74.3,72.45,69.58,66.56,73.45
9,9,1011A,116.3966,39.9821,奥体中心,北京,108.37,88.4,67.75,66.93,68.43,63.57,60.34,69.71
10,10,1012A,116.184,39.9136,古城,北京,105.17,86.43,65.1,69.51,65.63,64.1,59.94,71.41
11,11,1015A,117.1444,39.1661,勤俭道,天津,76.12,69.8,71.89,75.07,77.2,71.74,66.6,76.96
12,12,1017A,117.237,39.1082,大直沽八号路,天津,76.23,76.63,75.79,78.22,79.18,72.59,68.83,76.28
13,13,1018A,117.202,39.0927,前进道,天津,76.28,75.98,70.18,78.85,79.66,75.89,68.6,75.87
14,14,1021A,117.307,39.0877,跃进路,天津,74.88,68.41,66.24,72.37,75.65,70.48,65.69,72.89
15,15,1023A,117.707,39.0343,第四大街,天津,70.82,65.84,68.01,68.09,69.02,68.47,58.65,65.02
16,16,1024A,117.457,38.8394,永明路,天津,80.32,67.83,72.07,78.72,76.08,73.7,69.68,72.91
17,17,1026A,117.764,39.1587,汉北路,天津,82.79,70.96,74.46,73.43,68.96,67.73,65.2,70.24
18,18,1027A,117.157,38.9194,团泊洼(对照点),天津,90.17,88.94,65.4,69.13,72.32,67.24,67.41,76.28
19,19,1029A,114.4422,38.0444,职工医院,石家庄,71.73,71.98,62.1,74.68,67.73,65.01,69.3,71.44
20,20,1030A,114.6063,38.0266,高新区,石家庄,68.39,70.49,70.04,72.8,71.51,65.96,69.97,71.87
21,21,1031A,114.4898,38.1328,西北水源,石家庄,101.36,79.47,65.27,66.23,68.11,63.8,64.73,68.21
22,22,1032A,114.4586,38.0058,西南高教,石家庄,66.01,63.36,56.54,65.98,63.52,62.42,65.8,68.11
23,23,1033A,114.5331,38.0178,世纪公园,石家庄,82.92,75.94,61.79,70.3,67.06,69.73,69.67,71.66
24,24,1034A,114.509,38.0457,人民会堂,石家庄,92.49,68.6,59.43,72.29,74.84,71.3,77.05,79.3
25,25,1037A,118.131,39.6363,雷达站,唐山,97.59,85.11,66.19,70.97,67.45,66.63,66.51,74.43
26,26,1040A,118.1705,39.6506,十二中,唐山,97.83,83.94,68.83,65.53,67.22,64.32,66.0,70.73
27,27,1041A,118.1869,39.622,小山,唐山,99.54,84.2,68.56,71.32,65.71,68.13,62.3,72.42
28,28,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,64.18,71.82,80.23,76.49,80.29,78.76,73.77,80.13
29,29,1043A,119.7493,40.0116,第一关,秦皇岛,79.3,80.35,62.28,59.34,60.37,66.16,64.27,66.74
30,30,1044A,119.5897,39.9499,监测站,秦皇岛,58.28,66.35,72.13,73.68,68.28,70.82,68.81,73.02
31,31,1046A,119.5251,39.9041,建设大厦,秦皇岛,70.53,69.14,67.35,67.41,66.86,69.57,68.87,75.29
32,32,1048A,114.5302,36.6116,东污水处理厂,邯郸,62.67,71.2,64.52,73.79,71.96,68.19,71.9,71.98
33,33,1049A,114.4918,36.5713,矿院,邯郸,106.45,79.65,65.25,79.19,76.51,71.79,70.77,72.37
34,34,1050A,114.484,36.6133,丛台公园,邯郸,76.77,74.4,65.0,80.05,75.62,72.39,72.87,76.28
