,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,29.15,45.3,51.24,72.62,90.32,107.53,93.74,81.27,66.66,35.39,23.75,25.12
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,42.08,58.98,65.48,85.69,101.48,114.19,94.76,83.37,76.79,47.14,30.9,36.4
2,2,1003A,116.4174,39.9289,东四,北京,28.97,45.89,51.46,75.97,94.05,113.74,102.11,88.82,72.16,36.45,21.6,24.04
3,3,1004A,116.4072,39.8863,天坛,北京,28.95,45.53,50.85,71.53,88.93,104.76,93.27,80.42,64.19,35.48,22.66,23.68
4,4,1005A,116.462,39.9365,农展馆,北京,30.74,47.56,53.0,74.5,93.59,113.52,100.43,87.62,71.2,35.86,23.69,24.88
5,5,1006A,116.3392,39.9295,官园,北京,28.82,45.61,50.95,74.37,92.59,110.4,100.27,86.33,69.71,37.43,23.87,25.0
6,6,1007A,116.2878,39.9611,海淀万柳,北京,26.35,40.98,47.27,68.83,87.82,104.19,91.13,78.78,61.56,30.63,21.05,23.2
7,7,1009A,116.6275,40.3275,怀柔镇,北京,34.06,50.93,58.23,79.97,97.96,112.52,96.45,79.55,71.41,40.31,27.71,31.26
8,8,1010A,116.2296,40.217,昌平镇,北京,32.15,47.49,53.3,74.42,91.99,105.73,95.71,82.32,69.68,36.36,22.84,27.33
9,9,1011A,116.3966,39.9821,奥体中心,北京,31.67,48.61,54.3,73.94,95.3,111.46,101.35,84.37,67.68,34.9,22.91,25.45
10,10,1012A,116.184,39.9136,古城,北京,29.73,45.16,51.21,73.02,92.46,110.02,99.71,84.49,67.63,37.52,23.34,25.15
11,11,1015A,117.1444,39.1661,勤俭道,天津,26.58,42.71,50.91,73.22,94.2,115.86,97.01,82.64,75.59,39.42,23.67,20.59
12,12,1017A,117.237,39.1082,大直沽八号路,天津,29.26,47.94,54.54,77.96,97.16,114.41,98.05,85.53,78.51,42.62,24.64,22.47
13,13,1018A,117.202,39.0927,前进道,天津,29.62,47.66,53.6,74.68,96.11,112.81,99.55,83.93,76.56,41.88,25.24,24.1
14,14,1021A,117.307,39.0877,跃进路,天津,25.48,43.37,48.75,69.55,91.9,107.27,93.73,81.54,71.26,37.2,22.34,21.14
15,15,1023A,117.707,39.0343,第四大街,天津,22.75,38.88,44.02,63.36,83.11,95.87,83.26,75.51,72.56,39.99,22.32,17.94
16,16,1024A,117.457,38.8394,永明路,天津,24.46,41.78,52.11,75.04,93.5,117.9,103.68,88.67,77.26,41.53,25.08,18.69
17,17,1026A,117.764,39.1587,汉北路,天津,23.5,38.72,48.78,70.04,90.52,109.89,99.17,86.86,78.11,40.11,23.64,18.96
18,18,1027A,117.157,38.9194,团泊洼(对照点),天津,25.35,42.24,50.76,73.88,92.44,112.26,104.07,89.18,75.65,42.7,24.4,19.96
19,19,1029A,114.4422,38.0444,职工医院,石家庄,21.46,43.74,53.36,70.45,86.88,110.57,93.81,77.18,72.84,36.09,22.16,18.89
20,20,1030A,114.6063,38.0266,高新区,石家庄,24.19,41.17,52.68,66.62,87.2,114.76,94.74,77.26,75.08,37.59,23.55,19.21
21,21,1031A,114.4898,38.1328,西北水源,石家庄,21.75,43.21,52.75,71.37,89.43,117.48,98.76,83.0,71.21,36.2,22.15,17.77
22,22,1032A,114.4586,38.0058,西南高教,石家庄,19.27,37.18,44.9,63.12,76.07,106.17,88.94,71.46,67.77,32.93,20.19,15.92
23,23,1033A,114.5331,38.0178,世纪公园,石家庄,23.49,45.97,56.43,72.73,85.84,114.28,88.89,78.28,74.58,36.67,23.05,18.78
24,24,1034A,114.509,38.0457,人民会堂,石家庄,23.64,46.37,54.48,71.96,92.4,115.74,110.33,88.29,73.33,39.02,24.83,19.42
25,25,1037A,118.131,39.6363,雷达站,唐山,25.9,42.27,53.42,74.99,91.78,106.62,91.98,79.0,75.65,38.89,23.17,20.9
26,26,1040A,118.1705,39.6506,十二中,唐山,25.67,41.56,52.04,74.86,90.4,101.44,89.58,78.58,73.94,38.64,22.21,20.95
27,27,1041A,118.1869,39.622,小山,唐山,25.83,41.8,52.03,75.68,91.93,106.06,93.92,78.06,72.13,38.31,22.6,21.43
28,28,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,31.57,43.02,57.02,83.44,101.18,109.55,100.47,84.25,79.1,52.26,34.07,28.42
29,29,1043A,119.7493,40.0116,第一关,秦皇岛,31.24,45.4,53.59,70.64,83.87,84.55,74.22,65.61,59.69,39.31,30.39,26.26
30,30,1044A,119.5897,39.9499,监测站,秦皇岛,28.09,41.53,52.28,74.92,84.1,95.85,88.37,76.04,71.71,45.59,29.99,26.0
31,31,1046A,119.5251,39.9041,建设大厦,秦皇岛,27.79,44.34,56.95,80.54,90.73,95.83,82.03,71.2,66.21,43.98,29.23,24.13
32,32,1048A,114.5302,36.6116,东污水处理厂,邯郸,23.99,43.39,53.36,68.97,85.6,111.76,87.29,77.65,73.09,40.05,26.91,19.55
33,33,1049A,114.4918,36.5713,矿院,邯郸,26.34,48.61,61.67,78.06,95.24,121.22,96.77,83.53,76.65,42.95,28.97,19.67
34,34,1050A,114.484,36.6133,丛台公园,邯郸,25.54,45.62,57.96,77.4,93.12,114.84,91.98,83.95,77.89,43.71,28.17,19.78
35,35,1051A,115.493,38.8632,游泳馆,保定,23.44,45.22,59.85,84.78,101.06,127.32,109.17,91.78,80.73,38.6,21.61,18.61
36,36,1053A,115.4713,38.9108,接待中心,保定,23.8,47.51,59.0,79.96,95.99,123.73,104.82,86.73,78.55,39.09,23.73,19.35
37,37,1056A,115.5086,38.8639,监测站,保定,20.78,40.78,54.23,75.31,95.32,126.05,111.97,93.69,79.3,36.93,21.9,17.46
38,38,1057A,114.8883,40.8336,人民公园,张家口,54.42,68.7,77.09,91.83,104.35,111.2,104.45,88.59,74.57,56.42,44.9,48.53
39,39,1059A,114.8687,40.8042,五金库,张家口,51.97,67.08,74.61,90.5,102.52,110.9,104.33,89.32,74.13,54.66,42.06,46.36
40,40,1060A,114.8902,40.762,世纪豪园,张家口,50.98,66.75,74.48,88.89,104.63,114.24,108.82,88.7,72.62,55.25,42.18,45.88
41,41,1063A,117.9392,40.9763,中国银行,承德,28.3,45.42,54.58,75.55,88.55,91.65,81.88,60.31,48.84,30.73,23.95,24.46
42,42,1064A,117.9503,40.928,开发区,承德,30.45,49.13,59.11,79.95,94.86,100.4,92.36,68.75,55.88,36.1,25.62,26.38
43,43,1067A,116.6708,39.5111,药材公司,廊坊,26.37,44.69,53.57,74.8,93.01,110.34,97.68,83.68,71.59,37.53,22.68,21.33
44,44,1070A,116.7244,39.5269,北华航天学院,廊坊,26.44,45.1,55.94,80.91,96.58,114.53,99.16,86.89,74.09,35.81,22.49,21.54
45,45,1071A,116.8842,38.2991,沧县城建局,沧州,26.39,48.28,63.6,82.98,100.75,119.91,97.94,86.96,80.76,46.86,29.81,20.76
46,46,1072A,116.8584,38.3254,电视转播站,沧州,27.68,52.03,68.13,89.07,106.3,127.01,103.93,90.62,88.05,51.89,33.37,22.98
47,47,1073A,116.8709,38.3228,市环保局,沧州,27.95,50.17,63.29,85.23,102.3,122.97,97.44,88.83,85.36,48.49,31.89,21.07
48,48,1074A,115.6838,37.7541,电机北厂,衡水,28.43,52.55,68.49,89.01,106.59,128.14,102.12,83.08,88.55,52.73,32.48,22.85
49,49,1075A,115.6303,37.7316,市监测站,衡水,29.61,55.51,68.6,87.97,103.21,127.67,105.27,86.75,85.16,49.95,30.73,22.2
50,50,1077A,114.4704,37.0886,达活泉,邢台,24.86,46.75,56.5,74.99,90.5,119.79,102.23,86.84,77.66,38.98,24.51,19.75
51,51,1079A,114.5237,37.0851,路桥公司,邢台,23.34,41.71,51.32,69.67,86.78,115.63,97.45,78.87,66.75,36.62,25.39,18.56
52,52,1081A,112.5139,37.8873,尖草坪,太原,25.8,41.94,49.53,61.13,82.79,104.46,94.07,74.6,55.99,31.5,23.48,23.95
53,53,1084A,112.469,37.7124,晋源,太原,23.42,40.52,48.84,62.11,82.81,102.59,92.36,75.47,54.37,30.43,23.04,19.88
54,54,1085A,112.5583,37.7394,小店,太原,25.86,42.18,53.16,68.43,87.96,108.44,100.61,78.45,56.55,33.43,24.77,21.87
55,55,1086A,112.5369,37.8692,桃园,太原,26.18,39.92,47.02,58.75,83.75,105.23,94.97,72.71,55.2,30.73,23.62,22.76
56,56,1087A,112.57,37.8195,坞城,太原,26.14,38.23,46.65,60.84,82.21,105.04,98.79,78.63,59.14,34.04,26.62,24.05
57,57,1088A,112.549,37.9854,南寨,太原,23.78,40.7,50.19,64.39,82.42,96.98,88.2,70.42,51.1,30.77,21.76,20.34
58,58,1091A,111.6572,40.8033,小召,呼和浩特,28.49,44.92,55.74,68.25,78.47,92.49,95.37,79.39,58.33,42.71,29.88,25.74
59,59,1094A,111.7516,40.8369,如意水处理厂,呼和浩特,31.09,46.49,55.31,70.83,80.23,94.04,99.15,82.51,59.47,42.84,29.06,25.8
60,60,1095A,111.7276,40.8062,二十九中,呼和浩特,33.52,52.35,62.26,74.42,85.69,96.5,100.57,81.84,62.07,46.06,32.4,28.06
61,61,1097A,111.717,40.7612,化肥厂生活区,呼和浩特,31.29,49.44,56.41,68.22,77.08,90.9,90.3,75.08,57.87,41.92,30.38,25.64
62,62,1099A,123.505,41.7406,浑南东路,沈阳,25.25,45.16,64.35,81.04,89.8,87.82,81.66,63.19,52.08,38.41,27.1,22.19
63,63,1100A,123.4231,41.6989,新秀街,沈阳,25.89,43.87,59.89,78.84,91.5,86.52,82.0,63.44,50.51,39.79,27.77,22.98
64,64,1102A,123.5903,41.8411,东陵路,沈阳,31.86,47.59,63.81,78.96,92.47,87.82,81.14,61.19,50.9,38.56,30.37,27.05
65,65,1103A,123.4264,41.8467,陵东街,沈阳,28.47,44.01,58.64,74.22,83.77,78.68,75.09,55.3,50.12,40.42,29.9,24.72
66,66,1104A,123.4114,41.7653,文化路,沈阳,27.66,44.39,60.35,80.65,96.09,96.5,88.82,69.41,57.07,42.25,29.9,24.37
67,67,1105A,123.4678,41.7867,小河沿,沈阳,25.4,41.82,59.43,77.77,91.81,87.56,82.78,62.35,49.63,37.17,25.77,21.73
68,68,1106A,123.4017,41.7972,太原街,沈阳,22.0,36.93,52.34,72.39,87.94,88.56,79.66,64.85,52.3,38.31,24.12,20.26
69,69,1108A,123.3783,41.9228,京沈街,沈阳,35.47,52.01,67.44,85.27,103.46,100.3,89.16,72.42,59.73,45.78,34.07,28.77
70,70,1109A,121.612,38.9741,甘井子,大连,41.5,59.22,69.4,90.18,97.36,100.78,86.76,87.19,86.1,67.34,47.73,40.4
71,71,1110A,121.565,38.9511,周水子,大连,35.52,51.41,61.81,85.34,95.43,98.66,87.2,89.51,85.84,59.21,41.0,34.01
72,72,1111A,121.5637,38.8845,星海三站,大连,41.72,57.13,68.56,90.11,106.23,104.57,96.85,94.57,94.24,66.81,47.98,40.58
73,73,1112A,121.6302,38.9117,青泥洼桥,大连,36.44,51.68,66.49,90.18,101.51,101.09,85.19,84.19,87.69,63.5,44.27,36.5
74,74,1113A,121.6251,38.8638,傅家庄,大连,43.62,59.16,72.86,96.03,103.96,108.43,95.92,102.53,106.49,79.16,52.7,45.83
