,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1001A,116.3621,39.8784,万寿西宫,北京,58.5,57.97,57.77,59.01,62.19,61.68,58.47,66.6
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,70.47,67.82,72.23,70.45,70.49,68.81,63.38,74.42
2,2,1003A,116.4174,39.9289,东四,北京,55.16,56.93,58.59,65.35,68.01,67.79,61.33,71.26
3,3,1004A,116.4072,39.8863,天坛,北京,59.48,55.59,56.63,59.95,60.73,61.7,58.18,62.29
4,4,1005A,116.462,39.9365,农展馆,北京,60.47,60.28,63.45,64.32,65.95,65.43,58.85,66.89
5,5,1006A,116.3392,39.9295,官园,北京,56.05,55.08,61.45,64.88,67.36,66.75,58.66,67.76
6,6,1007A,116.2878,39.9611,海淀万柳,北京,51.26,53.85,53.95,61.82,60.29,59.36,53.15,62.02
7,7,1009A,116.6275,40.3275,怀柔镇,北京,59.85,53.35,72.29,67.84,66.94,68.03,62.04,70.26
8,8,1010A,116.2296,40.217,昌平镇,北京,57.39,54.15,57.09,66.95,66.08,63.92,61.23,67.26
9,9,1011A,116.3966,39.9821,奥体中心,北京,63.29,62.5,63.82,62.41,65.46,60.76,57.7,66.5
10,10,1012A,116.184,39.9136,古城,北京,59.78,59.64,60.92,66.21,62.85,60.7,57.37,66.88
11,11,1015A,117.1444,39.1661,勤俭道,天津,45.02,49.7,64.56,67.85,70.68,65.39,61.0,71.82
12,12,1017A,117.237,39.1082,大直沽八号路,天津,46.46,55.2,68.98,71.35,72.87,66.97,63.14,71.16
13,13,1018A,117.202,39.0927,前进道,天津,45.12,53.93,63.43,71.49,73.06,70.19,63.19,70.83
14,14,1021A,117.307,39.0877,跃进路,天津,43.6,47.4,59.69,65.98,68.69,64.49,59.16,67.38
15,15,1023A,117.707,39.0343,第四大街,天津,42.25,45.28,59.58,59.75,60.99,61.33,52.44,58.96
16,16,1024A,117.457,38.8394,永明路,天津,49.31,49.63,66.18,72.26,69.69,68.16,64.01,68.04
17,17,1026A,117.764,39.1587,汉北路,天津,51.34,52.06,67.34,67.69,62.28,61.72,59.45,64.65
18,18,1027A,117.157,38.9194,团泊洼(对照点),天津,55.19,62.57,59.28,63.8,66.5,62.35,62.41,71.33
19,19,1029A,114.4422,38.0444,职工医院,石家庄,38.77,47.59,58.56,70.7,63.29,60.68,65.07,68.15
20,20,1030A,114.6063,38.0266,高新区,石家庄,36.65,46.94,64.99,68.22,66.39,61.26,65.83,67.38
21,21,1031A,114.4898,38.1328,西北水源,石家庄,55.58,52.21,62.23,62.56,64.53,59.45,61.64,65.82
22,22,1032A,114.4586,38.0058,西南高教,石家庄,34.71,40.28,52.9,61.28,58.77,57.23,61.23,63.83
23,23,1033A,114.5331,38.0178,世纪公园,石家庄,44.48,49.97,58.01,66.38,62.71,65.13,65.72,67.58
24,24,1034A,114.509,38.0457,人民会堂,石家庄,51.12,47.7,56.33,68.43,70.73,66.66,72.73,74.69
25,25,1037A,118.131,39.6363,雷达站,唐山,53.84,56.64,59.14,64.16,60.64,60.72,60.41,68.33
26,26,1040A,118.1705,39.6506,十二中,唐山,54.38,55.61,61.08,58.42,60.55,58.68,59.95,65.98
27,27,1041A,118.1869,39.622,小山,唐山,56.06,56.11,61.21,64.31,58.61,61.99,55.95,66.69
28,28,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,42.97,55.85,74.93,73.45,73.92,72.94,68.66,74.93
29,29,1043A,119.7493,40.0116,第一关,秦皇岛,45.88,55.55,55.99,53.57,53.99,60.28,57.87,60.23
30,30,1044A,119.5897,39.9499,监测站,秦皇岛,37.23,49.32,65.09,67.42,62.49,64.93,63.13,67.9
31,31,1046A,119.5251,39.9041,建设大厦,秦皇岛,41.83,50.72,61.8,62.51,61.57,64.17,63.94,70.32
32,32,1048A,114.5302,36.6116,东污水处理厂,邯郸,33.99,48.01,59.37,68.09,66.81,64.7,67.0,67.59
33,33,1049A,114.4918,36.5713,矿院,邯郸,57.97,52.13,60.71,73.81,72.5,67.85,67.31,68.63
34,34,1050A,114.484,36.6133,丛台公园,邯郸,41.98,50.49,60.55,74.41,71.21,67.87,68.75,72.55
35,35,1051A,115.493,38.8632,游泳馆,保定,63.75,58.11,72.22,75.32,68.74,63.99,64.8,69.08
36,36,1053A,115.4713,38.9108,接待中心,保定,55.49,54.3,70.71,74.22,69.44,62.72,65.5,70.06
37,37,1056A,115.5086,38.8639,监测站,保定,62.1,53.0,66.53,69.97,68.64,64.91,62.5,69.02
38,38,1057A,114.8883,40.8336,人民公园,张家口,76.39,79.1,79.95,82.48,76.66,72.05,71.53,79.6
39,39,1059A,114.8687,40.8042,五金库,张家口,70.46,74.63,81.2,81.71,74.56,74.53,71.44,79.01
40,40,1060A,114.8902,40.762,世纪豪园,张家口,67.86,75.19,82.93,80.1,74.1,75.13,74.7,79.74
41,41,1063A,117.9392,40.9763,中国银行,承德,56.76,58.68,53.92,55.24,54.01,55.05,49.65,53.45
42,42,1064A,117.9503,40.928,开发区,承德,63.18,63.01,59.69,62.87,57.84,60.5,53.3,59.74
43,43,1067A,116.6708,39.5111,药材公司,廊坊,51.31,54.59,64.83,61.73,64.43,64.2,62.01,69.19
44,44,1070A,116.7244,39.5269,北华航天学院,廊坊,55.36,58.25,65.93,65.86,66.85,64.89,61.9,68.5
45,45,1071A,116.8842,38.2991,沧县城建局,沧州,52.51,61.94,67.77,76.18,69.29,72.78,66.65,70.58
46,46,1072A,116.8584,38.3254,电视转播站,沧州,70.71,66.04,73.99,76.4,71.88,71.43,68.78,75.52
47,47,1073A,116.8709,38.3228,市环保局,沧州,56.62,65.38,73.48,75.38,67.96,70.12,65.79,76.09
