,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,72.57,61.48,70.15,51.57,43.08,41.54,44.79,33.59,39.56,53.87,66.02,70.88
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,51.28,46.5,62.42,43.64,36.54,32.24,35.82,25.83,28.99,41.24,50.1,47.85
2,2,1003A,116.4174,39.9289,东四,北京,68.38,59.5,71.14,53.99,48.17,42.64,45.56,34.18,40.42,55.58,67.1,67.95
3,3,1004A,116.4072,39.8863,天坛,北京,69.96,59.18,67.98,49.71,41.59,41.22,43.89,32.83,37.32,50.22,62.9,66.61
4,4,1005A,116.462,39.9365,农展馆,北京,68.46,59.76,70.16,52.81,44.21,42.38,43.27,32.85,38.46,53.61,65.4,67.22
5,5,1006A,116.3392,39.9295,官园,北京,64.67,56.67,68.45,52.26,44.36,41.08,45.45,33.99,38.9,54.28,65.5,64.79
6,6,1007A,116.2878,39.9611,海淀万柳,北京,64.93,57.0,68.41,50.08,42.86,40.59,44.36,31.77,35.85,49.91,61.01,61.64
7,7,1008A,116.6636,40.135,顺义新城,北京,62.54,57.51,69.83,51.25,44.03,41.35,42.22,30.87,36.23,50.69,61.6,60.19
8,8,1009A,116.6275,40.3275,怀柔镇,北京,50.72,48.03,64.59,46.39,39.47,34.67,36.81,27.48,30.56,45.1,53.11,49.48
9,9,1010A,116.2296,40.217,昌平镇,北京,56.81,50.32,62.42,46.01,40.38,36.61,38.25,27.78,32.33,43.89,54.36,52.44
10,10,1011A,116.3966,39.9821,奥体中心,北京,63.51,56.61,69.97,52.33,43.76,40.25,44.03,32.24,38.37,52.98,63.86,62.86
11,11,1012A,116.184,39.9136,古城,北京,69.06,58.62,72.02,54.49,47.3,42.22,44.1,33.05,37.99,54.82,67.75,66.41
12,12,1015A,117.1444,39.1661,勤俭道,天津,81.35,63.49,65.47,52.94,42.01,43.86,41.6,34.55,39.6,52.66,68.51,79.66
13,13,1017A,117.237,39.1082,大直沽八号路,天津,77.01,62.31,65.3,53.16,44.62,43.58,40.77,33.91,36.69,51.53,67.35,74.84
14,14,1018A,117.202,39.0927,前进道,天津,79.77,66.63,67.62,53.62,42.18,41.96,40.39,33.68,37.44,50.47,66.57,75.83
15,15,1021A,117.307,39.0877,跃进路,天津,78.94,61.75,65.17,50.17,39.59,38.8,38.64,33.1,36.36,50.49,67.53,76.0
16,16,1023A,117.707,39.0343,第四大街,天津,75.34,60.88,64.33,53.82,43.44,43.69,39.82,34.79,37.69,51.69,65.26,70.71
17,17,1024A,117.457,38.8394,永明路,天津,79.2,62.67,63.61,51.62,40.12,40.31,37.63,33.45,36.89,49.21,65.73,76.4
18,18,1026A,117.764,39.1587,汉北路,天津,72.13,59.2,61.51,48.47,39.51,37.58,36.32,29.64,35.72,43.86,57.31,65.19
19,19,1027A,117.157,38.9194,团泊洼(对照点),天津,88.55,68.74,71.41,56.22,49.79,47.9,47.81,38.97,42.01,55.73,71.03,86.33
20,20,1029A,114.4422,38.0444,职工医院,石家庄,132.24,90.7,76.79,55.56,42.54,37.27,42.69,36.5,45.06,63.34,93.37,109.31
21,21,1030A,114.6063,38.0266,高新区,石家庄,130.68,91.47,78.21,55.98,49.19,44.05,47.65,38.05,47.82,64.08,91.47,110.44
22,22,1031A,114.4898,38.1328,西北水源,石家庄,138.69,97.61,82.23,60.04,51.52,48.03,49.97,35.66,45.21,60.76,90.98,111.3
23,23,1032A,114.4586,38.0058,西南高教,石家庄,130.23,91.08,76.17,55.15,48.06,41.81,44.68,37.24,42.43,63.19,91.91,110.12
24,24,1033A,114.5331,38.0178,世纪公园,石家庄,131.83,93.21,79.03,56.86,45.61,41.65,41.12,36.39,42.12,60.19,90.44,116.77
25,25,1034A,114.509,38.0457,人民会堂,石家庄,129.06,90.2,80.28,59.39,50.74,46.1,51.73,37.94,48.52,67.36,91.72,109.95
26,26,1037A,118.131,39.6363,雷达站,唐山,87.06,73.08,71.24,54.7,47.59,46.91,41.95,31.39,38.71,55.17,69.4,79.49
27,27,1040A,118.1705,39.6506,十二中,唐山,83.33,74.13,75.07,60.67,54.35,54.69,49.33,35.36,44.15,60.26,73.85,80.76
28,28,1041A,118.1869,39.622,小山,唐山,84.48,72.11,72.68,59.18,49.59,45.99,41.5,33.25,41.9,57.18,71.95,78.07
29,29,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,55.31,52.37,50.66,37.54,30.03,25.5,23.06,19.39,21.71,34.89,42.13,45.44
30,30,1043A,119.7493,40.0116,第一关,秦皇岛,58.94,52.67,53.69,39.83,32.75,30.35,27.96,20.75,23.7,35.92,45.7,51.05
31,31,1044A,119.5897,39.9499,监测站,秦皇岛,57.81,53.52,56.73,43.32,35.83,35.35,33.39,26.2,28.96,39.92,44.51,48.9
32,32,1046A,119.5251,39.9041,建设大厦,秦皇岛,56.81,51.01,55.48,41.32,33.99,30.78,27.93,21.08,25.22,38.49,46.0,51.85
33,33,1048A,114.5302,36.6116,东污水处理厂,邯郸,124.84,86.8,64.76,59.5,46.78,49.23,45.41,42.64,44.59,55.61,82.98,115.29
34,34,1049A,114.4918,36.5713,矿院,邯郸,130.96,93.7,69.83,62.28,46.61,48.88,48.27,44.97,50.53,56.89,87.94,122.12
35,35,1050A,114.484,36.6133,丛台公园,邯郸,127.22,86.3,61.44,57.58,45.53,45.72,42.46,41.16,43.81,55.21,79.88,113.18
36,36,1051A,115.493,38.8632,游泳馆,保定,125.98,94.77,73.95,54.57,45.44,38.9,43.9,37.87,45.75,66.0,85.78,102.44
37,37,1053A,115.4713,38.9108,接待中心,保定,130.84,96.69,75.61,53.12,45.33,40.43,39.76,35.37,43.04,62.27,84.75,103.77
38,38,1056A,115.5086,38.8639,监测站,保定,128.36,93.19,72.39,54.61,47.66,42.33,43.3,34.05,45.2,62.96,83.53,103.98
39,39,1057A,114.8883,40.8336,人民公园,张家口,33.6,30.08,35.66,26.67,25.02,22.76,26.26,19.85,18.93,27.06,32.23,28.01
40,40,1059A,114.8687,40.8042,五金库,张家口,32.64,31.55,38.89,25.74,24.38,19.73,22.2,16.35,16.09,24.44,33.39,28.23
41,41,1060A,114.8902,40.762,世纪豪园,张家口,38.42,34.39,42.9,30.93,30.04,26.51,30.13,23.19,21.32,29.62,36.3,28.14
