,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1001A,116.3621,39.8784,万寿西宫,北京,84.92,78.11,62.71,51.45,45.66,40.07,36.08,33.02
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,64.53,59.89,47.4,42.6,33.5,31.53,30.45,24.7
2,2,1003A,116.4174,39.9289,东四,北京,87.36,79.7,62.67,53.31,44.24,39.98,36.41,32.45
3,3,1004A,116.4072,39.8863,天坛,北京,82.2,73.54,58.5,49.69,44.98,39.47,34.9,31.71
4,4,1005A,116.462,39.9365,农展馆,北京,85.63,76.03,60.47,51.75,44.41,39.22,35.88,31.85
5,5,1006A,116.3392,39.9295,官园,北京,82.32,76.82,58.37,52.49,42.8,38.66,35.98,32.25
6,6,1007A,116.2878,39.9611,海淀万柳,北京,80.14,71.36,56.97,49.95,41.87,38.23,34.7,31.57
7,7,1008A,116.6636,40.135,顺义新城,北京,81.43,71.36,57.84,51.5,41.73,36.4,34.91,29.76
8,8,1009A,116.6275,40.3275,怀柔镇,北京,70.58,61.08,49.92,43.65,34.73,31.53,32.06,26.85
9,9,1010A,116.2296,40.217,昌平镇,北京,69.26,61.54,52.18,46.01,37.35,34.16,32.85,27.9
10,10,1011A,116.3966,39.9821,奥体中心,北京,81.47,73.58,57.88,52.03,42.43,38.11,35.98,31.71
11,11,1012A,116.184,39.9136,古城,北京,83.69,77.34,62.11,54.51,44.13,40.76,36.62,31.9
12,12,1015A,117.1444,39.1661,勤俭道,天津,68.51,71.86,65.0,53.68,55.2,48.87,42.07,38.11
13,13,1017A,117.237,39.1082,大直沽八号路,天津,67.89,70.48,64.58,52.67,51.83,48.62,40.76,36.76
14,14,1018A,117.202,39.0927,前进道,天津,72.26,71.15,65.25,51.06,51.36,50.39,39.08,36.24
15,15,1021A,117.307,39.0877,跃进路,天津,65.32,66.29,63.67,53.01,51.64,46.9,41.26,36.25
16,16,1023A,117.707,39.0343,第四大街,天津,75.2,63.2,60.73,50.61,50.4,50.04,40.1,36.91
17,17,1024A,117.457,38.8394,永明路,天津,70.04,66.26,62.15,50.89,49.62,47.29,40.62,37.46
18,18,1026A,117.764,39.1587,汉北路,天津,61.35,57.58,57.72,47.05,48.19,45.48,37.96,35.33
19,19,1027A,117.157,38.9194,团泊洼(对照点),天津,84.31,84.6,71.16,59.36,56.0,52.58,39.12,36.21
20,20,1029A,114.4422,38.0444,职工医院,石家庄,83.01,96.96,86.38,68.81,60.31,57.45,49.52,46.78
21,21,1030A,114.6063,38.0266,高新区,石家庄,89.54,99.67,88.0,71.18,63.55,59.58,47.55,46.04
22,22,1031A,114.4898,38.1328,西北水源,石家庄,96.79,99.18,91.03,77.87,63.63,59.36,47.19,45.44
23,23,1032A,114.4586,38.0058,西南高教,石家庄,83.48,97.82,86.03,65.65,65.91,58.51,48.62,47.64
24,24,1033A,114.5331,38.0178,世纪公园,石家庄,93.3,103.33,80.91,69.84,59.95,55.61,47.25,46.49
25,25,1034A,114.509,38.0457,人民会堂,石家庄,88.61,101.1,90.67,74.51,64.54,58.54,49.71,47.44
26,26,1037A,118.131,39.6363,雷达站,唐山,83.72,75.05,64.89,58.31,52.91,48.03,42.98,37.99
27,27,1040A,118.1705,39.6506,十二中,唐山,87.68,79.81,71.87,60.63,57.13,51.4,49.29,38.82
28,28,1041A,118.1869,39.622,小山,唐山,88.47,75.52,68.34,61.35,53.75,47.55,41.25,35.13
29,29,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,48.54,41.56,40.04,30.63,39.55,32.39,33.27,25.64
30,30,1043A,119.7493,40.0116,第一关,秦皇岛,49.19,47.38,41.44,36.32,39.96,33.6,37.94,29.15
31,31,1044A,119.5897,39.9499,监测站,秦皇岛,47.13,48.45,47.81,45.62,43.74,37.71,36.2,28.89
32,32,1046A,119.5251,39.9041,建设大厦,秦皇岛,42.55,46.4,48.5,42.87,41.99,34.23,35.21,27.61
33,33,1048A,114.5302,36.6116,东污水处理厂,邯郸,92.1,80.24,89.18,65.45,63.23,54.98,48.33,52.0
34,34,1049A,114.4918,36.5713,矿院,邯郸,96.3,87.43,87.62,75.39,68.56,58.59,48.69,52.38
35,35,1050A,114.484,36.6133,丛台公园,邯郸,87.97,74.97,86.77,65.66,63.22,57.01,46.47,50.5
36,36,1051A,115.493,38.8632,游泳馆,保定,107.6,89.21,84.54,65.46,56.35,50.17,45.27,44.43
37,37,1053A,115.4713,38.9108,接待中心,保定,98.94,92.35,84.47,70.11,59.62,50.58,42.22,41.71
38,38,1056A,115.5086,38.8639,监测站,保定,109.72,93.27,83.32,64.96,56.62,47.74,40.75,45.41
39,39,1057A,114.8883,40.8336,人民公园,张家口,36.73,35.15,32.68,28.82,22.27,20.48,25.66,15.41
40,40,1059A,114.8687,40.8042,五金库,张家口,28.93,28.81,26.14,28.23,24.24,24.29,27.73,20.35
41,41,1060A,114.8902,40.762,世纪豪园,张家口,36.16,34.7,33.29,33.21,29.56,27.94,31.0,21.77
42,42,1061A,114.8916,40.8661,北泵房(对照点),张家口,33.81,31.73,39.12,34.44,27.26,23.81,28.79,23.41
43,43,1062A,117.9531,40.9081,铁路,承德,41.48,36.99,31.47,28.98,30.07,29.35,31.77,26.38
