,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,72.08,62.09,70.07,51.63,42.91,41.78,45.22,33.38,39.67,53.12,67.28,70.9
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,50.88,47.66,62.56,43.92,36.58,32.49,36.18,25.96,29.25,40.83,50.55,48.03
2,2,1003A,116.4174,39.9289,东四,北京,67.76,60.4,71.06,54.24,48.11,42.7,46.32,34.11,40.49,54.83,68.62,67.34
3,3,1004A,116.4072,39.8863,天坛,北京,69.53,59.82,67.72,50.19,41.78,41.37,44.25,32.79,37.47,49.71,64.25,66.43
4,4,1005A,116.462,39.9365,农展馆,北京,67.85,60.43,70.13,52.97,44.11,42.66,43.77,32.66,38.59,52.6,66.48,66.5
5,5,1006A,116.3392,39.9295,官园,北京,65.09,57.53,68.38,52.6,44.23,41.31,45.96,33.98,39.2,53.49,66.81,64.43
6,6,1007A,116.2878,39.9611,海淀万柳,北京,64.42,57.9,68.32,50.37,42.93,40.79,44.72,31.76,36.04,49.15,62.07,61.29
7,7,1008A,116.6636,40.135,顺义新城,北京,62.2,58.46,69.76,51.88,44.48,41.45,42.78,30.7,36.91,50.07,62.51,59.63
8,8,1009A,116.6275,40.3275,怀柔镇,北京,50.67,49.01,64.66,46.32,39.39,34.81,37.28,27.61,31.38,44.63,53.91,49.1
9,9,1010A,116.2296,40.217,昌平镇,北京,56.29,51.34,62.64,46.4,40.4,36.8,38.53,27.98,32.71,43.42,54.61,52.2
10,10,1011A,116.3966,39.9821,奥体中心,北京,62.94,57.34,70.05,52.7,43.68,40.54,44.5,32.53,38.52,52.14,65.07,62.29
11,11,1012A,116.184,39.9136,古城,北京,68.63,59.29,71.95,54.74,47.58,42.5,44.38,33.35,38.18,53.99,68.63,66.18
12,12,1015A,117.1444,39.1661,勤俭道,天津,80.7,64.63,65.27,53.1,41.82,44.26,41.74,34.35,40.12,53.2,69.69,80.43
13,13,1017A,117.237,39.1082,大直沽八号路,天津,76.44,63.55,65.09,53.36,44.75,43.53,41.07,33.65,37.2,52.13,68.31,75.08
14,14,1018A,117.202,39.0927,前进道,天津,79.12,67.62,67.62,53.54,42.39,42.14,40.38,33.48,37.92,51.05,67.66,76.4
15,15,1021A,117.307,39.0877,跃进路,天津,77.95,63.25,64.96,50.29,39.65,39.11,39.2,32.91,36.95,51.24,68.65,76.3
16,16,1023A,117.707,39.0343,第四大街,天津,74.71,61.85,64.19,53.74,43.25,43.69,39.99,34.7,37.94,52.31,66.25,71.36
17,17,1024A,117.457,38.8394,永明路,天津,78.39,63.77,63.49,51.39,39.91,40.23,37.72,33.56,37.4,49.75,66.94,76.89
18,18,1026A,117.764,39.1587,汉北路,天津,71.46,60.19,61.8,48.76,39.76,38.39,36.51,30.07,36.09,44.89,58.2,65.93
19,19,1027A,117.157,38.9194,团泊洼(对照点),天津,87.59,69.94,71.43,56.8,49.63,48.07,47.89,38.74,42.71,56.14,72.34,86.85
20,20,1029A,114.4422,38.0444,职工医院,石家庄,132.6,91.3,76.53,55.34,42.29,37.46,43.21,35.98,45.42,63.43,95.22,108.5
21,21,1030A,114.6063,38.0266,高新区,石家庄,131.01,92.34,78.08,55.86,49.17,44.83,48.47,37.9,48.16,64.37,93.11,111.41
22,22,1031A,114.4898,38.1328,西北水源,石家庄,138.16,98.52,82.21,59.71,51.37,48.62,50.25,35.2,45.55,60.87,92.89,112.34
23,23,1032A,114.4586,38.0058,西南高教,石家庄,130.24,91.67,75.72,54.96,47.97,42.01,44.95,37.02,42.76,63.55,93.64,109.45
24,24,1033A,114.5331,38.0178,世纪公园,石家庄,130.96,93.99,78.76,56.64,45.48,41.81,41.49,36.16,42.23,60.66,91.99,117.67
25,25,1034A,114.509,38.0457,人民会堂,石家庄,128.7,90.22,80.09,59.17,50.71,46.43,52.02,37.52,49.11,67.5,92.85,109.61
26,26,1037A,118.131,39.6363,雷达站,唐山,85.96,74.13,70.81,54.96,47.5,47.14,41.98,30.9,39.16,55.4,70.2,80.07
27,27,1040A,118.1705,39.6506,十二中,唐山,82.51,74.83,74.8,60.81,54.02,55.41,49.42,35.01,44.88,60.55,74.67,80.74
28,28,1041A,118.1869,39.622,小山,唐山,83.24,73.12,72.45,59.2,49.21,46.18,41.61,32.84,42.35,57.31,72.76,78.06
29,29,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,55.17,53.21,50.24,37.67,29.96,25.64,23.08,19.29,22.34,35.06,42.47,46.21
30,30,1043A,119.7493,40.0116,第一关,秦皇岛,58.63,53.25,53.4,39.85,32.54,30.66,28.12,20.72,24.37,35.92,46.03,51.82
31,31,1044A,119.5897,39.9499,监测站,秦皇岛,57.63,54.21,56.57,43.12,35.6,35.55,33.44,25.99,29.5,40.03,44.8,49.27
32,32,1046A,119.5251,39.9041,建设大厦,秦皇岛,56.71,51.6,55.38,41.01,33.54,31.01,27.98,21.04,25.76,38.54,46.47,52.04
33,33,1048A,114.5302,36.6116,东污水处理厂,邯郸,124.15,88.21,65.07,59.62,46.91,49.58,45.4,42.46,44.66,56.61,83.49,116.19
34,34,1049A,114.4918,36.5713,矿院,邯郸,131.54,96.01,70.22,62.2,46.54,49.13,48.07,44.65,50.09,57.9,88.54,123.32
35,35,1050A,114.484,36.6133,丛台公园,邯郸,127.1,87.07,61.56,57.79,45.58,45.86,42.32,41.07,43.61,56.05,80.24,114.02
36,36,1051A,115.493,38.8632,游泳馆,保定,125.44,95.14,73.43,54.62,45.29,39.09,44.19,37.47,46.1,66.55,86.83,103.1
37,37,1053A,115.4713,38.9108,接待中心,保定,130.22,97.08,75.42,53.02,45.3,40.63,40.1,34.95,43.52,62.58,85.69,104.41
38,38,1056A,115.5086,38.8639,监测站,保定,127.45,93.6,71.89,54.75,47.54,42.45,43.62,34.03,45.46,63.54,84.52,104.62
39,39,1057A,114.8883,40.8336,人民公园,张家口,33.34,30.53,35.64,26.79,25.08,22.77,26.46,19.87,19.23,27.07,32.65,28.19
40,40,1059A,114.8687,40.8042,五金库,张家口,32.59,32.2,38.82,25.92,24.66,19.95,22.6,16.79,16.92,24.99,33.91,28.9
41,41,1060A,114.8902,40.762,世纪豪园,张家口,38.34,34.87,42.82,30.91,29.82,26.45,30.38,23.24,21.64,29.72,36.0,28.4
42,42,1061A,114.8916,40.8661,北泵房(对照点),张家口,34.98,33.14,41.53,29.4,28.11,25.97,29.97,23.34,19.63,29.95,36.81,33.97
43,43,1063A,117.9392,40.9763,中国银行,承德,45.89,41.7,42.37,28.12,25.87,23.87,24.93,18.32,20.73,30.06,41.17,43.72
44,44,1064A,117.9503,40.928,开发区,承德,47.21,40.99,45.2,32.61,30.09,28.7,31.43,23.59,24.7,33.38,43.16,45.13
45,45,1067A,116.6708,39.5111,药材公司,廊坊,80.21,68.55,64.82,47.83,40.37,41.63,39.08,32.67,37.76,52.14,70.41,79.12
