,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1001A,116.3621,39.8784,万寿西宫,北京,84.94,78.44,62.38,51.68,45.6,40.43,36.31,33.1
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,64.43,60.12,47.39,43.24,33.6,32.01,30.64,24.82
2,2,1003A,116.4174,39.9289,东四,北京,87.26,80.18,62.56,53.63,44.24,40.36,36.51,32.49
3,3,1004A,116.4072,39.8863,天坛,北京,82.17,74.02,58.36,50.17,45.19,39.77,35.01,31.77
4,4,1005A,116.462,39.9365,农展馆,北京,85.06,76.4,60.28,51.9,44.37,39.49,36.09,31.85
5,5,1006A,116.3392,39.9295,官园,北京,82.19,77.37,59.02,52.93,42.75,39.03,36.14,32.28
6,6,1007A,116.2878,39.9611,海淀万柳,北京,80.21,71.51,56.7,50.22,41.91,38.62,34.86,31.74
7,7,1008A,116.6636,40.135,顺义新城,北京,81.27,72.26,57.73,51.93,41.83,36.81,35.08,29.75
8,8,1009A,116.6275,40.3275,怀柔镇,北京,70.54,61.17,50.07,44.06,35.05,32.05,32.2,26.89
9,9,1010A,116.2296,40.217,昌平镇,北京,69.31,61.6,51.92,46.46,37.3,34.63,32.96,28.02
10,10,1011A,116.3966,39.9821,奥体中心,北京,81.55,73.93,57.75,52.35,42.45,38.57,36.09,31.67
11,11,1012A,116.184,39.9136,古城,北京,83.81,77.59,61.7,54.88,44.4,41.22,36.72,31.94
12,12,1015A,117.1444,39.1661,勤俭道,天津,69.12,72.76,65.12,53.88,55.51,49.17,42.12,38.12
13,13,1017A,117.237,39.1082,大直沽八号路,天津,68.33,70.9,64.69,52.89,52.36,48.79,40.85,36.86
14,14,1018A,117.202,39.0927,前进道,天津,72.64,71.44,65.69,51.49,51.74,50.56,39.05,36.33
15,15,1021A,117.307,39.0877,跃进路,天津,66.34,67.11,63.64,53.1,51.92,47.3,41.28,36.36
16,16,1023A,117.707,39.0343,第四大街,天津,75.78,63.65,60.83,50.75,50.74,50.12,40.1,36.99
17,17,1024A,117.457,38.8394,永明路,天津,70.43,66.51,62.39,50.89,49.95,47.52,40.68,37.66
18,18,1026A,117.764,39.1587,汉北路,天津,63.5,58.59,57.94,47.1,48.42,45.71,37.98,35.42
19,19,1027A,117.157,38.9194,团泊洼(对照点),天津,84.97,84.91,71.59,59.44,56.51,52.84,39.15,36.31
20,20,1029A,114.4422,38.0444,职工医院,石家庄,83.49,97.49,85.93,68.71,60.22,57.67,49.98,46.85
21,21,1030A,114.6063,38.0266,高新区,石家庄,90.44,100.57,88.12,71.62,63.97,60.19,47.72,46.19
22,22,1031A,114.4898,38.1328,西北水源,石家庄,97.27,100.75,90.86,77.8,63.53,59.81,47.45,45.59
23,23,1032A,114.4586,38.0058,西南高教,石家庄,83.54,98.78,85.85,65.7,65.99,58.69,48.71,47.69
24,24,1033A,114.5331,38.0178,世纪公园,石家庄,94.24,104.29,80.37,69.76,59.88,55.78,47.41,46.63
25,25,1034A,114.509,38.0457,人民会堂,石家庄,89.07,101.83,90.21,74.41,64.2,58.66,49.91,47.62
26,26,1037A,118.131,39.6363,雷达站,唐山,84.2,75.22,64.87,58.23,53.15,48.07,42.97,38.28
27,27,1040A,118.1705,39.6506,十二中,唐山,88.13,80.29,71.8,60.61,57.17,51.17,49.51,38.95
28,28,1041A,118.1869,39.622,小山,唐山,88.77,75.63,68.14,61.18,54.06,47.49,41.28,35.16
29,29,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,49.19,41.95,39.86,30.67,39.86,32.4,33.42,25.78
30,30,1043A,119.7493,40.0116,第一关,秦皇岛,49.29,47.79,41.46,36.33,40.33,33.69,37.95,29.47
31,31,1044A,119.5897,39.9499,监测站,秦皇岛,47.34,48.75,47.76,45.67,43.88,37.68,36.27,29.06
32,32,1046A,119.5251,39.9041,建设大厦,秦皇岛,42.72,46.72,48.42,42.94,42.29,34.25,35.1,27.71
33,33,1048A,114.5302,36.6116,东污水处理厂,邯郸,92.48,81.54,89.0,65.41,64.26,54.8,48.23,52.21
34,34,1049A,114.4918,36.5713,矿院,邯郸,97.13,88.56,87.45,75.11,69.66,58.86,48.7,52.58
35,35,1050A,114.484,36.6133,丛台公园,邯郸,88.22,76.25,86.6,65.56,63.56,57.06,46.62,50.62
