,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1015A,117.1444,39.1661,勤俭道,天津,117.21,97.0,118.38,108.07,89.82,73.72,63.49,58.86,67.96,84.41,106.26,120.37
1,1,1017A,117.237,39.1082,大直沽八号路,天津,112.91,93.01,118.97,105.4,94.38,74.93,63.33,55.15,66.26,79.91,104.3,111.59
2,2,1018A,117.202,39.0927,前进道,天津,113.11,94.34,118.44,104.87,90.74,69.79,63.16,56.22,65.35,78.43,100.87,112.02
3,3,1021A,117.307,39.0877,跃进路,天津,117.23,95.14,121.36,107.89,96.49,79.12,66.58,61.84,70.02,84.01,108.25,117.59
4,4,1023A,117.707,39.0343,第四大街,天津,107.07,90.73,116.31,105.27,91.79,70.03,58.29,54.64,63.88,75.77,97.84,110.3
5,5,1024A,117.457,38.8394,永明路,天津,114.56,93.34,112.88,101.08,89.52,70.54,56.05,53.51,63.14,76.76,102.24,117.34
6,6,1026A,117.764,39.1587,汉北路,天津,106.45,88.27,112.1,99.07,88.46,63.55,52.85,49.82,61.63,74.58,94.1,104.19
7,7,1027A,117.157,38.9194,团泊洼(对照点),天津,116.02,94.04,123.39,102.87,94.74,73.38,61.96,57.69,67.88,79.48,101.66,120.66
8,8,1029A,114.4422,38.0444,职工医院,石家庄,206.58,143.36,160.55,133.12,119.17,93.64,83.41,77.13,99.64,120.98,165.31,173.93
9,9,1030A,114.6063,38.0266,高新区,石家庄,201.79,140.14,157.05,128.02,117.18,91.0,79.48,69.55,94.67,117.51,155.87,177.84
10,10,1031A,114.4898,38.1328,西北水源,石家庄,213.65,152.1,170.71,137.46,118.84,95.77,84.55,71.57,95.45,118.65,162.37,178.21
11,11,1032A,114.4586,38.0058,西南高教,石家庄,199.9,138.88,152.47,120.2,103.99,84.71,72.21,65.74,87.38,111.48,151.06,168.3
12,12,1033A,114.5331,38.0178,世纪公园,石家庄,192.47,135.92,153.8,120.62,107.06,87.95,72.93,66.32,86.45,109.35,145.75,172.95
13,13,1034A,114.509,38.0457,人民会堂,石家庄,187.09,130.99,149.01,123.06,107.97,81.77,77.07,61.75,81.65,111.53,146.36,161.61
14,14,1037A,118.131,39.6363,雷达站,唐山,131.81,111.9,128.33,109.78,101.95,83.91,68.97,59.11,73.68,96.08,115.39,127.78
15,15,1040A,118.1705,39.6506,十二中,唐山,131.35,118.57,139.37,122.84,113.35,91.7,78.05,64.17,80.6,106.38,123.82,126.63
16,16,1041A,118.1869,39.622,小山,唐山,128.22,112.68,135.0,124.45,115.26,89.39,71.78,61.7,82.64,102.93,124.1,125.65
17,17,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,86.66,79.03,92.36,77.16,65.39,45.6,39.67,32.48,39.0,60.97,73.33,75.69
18,18,1043A,119.7493,40.0116,第一关,秦皇岛,96.2,88.05,106.08,86.96,72.3,54.54,48.2,38.28,49.69,68.99,79.23,87.46
