,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1015A,117.1444,39.1661,勤俭道,天津,120.84,112.1,108.07,91.25,82.27,71.4,80.95,70.39
1,1,1017A,117.237,39.1082,大直沽八号路,天津,121.74,106.97,103.62,88.87,80.57,69.13,81.42,68.04
2,2,1018A,117.202,39.0927,前进道,天津,119.64,112.48,105.49,85.88,77.44,66.55,78.79,65.45
3,3,1021A,117.307,39.0877,跃进路,天津,125.28,117.08,107.17,90.52,81.31,73.7,85.27,70.99
4,4,1023A,117.707,39.0343,第四大街,天津,115.31,105.15,103.38,82.68,75.54,66.18,77.44,68.89
5,5,1024A,117.457,38.8394,永明路,天津,118.75,104.64,103.63,87.99,81.45,66.91,74.16,63.53
6,6,1026A,117.764,39.1587,汉北路,天津,109.65,99.26,96.73,80.14,75.6,63.41,73.95,64.84
7,7,1027A,117.157,38.9194,团泊洼(对照点),天津,131.18,117.69,103.24,88.83,77.28,65.72,79.37,67.1
8,8,1029A,114.4422,38.0444,职工医院,石家庄,146.72,170.47,170.7,143.69,125.1,107.97,101.77,84.48
9,9,1030A,114.6063,38.0266,高新区,石家庄,146.93,166.72,165.65,137.98,114.38,103.02,99.3,85.83
10,10,1031A,114.4898,38.1328,西北水源,石家庄,159.61,160.76,171.14,144.79,127.75,105.81,106.19,89.96
11,11,1032A,114.4586,38.0058,西南高教,石家庄,143.31,158.01,148.69,121.54,115.25,101.75,97.35,84.13
12,12,1033A,114.5331,38.0178,世纪公园,石家庄,147.99,158.06,146.59,125.72,114.62,97.86,95.02,82.72
13,13,1034A,114.509,38.0457,人民会堂,石家庄,143.47,157.46,145.8,121.07,110.59,96.15,91.9,80.81
14,14,1037A,118.131,39.6363,雷达站,唐山,132.15,122.53,110.21,103.56,94.11,80.01,88.43,74.66
15,15,1040A,118.1705,39.6506,十二中,唐山,147.24,131.95,130.05,116.21,100.38,89.21,82.44,66.94
16,16,1041A,118.1869,39.622,小山,唐山,140.93,126.97,123.49,112.6,100.17,88.37,87.45,69.06
17,17,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,80.93,71.35,69.6,59.82,66.47,54.36,59.3,49.73
18,18,1043A,119.7493,40.0116,第一关,秦皇岛,101.54,80.29,73.7,68.91,68.06,65.8,69.27,55.85
19,19,1044A,119.5897,39.9499,监测站,秦皇岛,103.64,87.35,86.03,82.26,75.17,58.31,67.91,55.51
20,20,1046A,119.5251,39.9041,建设大厦,秦皇岛,103.26,102.62,98.1,94.18,83.67,71.52,73.4,57.74
21,21,1048A,114.5302,36.6116,东污水处理厂,邯郸,162.64,148.31,164.75,136.95,130.93,104.59,93.17,83.34
22,22,1049A,114.4918,36.5713,矿院,邯郸,187.61,153.96,156.45,141.38,123.68,109.36,95.63,83.31
23,23,1050A,114.484,36.6133,丛台公园,邯郸,157.48,149.22,154.73,126.0,121.9,96.13,93.97,80.06
24,24,1051A,115.493,38.8632,游泳馆,保定,170.76,136.92,128.85,106.15,91.15,80.88,83.56,74.58
25,25,1053A,115.4713,38.9108,接待中心,保定,167.28,145.26,134.42,118.61,104.8,88.73,87.92,81.26
26,26,1056A,115.5086,38.8639,监测站,保定,181.81,147.07,144.81,117.93,100.77,90.46,89.66,83.15
27,27,1057A,114.8883,40.8336,人民公园,张家口,79.57,80.96,74.67,85.95,60.31,57.83,62.84,42.96
28,28,1059A,114.8687,40.8042,五金库,张家口,83.67,89.23,82.4,91.57,62.04,52.67,70.29,44.34
29,29,1060A,114.8902,40.762,世纪豪园,张家口,88.64,91.68,81.92,95.33,67.88,58.08,66.04,46.85
30,30,1061A,114.8916,40.8661,北泵房(对照点),张家口,79.14,82.23,80.99,96.89,66.85,55.16,65.41,44.09
31,31,1062A,117.9531,40.9081,铁路,承德,94.71,84.81,97.58,94.94,71.15,61.26,66.46,50.53
32,32,1063A,117.9392,40.9763,中国银行,承德,85.89,81.93,82.35,79.18,59.13,53.12,56.35,45.77
33,33,1064A,117.9503,40.928,开发区,承德,87.73,75.0,73.81,71.03,55.97,48.11,60.85,48.53
34,34,1067A,116.6708,39.5111,药材公司,廊坊,142.01,115.97,103.27,93.45,81.42,78.7,81.73,67.87
35,35,1070A,116.7244,39.5269,北华航天学院,廊坊,126.08,107.88,99.96,97.02,85.67,75.74,84.7,75.88
36,36,1071A,116.8842,38.2991,沧县城建局,沧州,123.31,108.01,111.79,101.0,88.99,81.49,78.75,69.74
37,37,1072A,116.8584,38.3254,电视转播站,沧州,119.68,108.76,113.7,105.73,89.92,81.36,79.8,68.65
38,38,1073A,116.8709,38.3228,市环保局,沧州,120.02,111.34,104.1,103.81,90.07,84.27,79.33,69.73
39,39,1074A,115.6838,37.7541,电机北厂,衡水,180.52,144.64,139.93,99.98,94.41,81.72,77.88,77.74
40,40,1075A,115.6303,37.7316,市监测站,衡水,177.5,157.22,144.79,107.92,101.54,85.46,82.04,85.94
41,41,1077A,114.4704,37.0886,达活泉,邢台,166.45,137.99,152.5,128.82,112.97,92.87,85.58,89.38
42,42,1079A,114.5237,37.0851,路桥公司,邢台,168.71,145.59,154.47,143.81,117.38,90.28,85.39,83.39
43,43,1081A,112.5139,37.8873,尖草坪,太原,112.95,125.15,133.82,144.09,109.84,94.68,106.26,85.85
44,44,1084A,112.469,37.7124,晋源,太原,107.82,113.4,136.87,141.87,110.3,102.19,104.67,85.68
45,45,1085A,112.5583,37.7394,小店,太原,103.06,121.27,135.27,129.41,116.31,103.12,108.38,93.59
46,46,1087A,112.57,37.8195,坞城,太原,115.48,132.36,145.07,133.45,111.31,101.66,103.47,85.55
47,47,1091A,111.6572,40.8033,小召,呼和浩特,100.12,88.03,98.3,96.34,74.81,81.63,90.32,54.76
48,48,1094A,111.7516,40.8369,如意水处理厂,呼和浩特,94.26,80.35,87.09,90.85,65.38,64.49,71.16,51.68
49,49,1095A,111.7276,40.8062,二十九中,呼和浩特,97.76,83.32,86.87,88.12,68.26,73.03,85.48,54.78
50,50,1097A,111.717,40.7612,化肥厂生活区,呼和浩特,97.08,90.12,82.9,99.03,72.59,71.67,80.84,61.01
51,51,1099A,123.505,41.7406,浑南东路,沈阳,105.95,96.15,90.42,77.25,82.23,79.73,71.15,57.4
52,52,1100A,123.4231,41.6989,新秀街,沈阳,112.49,97.73,93.61,78.82,82.94,78.93,68.0,59.0
53,53,1102A,123.5903,41.8411,东陵路,沈阳,107.95,91.51,84.5,70.46,75.5,68.1,61.09,53.73
54,54,1103A,123.4264,41.8467,陵东街,沈阳,120.2,91.54,87.25,74.36,74.56,72.65,64.89,53.39
55,55,1104A,123.4114,41.7653,文化路,沈阳,110.67,96.02,91.69,78.42,83.6,77.75,68.37,57.72
56,56,1105A,123.4678,41.7867,小河沿,沈阳,108.07,96.43,86.7,76.62,78.69,72.33,68.24,55.69
57,57,1106A,123.4017,41.7972,太原街,沈阳,123.55,97.63,84.81,70.49,73.52,71.39,66.05,58.68
58,58,1108A,123.3783,41.9228,京沈街,沈阳,105.3,88.91,91.42,73.97,77.9,72.58,62.98,56.93
59,59,1109A,121.612,38.9741,甘井子,大连,95.15,79.29,66.05,63.1,68.25,58.1,58.29,43.82
60,60,1110A,121.565,38.9511,周水子,大连,88.39,72.8,62.73,57.07,67.09,64.66,67.7,46.5
61,61,1111A,121.5637,38.8845,星海三站,大连,79.83,69.68,61.01,55.89,56.99,46.62,51.98,42.13
62,62,1112A,121.6302,38.9117,青泥洼桥,大连,79.26,64.23,60.11,63.65,65.85,50.34,54.53,42.08
63,63,1113A,121.6251,38.8638,傅家庄,大连,70.97,62.41,57.51,54.52,49.7,43.98,48.87,38.13
64,64,1115A,121.2529,38.8061,旅顺,大连,73.5,59.84,53.26,45.9,49.72,41.92,45.27,36.41
65,65,1116A,121.7485,39.1311,金州,大连,91.07,71.16,66.1,61.36,74.2,57.39,57.26,44.19
66,66,1117A,121.7811,39.0496,开发区,大连,84.7,70.88,60.9,53.54,58.91,49.28,53.26,41.7
67,67,1119A,125.3325,43.9166,食品厂,长春,120.64,93.56,94.46,74.79,72.54,62.89,62.53,55.16
68,68,1120A,125.2863,43.9027,客车厂,长春,108.88,90.18,91.27,63.01,70.26,58.55,56.51,53.98
69,69,1121A,125.2841,43.8463,邮电学院,长春,107.46,82.19,96.53,72.26,73.43,77.32,80.05,55.09
70,70,1123A,125.3297,43.8805,园林处,长春,100.43,66.74,69.06,60.36,61.52,55.16,50.29,47.53
71,71,1124A,125.4605,43.79,净月潭,长春,73.73,60.39,55.89,43.15,48.88,47.97,40.33,39.33
72,72,1126A,125.3863,43.8447,经开区环卫处,长春,114.51,79.78,85.68,64.1,64.51,58.87,52.25,48.4
73,73,1127A,125.245,43.7783,高新区管委会,长春,98.71,73.4,85.0,69.03,70.6,66.99,56.1,49.51
74,74,1128A,125.1761,43.8325,岱山公园,长春,105.86,86.9,84.46,68.23,72.6,66.81,60.73,54.14
75,75,1129A,126.5422,45.755,岭北(对照点),哈尔滨,101.33,68.02,89.73,52.49,67.69,57.26,51.63,57.61
76,76,1130A,126.561,45.8167,松北商大,哈尔滨,101.67,61.16,80.67,60.17,64.3,58.51,51.77,49.05
77,77,1131A,126.979,45.5419,阿城会宁,哈尔滨,99.8,80.36,77.03,59.39,69.88,66.88,57.68,59.71
78,78,1133A,126.689,45.7733,太平宏伟公园,哈尔滨,109.0,78.96,87.74,69.61,75.51,69.96,62.92,63.91
79,79,1134A,126.635,45.7667,道外承德广场,哈尔滨,110.82,73.45,87.74,66.63,68.36,69.4,54.59,59.66
80,80,1137A,126.593,45.7478,道里建国路,哈尔滨,93.67,59.04,75.48,64.69,69.74,59.49,56.85,54.77
81,81,1138A,126.615,45.61,平房东轻厂,哈尔滨,96.01,69.79,73.14,56.07,63.84,64.62,55.92,56.32
82,82,1142A,121.478,31.2036,十五厂,上海,74.84,69.91,59.09,53.02,47.84,39.05,42.91,37.48
83,83,1143A,121.467,31.3008,虹口,上海,72.73,60.26,56.97,48.85,45.23,42.17,43.77,39.07
84,84,1144A,121.412,31.1654,徐汇上师大,上海,73.98,64.01,56.79,51.81,46.92,40.63,46.53,40.41
85,85,1147A,121.425,31.2261,静安监测站,上海,72.86,62.07,57.4,56.17,54.11,45.18,50.31,42.63
86,86,1148A,121.703,31.1907,浦东川沙,上海,67.24,55.18,53.97,47.07,43.55,36.77,41.34,39.08
87,87,1149A,121.533,31.2284,浦东新区监测站,上海,71.32,63.85,53.6,48.92,45.11,39.97,43.01,39.72
88,88,1150A,121.577,31.2071,浦东张江,上海,73.92,64.39,61.63,56.7,48.33,37.79,41.53,35.04
89,89,1151A,118.8086,32.1065,迈皋桥,南京,102.2,93.22,87.96,86.08,74.71,53.58,64.48,56.56
90,90,1152A,118.7538,32.0551,草场门,南京,87.4,84.36,71.64,73.46,66.62,49.93,58.66,50.84
91,91,1153A,118.7794,32.0745,山西路,南京,103.76,89.12,86.55,79.12,73.19,58.33,60.42,57.45
92,92,1154A,118.7752,32.0023,中华门,南京,98.03,80.91,74.07,74.87,72.49,57.95,62.5,57.13
93,93,1155A,118.8109,32.0309,瑞金路,南京,104.61,81.12,78.66,76.65,68.37,57.35,66.65,54.32
94,94,1156A,118.7997,32.0754,玄武湖,南京,79.31,79.35,73.12,69.43,62.17,49.18,51.28,50.56
95,95,1158A,118.7356,31.9996,奥体中心,南京,105.76,99.72,85.41,77.42,83.79,64.23,69.32,58.35
96,96,1159A,118.9125,32.1028,仙林大学城,南京,97.96,81.9,82.48,79.33,71.71,57.43,59.33,51.04
97,97,1160A,120.561,31.2472,上方山(对照点),苏州,83.79,68.74,67.07,66.51,59.92,47.64,48.53,48.24
98,98,1163A,120.596,31.3264,轧钢厂,苏州,85.97,73.12,68.85,60.93,57.97,47.39,50.27,47.66
99,99,1164A,120.613,31.2703,吴中区,苏州,83.59,74.88,67.31,60.85,58.17,45.5,47.93,43.86
100,100,1166A,120.669,31.3097,苏州工业园区,苏州,78.03,65.86,62.9,73.09,60.62,48.17,48.0,41.38
101,101,1168A,120.9098,31.9663,狼山街道,南通,78.82,68.93,63.85,65.1,59.5,43.31,44.3,41.63
102,102,1169A,120.86,32.0005,虹桥,南通,88.3,69.41,65.88,66.51,58.12,43.52,47.98,44.46
103,103,1170A,120.87,32.02,城中,南通,90.21,72.66,66.44,63.55,57.19,47.43,48.87,44.16
104,104,1171A,120.94,31.93,星湖花园,南通,83.5,72.85,69.89,66.19,57.21,47.2,48.59,41.38
105,105,1172A,120.81,32.0417,紫琅学院,南通,91.1,70.65,66.67,62.01,57.08,48.16,49.8,45.81
106,106,1173A,119.176,34.5885,市环境监测站,连云港,94.59,91.92,76.46,70.33,72.91,54.12,71.21,59.34
107,107,1177A,117.179,34.2761,黄河新村,徐州,125.53,129.03,134.44,112.28,105.67,90.79,91.9,79.69
108,108,1178A,117.1918,34.2384,淮塔,徐州,112.64,100.9,95.81,95.68,80.91,67.45,67.67,75.56
109,109,1180A,117.256,34.2153,新城区,徐州,121.15,124.93,137.09,111.66,104.27,84.9,89.78,80.56
110,110,1181A,117.244,34.2911,桃园路,徐州,126.71,121.17,127.84,112.88,107.0,92.39,95.04,84.92
111,111,1182A,117.2933,34.2778,农科院,徐州,121.65,121.57,135.99,113.46,105.46,92.54,90.2,76.2
112,112,1188A,120.269,31.4867,雪浪,无锡,83.55,72.47,69.46,68.27,65.55,55.19,56.09,49.58
113,113,1191A,120.242,31.5031,漆塘,无锡,84.75,78.38,74.19,69.73,63.1,50.33,52.5,45.0
114,114,1193A,120.354,31.5475,旺庄,无锡,93.31,85.64,75.44,72.44,69.81,57.2,56.19,48.92
115,115,1195A,120.299,31.6817,堰桥,无锡,111.04,90.93,83.72,85.53,78.22,60.36,64.05,52.67
116,116,1196A,119.9633,31.762,市监测站,常州,98.61,87.08,80.55,78.14,71.07,61.38,65.04,58.59
117,117,1200A,119.9468,31.7069,武进监测站,常州,99.58,86.23,73.19,76.26,77.11,64.41,65.47,57.19
118,118,1201A,119.9255,31.9087,安家,常州,109.41,93.13,80.38,80.61,73.7,61.33,65.21,57.47
119,119,1203A,119.6707,32.1875,新区办事处,镇江,88.19,85.65,99.44,80.16,77.55,60.54,64.19,53.11
120,120,1204A,119.4974,32.1968,职教中心,镇江,85.48,81.98,90.59,75.69,72.7,55.74,60.27,50.99
121,121,1205A,119.4303,32.1328,丹徒区监测站,镇江,91.72,79.95,89.46,74.11,73.19,56.61,62.15,54.2
122,122,1206A,119.905,32.4878,公园路,泰州,107.81,88.74,78.66,81.17,71.06,56.39,61.83,51.87
123,123,1207A,119.9189,32.4625,莲花,泰州,100.24,95.45,83.76,77.45,71.47,55.98,57.92,51.5
124,124,1209A,119.888,32.4639,留学生创业园,泰州,87.71,102.41,76.58,72.43,70.21,54.74,61.24,55.65
125,125,1210A,119.036,33.5981,钵池山,淮安,89.69,81.05,81.83,77.84,73.02,60.86,64.97,55.15
126,126,1211A,119.007,33.575,北京南路,淮安,98.17,95.25,94.35,90.88,84.27,66.2,70.9,62.81
127,127,1212A,118.989,33.6067,市监测站,淮安,97.17,93.42,89.18,86.83,82.08,61.01,63.12,62.09
128,128,1213A,119.135,33.5039,楚州区监测站,淮安,94.89,93.57,94.95,86.33,81.38,63.85,69.87,61.76
129,129,1214A,119.0186,33.6297,淮阴区监测站,淮安,103.0,99.39,98.45,86.54,71.7,62.71,68.48,60.06
130,130,1215A,120.118,33.4022,盐城电厂,盐城,96.12,83.85,91.61,86.62,76.97,66.16,67.15,52.98
131,131,1216A,120.156,33.3942,市监测站,盐城,96.24,83.32,86.57,80.32,69.42,54.44,55.99,46.94
132,132,1218A,120.2144,33.38,开发区管委会,盐城,60.47,66.19,76.26,67.59,63.75,45.72,49.27,43.55
133,133,1220A,118.293,33.9528,宿迁学院,宿迁,101.76,88.39,84.95,82.42,86.66,70.18,72.96,61.43
134,134,1223A,120.2072,30.2111,滨江,杭州,86.93,84.18,72.75,63.9,64.17,52.74,56.24,53.18
135,135,1224A,120.0633,30.2747,西溪,杭州,75.49,70.1,69.39,62.58,65.13,52.3,51.87,46.94
136,136,1226A,120.3461,30.3153,下沙,杭州,87.15,80.95,72.79,68.42,64.52,52.01,56.58,56.58
137,137,1227A,120.1269,30.2456,卧龙桥,杭州,72.49,69.75,61.45,56.6,56.87,46.8,47.16,44.01
