,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1015A,117.1444,39.1661,勤俭道,天津,116.46,97.25,119.27,108.94,90.92,75.81,63.81,58.21,68.84,84.21,107.44,121.18
1,1,1017A,117.237,39.1082,大直沽八号路,天津,111.42,93.41,118.37,106.81,95.58,77.25,63.92,54.58,67.03,80.18,105.11,111.63
2,2,1018A,117.202,39.0927,前进道,天津,112.34,95.49,118.03,105.4,92.37,71.41,63.48,55.69,66.09,78.63,101.74,112.22
3,3,1021A,117.307,39.0877,跃进路,天津,115.24,97.08,121.35,108.86,97.69,79.9,67.15,61.44,70.99,84.86,109.23,117.81
4,4,1023A,117.707,39.0343,第四大街,天津,106.55,91.24,116.17,106.82,93.83,72.02,58.54,54.37,64.28,76.34,98.78,110.36
5,5,1024A,117.457,38.8394,永明路,天津,114.39,94.94,113.08,101.82,91.05,72.22,56.18,53.71,63.47,77.37,104.05,117.48
6,6,1026A,117.764,39.1587,汉北路,天津,103.87,89.22,113.09,100.2,89.96,64.78,53.38,49.61,62.19,75.13,95.04,105.43
7,7,1029A,114.4422,38.0444,职工医院,石家庄,206.37,144.21,160.45,133.51,118.14,93.47,84.18,76.6,100.2,121.18,167.28,173.55
8,8,1030A,114.6063,38.0266,高新区,石家庄,201.72,141.75,157.6,127.93,116.66,91.92,80.45,69.33,95.47,118.95,157.77,179.07
9,9,1031A,114.4898,38.1328,西北水源,石家庄,212.77,153.76,171.89,136.98,118.74,96.25,85.2,70.8,95.95,118.81,164.57,179.56
10,10,1032A,114.4586,38.0058,西南高教,石家庄,199.66,139.96,152.36,119.96,103.91,84.56,72.75,65.91,88.15,112.13,153.22,167.35
11,11,1033A,114.5331,38.0178,世纪公园,石家庄,191.16,137.0,154.2,120.58,106.77,87.64,73.44,66.08,86.68,110.16,147.34,173.94
12,12,1034A,114.509,38.0457,人民会堂,石家庄,186.48,131.04,149.42,123.22,107.77,81.24,77.6,61.22,82.58,111.94,147.16,161.29
13,13,1037A,118.131,39.6363,雷达站,唐山,130.4,112.87,128.2,110.2,102.38,82.34,68.93,58.51,74.41,96.77,115.92,128.23
14,14,1040A,118.1705,39.6506,十二中,唐山,130.32,119.69,139.42,123.02,113.37,91.77,78.06,63.4,81.92,107.38,124.29,126.43
15,15,1041A,118.1869,39.622,小山,唐山,126.83,113.3,135.12,124.76,115.01,89.12,71.77,61.1,83.6,103.57,124.64,125.22
16,16,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,86.77,79.85,92.14,76.98,65.09,45.91,39.68,32.32,39.76,61.39,73.69,76.58
17,17,1043A,119.7493,40.0116,第一关,秦皇岛,95.93,88.45,106.09,86.94,72.01,54.66,48.19,38.22,50.5,69.07,79.48,88.06
18,18,1044A,119.5897,39.9499,监测站,秦皇岛,96.91,89.42,103.09,90.04,78.5,62.54,58.89,48.71,55.93,75.27,81.8,85.1
19,19,1046A,119.5251,39.9041,建设大厦,秦皇岛,106.75,95.44,116.94,99.75,89.46,70.84,62.43,53.06,64.12,84.31,90.42,94.9
20,20,1048A,114.5302,36.6116,东污水处理厂,邯郸,200.38,148.86,146.25,131.67,108.66,94.6,79.34,79.59,90.47,113.33,153.18,195.73
21,21,1049A,114.4918,36.5713,矿院,邯郸,204.53,155.41,152.4,139.79,110.16,97.18,89.31,84.88,97.26,107.38,152.61,192.85
