,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1015A,117.1444,39.1661,勤俭道,天津,124.18,112.45,107.77,91.42,83.26,71.51,80.93,70.37
1,1,1017A,117.237,39.1082,大直沽八号路,天津,125.18,107.03,103.22,88.85,80.76,69.17,81.51,68.19
2,2,1018A,117.202,39.0927,前进道,天津,123.15,112.1,104.86,86.2,78.52,66.62,78.65,65.55
3,3,1021A,117.307,39.0877,跃进路,天津,127.86,117.72,106.71,90.77,82.67,73.73,85.23,71.06
4,4,1023A,117.707,39.0343,第四大街,天津,120.23,105.22,103.54,82.72,75.67,66.27,77.33,68.84
5,5,1024A,117.457,38.8394,永明路,天津,122.83,104.99,103.78,88.13,82.77,66.75,74.18,63.77
6,6,1026A,117.764,39.1587,汉北路,天津,113.67,99.64,96.15,80.28,76.17,63.64,73.98,64.97
7,7,1029A,114.4422,38.0444,职工医院,石家庄,147.3,171.78,170.0,143.44,125.28,108.03,101.87,84.49
8,8,1030A,114.6063,38.0266,高新区,石家庄,147.91,168.02,165.97,138.87,115.41,103.69,99.63,86.05
9,9,1031A,114.4898,38.1328,西北水源,石家庄,160.42,163.35,170.86,144.3,127.69,106.25,106.97,90.05
10,10,1032A,114.4586,38.0058,西南高教,石家庄,143.77,159.56,148.88,121.61,115.34,101.99,97.34,84.11
11,11,1033A,114.5331,38.0178,世纪公园,石家庄,149.13,159.2,146.0,125.59,114.5,98.01,95.34,83.0
12,12,1034A,114.509,38.0457,人民会堂,石家庄,144.05,158.47,145.58,120.6,110.33,96.16,92.26,80.93
13,13,1037A,118.131,39.6363,雷达站,唐山,132.77,122.82,110.5,103.37,94.53,80.11,88.45,73.61
14,14,1040A,118.1705,39.6506,十二中,唐山,147.81,132.6,129.97,115.59,100.85,89.23,82.74,67.12
15,15,1041A,118.1869,39.622,小山,唐山,141.31,127.13,123.39,112.19,100.55,88.25,87.53,69.16
16,16,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,81.67,71.83,69.47,59.85,66.86,54.39,59.43,49.94
