,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,14.03,11.67,10.04,6.09,5.33,4.54,3.08,2.55,3.12,3.36,6.31,8.93
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,11.01,8.52,6.87,4.52,3.88,3.63,3.0,3.31,2.95,3.38,5.41,7.04
2,2,1003A,116.4174,39.9289,东四,北京,13.6,11.61,10.79,6.87,6.17,4.99,3.2,3.0,3.94,4.47,7.61,9.71
3,3,1004A,116.4072,39.8863,天坛,北京,10.49,8.82,8.0,5.7,5.42,4.74,3.49,3.11,3.56,3.86,5.18,6.03
4,4,1005A,116.462,39.9365,农展馆,北京,15.15,12.25,10.75,6.9,6.13,5.23,3.42,3.72,3.99,4.36,6.89,9.49
5,5,1006A,116.3392,39.9295,官园,北京,14.65,12.03,10.35,6.72,6.11,4.92,3.22,2.99,3.58,4.18,6.64,9.84
6,6,1007A,116.2878,39.9611,海淀万柳,北京,14.05,11.85,10.13,6.2,5.42,4.51,3.07,2.67,3.08,3.29,5.75,9.4
7,7,1008A,116.6636,40.135,顺义新城,北京,11.69,10.12,9.49,6.57,5.31,4.24,2.82,2.67,3.14,3.61,6.53,7.79
8,8,1009A,116.6275,40.3275,怀柔镇,北京,8.23,7.08,6.69,4.85,4.37,3.71,2.99,2.99,3.39,3.96,4.62,4.82
9,9,1010A,116.2296,40.217,昌平镇,北京,12.94,10.36,8.12,5.15,4.29,3.74,2.81,2.72,3.11,3.1,5.15,7.47
10,10,1011A,116.3966,39.9821,奥体中心,北京,14.39,12.25,10.53,6.26,5.42,4.42,3.18,2.84,3.17,3.36,5.86,9.2
11,11,1012A,116.184,39.9136,古城,北京,13.47,10.89,9.52,5.45,5.04,4.08,2.82,2.75,2.85,3.12,5.43,8.0
12,12,1015A,117.1444,39.1661,勤俭道,天津,31.25,25.01,19.65,13.54,11.31,9.4,6.02,6.48,10.75,13.21,19.35,22.19
13,13,1017A,117.237,39.1082,大直沽八号路,天津,28.84,21.94,19.32,13.13,11.33,9.43,5.67,6.91,10.65,11.54,16.15,18.48
14,14,1018A,117.202,39.0927,前进道,天津,30.05,20.69,18.87,12.87,11.15,9.59,5.58,7.4,10.45,12.01,17.55,20.07
15,15,1021A,117.307,39.0877,跃进路,天津,29.92,23.65,18.24,12.37,10.35,9.34,5.24,6.64,10.5,11.48,16.45,19.61
16,16,1023A,117.707,39.0343,第四大街,天津,23.35,18.8,17.26,13.13,11.7,9.04,5.25,6.24,9.57,12.23,16.63,19.28
17,17,1024A,117.457,38.8394,永明路,天津,24.86,18.32,16.24,11.92,10.96,11.32,7.73,8.08,10.38,12.06,16.02,19.89
18,18,1026A,117.764,39.1587,汉北路,天津,17.3,14.19,14.95,11.78,10.69,9.02,6.13,8.37,10.62,11.73,15.03,15.55
19,19,1027A,117.157,38.9194,团泊洼(对照点),天津,23.6,20.09,17.84,12.72,11.14,10.47,6.48,8.31,11.26,13.63,16.59,19.94
20,20,1029A,114.4422,38.0444,职工医院,石家庄,54.12,38.92,29.89,21.58,19.3,14.64,9.46,8.18,16.69,16.73,25.93,34.7
21,21,1030A,114.6063,38.0266,高新区,石家庄,51.79,36.09,28.16,22.49,22.03,16.81,12.18,10.48,16.75,17.74,25.65,34.1
22,22,1031A,114.4898,38.1328,西北水源,石家庄,43.65,35.35,27.37,20.08,18.98,14.84,8.83,8.26,12.1,13.95,23.38,31.88
23,23,1032A,114.4586,38.0058,西南高教,石家庄,49.58,37.29,25.97,19.4,16.41,15.45,8.86,8.69,15.12,16.93,22.38,31.68
24,24,1033A,114.5331,38.0178,世纪公园,石家庄,49.83,36.93,29.38,20.02,19.76,18.13,11.99,11.71,14.53,13.07,20.56,32.54
25,25,1034A,114.509,38.0457,人民会堂,石家庄,50.55,38.15,27.91,21.29,21.11,15.4,11.84,10.3,15.44,17.67,24.08,32.26
26,26,1037A,118.131,39.6363,雷达站,唐山,40.51,31.02,29.81,26.22,22.96,22.93,16.07,15.63,19.03,20.38,26.91,30.82
27,27,1040A,118.1705,39.6506,十二中,唐山,43.67,38.71,36.3,32.97,28.9,27.98,21.6,21.17,24.92,26.37,32.1,33.64
28,28,1041A,118.1869,39.622,小山,唐山,42.83,34.59,35.31,31.02,28.17,31.01,24.93,22.96,24.27,23.71,28.85,32.82
29,29,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,40.25,28.53,25.55,17.4,14.26,12.16,9.84,12.08,13.69,17.34,21.8,26.14
30,30,1043A,119.7493,40.0116,第一关,秦皇岛,48.99,40.04,28.67,16.99,15.91,14.59,10.54,10.78,12.35,16.4,25.15,35.55
31,31,1044A,119.5897,39.9499,监测站,秦皇岛,36.33,28.71,26.74,18.49,17.01,13.67,10.95,13.03,13.58,16.69,22.51,24.4
32,32,1046A,119.5251,39.9041,建设大厦,秦皇岛,35.23,28.1,25.72,18.09,16.42,13.52,10.83,15.41,15.0,18.22,21.49,26.6
33,33,1048A,114.5302,36.6116,东污水处理厂,邯郸,50.44,35.65,20.91,20.43,18.39,17.95,11.75,14.21,16.65,18.25,23.7,37.35
34,34,1049A,114.4918,36.5713,矿院,邯郸,54.52,43.25,28.68,22.11,20.23,16.42,12.62,15.26,18.82,20.33,24.15,40.15
35,35,1050A,114.484,36.6133,丛台公园,邯郸,49.7,38.08,25.32,23.84,20.8,17.38,12.45,15.51,18.51,19.03,21.71,34.45
36,36,1051A,115.493,38.8632,游泳馆,保定,58.09,45.39,29.35,19.64,19.7,16.45,15.56,12.27,14.02,14.97,21.74,32.59
37,37,1053A,115.4713,38.9108,接待中心,保定,40.61,31.43,23.0,16.46,15.68,12.58,9.59,8.83,11.93,13.37,22.89,28.09
38,38,1056A,115.5086,38.8639,监测站,保定,60.7,48.76,32.7,20.17,19.57,16.96,13.63,10.79,13.88,15.95,27.57,37.47
39,39,1057A,114.8883,40.8336,人民公园,张家口,29.73,24.14,18.05,9.14,7.35,10.2,8.1,8.23,6.96,9.04,19.31,22.78
40,40,1059A,114.8687,40.8042,五金库,张家口,24.5,20.85,23.71,16.78,16.01,11.85,12.37,11.8,10.25,12.03,17.45,21.06
41,41,1060A,114.8902,40.762,世纪豪园,张家口,26.74,24.61,19.22,10.05,12.56,10.52,9.53,8.98,7.21,9.09,17.33,20.24
42,42,1062A,117.9531,40.9081,铁路,承德,25.04,19.71,14.43,10.68,9.75,8.1,6.58,7.87,9.91,11.45,15.88,19.86
43,43,1063A,117.9392,40.9763,中国银行,承德,20.41,17.17,15.4,15.24,12.27,8.69,7.94,7.38,8.17,8.43,10.13,14.44
44,44,1064A,117.9503,40.928,开发区,承德,23.03,17.03,16.53,14.25,15.07,14.08,10.39,9.52,10.15,10.14,14.25,17.01
45,45,1067A,116.6708,39.5111,药材公司,廊坊,22.18,18.82,16.22,11.52,11.14,10.24,7.12,6.47,7.1,7.97,12.55,16.52
46,46,1070A,116.7244,39.5269,北华航天学院,廊坊,23.62,18.73,15.48,10.71,10.62,9.94,7.16,6.55,7.99,9.26,13.96,17.47
47,47,1071A,116.8842,38.2991,沧县城建局,沧州,42.88,33.12,26.23,20.53,19.57,17.14,11.25,11.71,18.47,19.68,23.58,30.9
48,48,1072A,116.8584,38.3254,电视转播站,沧州,39.33,34.07,26.32,18.9,18.41,17.45,13.01,11.74,15.11,16.21,22.41,30.84
49,49,1073A,116.8709,38.3228,市环保局,沧州,37.79,32.2,24.72,18.91,18.91,16.98,11.4,11.2,14.82,16.29,21.12,30.3
50,50,1074A,115.6838,37.7541,电机北厂,衡水,37.05,28.95,21.25,17.35,15.53,13.46,10.39,9.92,13.13,14.28,18.69,26.76
51,51,1075A,115.6303,37.7316,市监测站,衡水,32.37,27.84,18.64,16.89,15.33,14.0,10.06,10.95,11.95,12.1,16.92,25.24
52,52,1077A,114.4704,37.0886,达活泉,邢台,50.63,41.11,31.37,25.52,24.7,21.01,14.09,12.99,18.43,15.74,23.2,34.9
53,53,1079A,114.5237,37.0851,路桥公司,邢台,57.85,45.71,33.64,28.45,25.61,22.09,16.39,12.88,20.72,20.08,25.27,39.54
54,54,1081A,112.5139,37.8873,尖草坪,太原,66.46,46.69,31.78,17.88,18.73,16.43,10.1,11.16,16.42,20.63,46.59,48.68
55,55,1084A,112.469,37.7124,晋源,太原,89.05,60.27,39.94,24.28,22.46,20.11,13.68,13.42,20.54,26.05,58.77,67.52
56,56,1085A,112.5583,37.7394,小店,太原,91.61,59.28,48.11,30.12,25.55,21.78,15.12,15.71,23.61,32.29,66.02,79.17
57,57,1086A,112.5369,37.8692,桃园,太原,77.52,55.09,36.87,18.58,19.04,17.56,11.88,12.59,17.66,21.78,48.48,59.44
58,58,1087A,112.57,37.8195,坞城,太原,98.83,75.45,46.42,21.49,22.61,19.38,12.74,13.96,21.2,25.32,63.06,69.7
59,59,1088A,112.549,37.9854,南寨,太原,58.02,44.1,32.46,18.84,16.41,13.25,9.39,9.72,13.3,16.4,33.41,42.7
60,60,1091A,111.6572,40.8033,小召,呼和浩特,55.36,42.53,33.13,16.47,10.86,10.3,9.59,9.02,9.17,16.25,31.32,42.07
61,61,1094A,111.7516,40.8369,如意水处理厂,呼和浩特,38.55,32.78,24.18,14.2,10.49,9.14,7.03,7.35,10.51,14.84,24.55,30.67
62,62,1095A,111.7276,40.8062,二十九中,呼和浩特,33.21,27.67,20.28,11.78,10.79,9.84,8.52,8.44,9.2,12.76,20.61,25.32
63,63,1097A,111.717,40.7612,化肥厂生活区,呼和浩特,27.67,25.22,21.2,13.93,11.86,11.83,8.97,8.25,9.89,11.98,18.45,22.63
64,64,1099A,123.505,41.7406,浑南东路,沈阳,54.73,45.05,34.0,25.53,20.77,16.53,11.47,14.26,19.46,21.74,30.23,37.62
65,65,1100A,123.4231,41.6989,新秀街,沈阳,51.52,42.7,32.87,24.95,22.64,19.43,16.38,17.18,25.38,28.36,34.92,40.34
