,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1001A,116.3621,39.8784,万寿西宫,北京,14.36,10.69,7.74,5.75,4.45,3.59,3.01,3.06
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,11.32,7.15,5.73,4.96,3.86,3.67,2.89,2.72
2,2,1003A,116.4174,39.9289,东四,北京,15.18,11.59,8.84,6.69,5.32,4.06,2.89,2.72
3,3,1004A,116.4072,39.8863,天坛,北京,11.82,8.94,6.84,5.48,3.88,3.26,2.7,2.64
4,4,1005A,116.462,39.9365,农展馆,北京,15.82,11.55,8.81,7.56,5.01,3.94,3.16,2.98
5,5,1006A,116.3392,39.9295,官园,北京,14.02,11.49,8.62,6.48,4.74,4.25,3.65,3.48
6,6,1007A,116.2878,39.9611,海淀万柳,北京,14.76,10.66,7.99,5.68,4.53,3.82,2.8,2.6
7,7,1008A,116.6636,40.135,顺义新城,北京,10.45,9.55,8.87,6.56,4.43,3.65,3.04,2.76
8,8,1009A,116.6275,40.3275,怀柔镇,北京,8.72,6.61,4.9,5.72,3.92,3.15,2.84,2.6
9,9,1010A,116.2296,40.217,昌平镇,北京,11.77,8.14,6.96,5.79,4.21,3.58,2.94,2.56
10,10,1011A,116.3966,39.9821,奥体中心,北京,14.31,10.84,8.36,5.99,4.7,3.86,3.03,2.73
11,11,1012A,116.184,39.9136,古城,北京,13.39,10.21,7.52,4.86,4.16,3.38,2.77,2.55
12,12,1015A,117.1444,39.1661,勤俭道,天津,33.71,24.95,16.56,12.76,10.74,8.48,9.89,8.08
13,13,1017A,117.237,39.1082,大直沽八号路,天津,32.73,21.31,14.85,11.68,10.62,7.81,8.05,8.31
14,14,1018A,117.202,39.0927,前进道,天津,32.6,18.57,16.67,12.11,11.01,9.13,9.1,8.23
15,15,1021A,117.307,39.0877,跃进路,天津,33.52,20.12,16.22,12.03,10.39,7.98,7.53,8.24
16,16,1023A,117.707,39.0343,第四大街,天津,25.17,19.45,15.4,11.51,11.15,9.16,8.03,8.29
17,17,1024A,117.457,38.8394,永明路,天津,27.38,18.32,16.33,12.64,10.3,8.31,8.93,9.71
18,18,1026A,117.764,39.1587,汉北路,天津,21.35,15.64,13.37,10.96,10.26,7.58,9.0,8.88
19,19,1027A,117.157,38.9194,团泊洼(对照点),天津,25.6,27.47,15.44,11.33,11.1,8.28,6.82,8.64
20,20,1029A,114.4422,38.0444,职工医院,石家庄,50.86,42.36,33.31,21.02,16.9,12.76,8.57,7.24
21,21,1030A,114.6063,38.0266,高新区,石家庄,45.18,41.59,38.48,23.69,16.66,13.5,9.61,7.29
22,22,1031A,114.4898,38.1328,西北水源,石家庄,43.81,34.35,31.75,22.05,15.72,10.66,6.97,6.85
23,23,1032A,114.4586,38.0058,西南高教,石家庄,43.35,41.23,28.14,22.98,15.55,11.58,8.52,6.72
24,24,1033A,114.5331,38.0178,世纪公园,石家庄,53.03,42.34,29.56,19.18,14.48,12.07,7.95,7.16
25,25,1034A,114.509,38.0457,人民会堂,石家庄,48.39,36.91,31.73,22.48,18.08,14.05,9.7,9.18
26,26,1037A,118.131,39.6363,雷达站,唐山,42.94,43.6,34.48,28.32,20.4,16.49,8.74,6.45
27,27,1040A,118.1705,39.6506,十二中,唐山,52.19,51.17,46.64,36.01,25.61,16.54,10.12,6.98
28,28,1041A,118.1869,39.622,小山,唐山,54.72,47.46,41.24,35.51,24.96,19.2,9.7,7.52
29,29,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,47.36,25.82,20.64,16.93,17.14,12.66,10.36,8.67
30,30,1043A,119.7493,40.0116,第一关,秦皇岛,40.87,31.25,28.48,21.16,22.34,17.46,12.04,10.0
31,31,1044A,119.5897,39.9499,监测站,秦皇岛,31.74,27.36,28.55,21.49,17.04,14.83,11.28,8.82
32,32,1046A,119.5251,39.9041,建设大厦,秦皇岛,35.87,25.6,27.45,20.97,18.29,14.97,12.08,7.59
33,33,1048A,114.5302,36.6116,东污水处理厂,邯郸,40.89,37.61,38.88,23.63,15.09,14.21,11.22,8.87
34,34,1049A,114.4918,36.5713,矿院,邯郸,55.02,49.91,37.68,21.35,14.88,12.66,10.09,8.97
35,35,1050A,114.484,36.6133,丛台公园,邯郸,47.36,43.0,37.07,20.28,15.53,15.44,10.2,8.91
36,36,1051A,115.493,38.8632,游泳馆,保定,62.66,41.74,32.4,21.67,14.14,10.68,8.12,8.12
37,37,1053A,115.4713,38.9108,接待中心,保定,45.05,34.44,22.51,16.94,11.24,11.32,7.1,7.37
38,38,1056A,115.5086,38.8639,监测站,保定,68.27,47.7,30.0,21.48,15.88,12.75,8.92,7.52
39,39,1057A,114.8883,40.8336,人民公园,张家口,30.85,19.7,13.88,12.0,11.58,12.35,8.34,6.18
40,40,1059A,114.8687,40.8042,五金库,张家口,38.72,21.94,17.34,15.09,10.79,10.48,10.02,7.95
41,41,1060A,114.8902,40.762,世纪豪园,张家口,32.99,24.42,12.9,11.94,9.92,11.17,9.14,4.43
42,42,1062A,117.9531,40.9081,铁路,承德,21.34,16.22,15.94,11.79,12.45,11.28,9.26,7.67
43,43,1063A,117.9392,40.9763,中国银行,承德,23.16,13.85,13.76,9.32,10.82,9.76,9.96,6.4
44,44,1064A,117.9503,40.928,开发区,承德,22.13,18.22,19.05,15.46,12.5,9.73,9.91,7.34
45,45,1067A,116.6708,39.5111,药材公司,廊坊,25.52,17.91,14.12,11.39,8.52,7.33,7.2,6.42
46,46,1070A,116.7244,39.5269,北华航天学院,廊坊,22.28,19.1,13.93,11.16,9.59,9.16,8.09,7.59
47,47,1071A,116.8842,38.2991,沧县城建局,沧州,44.34,42.99,27.1,23.13,16.69,11.2,8.39,9.26
48,48,1072A,116.8584,38.3254,电视转播站,沧州,42.31,29.04,32.99,24.76,18.61,11.21,7.8,9.13
49,49,1073A,116.8709,38.3228,市环保局,沧州,32.67,35.97,32.59,22.26,17.39,10.9,8.35,9.27
50,50,1074A,115.6838,37.7541,电机北厂,衡水,40.52,30.62,18.44,13.85,12.86,12.32,12.48,9.82
51,51,1075A,115.6303,37.7316,市监测站,衡水,31.07,29.78,18.48,13.59,12.07,12.33,12.06,11.71
52,52,1077A,114.4704,37.0886,达活泉,邢台,52.82,46.22,34.69,22.42,17.57,14.89,9.86,9.74
53,53,1079A,114.5237,37.0851,路桥公司,邢台,61.67,52.86,39.33,27.4,19.61,13.26,9.57,8.31
54,54,1081A,112.5139,37.8873,尖草坪,太原,56.19,51.16,44.13,22.66,19.76,15.43,12.91,11.42
55,55,1084A,112.469,37.7124,晋源,太原,67.48,71.63,61.09,33.23,23.49,18.41,14.7,12.65
56,56,1085A,112.5583,37.7394,小店,太原,68.75,77.09,70.51,36.38,29.59,24.21,17.42,14.07
57,57,1086A,112.5369,37.8692,桃园,太原,64.04,63.3,47.41,24.76,21.12,17.08,13.74,11.88
58,58,1087A,112.57,37.8195,坞城,太原,86.16,71.6,64.32,30.27,25.05,19.12,14.88,14.25
59,59,1088A,112.549,37.9854,南寨,太原,51.97,48.5,34.97,21.23,16.0,11.6,10.49,9.77
60,60,1091A,111.6572,40.8033,小召,呼和浩特,43.99,39.81,37.25,20.29,14.05,12.52,10.69,11.18
61,61,1094A,111.7516,40.8369,如意水处理厂,呼和浩特,29.86,27.18,27.58,18.55,14.42,12.15,10.12,9.33
62,62,1095A,111.7276,40.8062,二十九中,呼和浩特,24.31,20.99,22.97,16.31,14.21,12.53,10.29,10.08
63,63,1097A,111.717,40.7612,化肥厂生活区,呼和浩特,21.32,18.08,21.36,17.13,13.7,12.87,11.23,11.84
64,64,1099A,123.505,41.7406,浑南东路,沈阳,46.48,41.8,36.26,25.02,21.4,18.75,15.31,15.11
65,65,1100A,123.4231,41.6989,新秀街,沈阳,49.92,41.06,32.22,30.93,24.4,23.48,18.25,17.06
66,66,1102A,123.5903,41.8411,东陵路,沈阳,37.51,33.38,29.76,20.13,19.99,15.15,13.58,13.21
67,67,1103A,123.4264,41.8467,陵东街,沈阳,60.48,51.11,42.37,25.8,20.91,18.45,15.31,11.68
68,68,1104A,123.4114,41.7653,文化路,沈阳,91.11,57.62,41.9,27.82,25.35,20.8,17.65,17.36
69,69,1105A,123.4678,41.7867,小河沿,沈阳,66.2,55.12,40.99,23.35,19.27,15.66,13.67,12.59
70,70,1106A,123.4017,41.7972,太原街,沈阳,99.5,72.29,46.91,31.82,24.37,20.9,16.59,16.37
71,71,1108A,123.3783,41.9228,京沈街,沈阳,48.14,39.52,31.17,24.26,19.08,16.02,16.4,14.93
72,72,1109A,121.612,38.9741,甘井子,大连,26.79,27.06,17.21,11.82,11.72,11.7,8.59,8.33
73,73,1110A,121.565,38.9511,周水子,大连,40.03,36.54,22.24,12.84,11.69,9.87,9.23,9.1
74,74,1111A,121.5637,38.8845,星海三站,大连,40.58,32.38,17.38,11.91,10.97,9.07,8.45,8.72
75,75,1112A,121.6302,38.9117,青泥洼桥,大连,29.9,22.84,19.58,15.51,12.67,12.96,12.15,9.32
76,76,1113A,121.6251,38.8638,傅家庄,大连,36.21,27.29,15.15,12.33,10.78,11.84,9.94,8.68
77,77,1115A,121.2529,38.8061,旅顺,大连,24.2,21.97,16.36,9.1,8.87,9.33,10.35,8.13
78,78,1116A,121.7485,39.1311,金州,大连,21.31,25.85,16.77,10.79,10.64,10.92,9.93,8.54
79,79,1117A,121.7811,39.0496,开发区,大连,28.84,27.78,17.5,12.67,11.96,10.6,8.04,8.95
80,80,1119A,125.3325,43.9166,食品厂,长春,48.89,38.96,32.84,18.46,13.99,11.86,9.41,9.15
81,81,1120A,125.2863,43.9027,客车厂,长春,50.83,36.58,36.79,21.4,13.37,11.86,9.36,9.79
82,82,1121A,125.2841,43.8463,邮电学院,长春,42.73,33.47,32.77,19.86,11.45,10.52,10.01,9.11
83,83,1123A,125.3297,43.8805,园林处,长春,47.09,35.8,32.84,18.76,13.64,10.48,10.49,10.36
84,84,1126A,125.3863,43.8447,经开区环卫处,长春,30.24,27.17,25.86,15.9,11.94,9.91,9.49,9.11
85,85,1127A,125.245,43.7783,高新区管委会,长春,20.11,17.41,14.82,10.41,6.96,7.9,8.97,7.17
86,86,1128A,125.1761,43.8325,岱山公园,长春,21.83,18.96,21.18,11.08,8.99,8.58,7.41,6.96
87,87,1129A,126.5422,45.755,岭北(对照点),哈尔滨,32.39,16.42,17.23,14.27,15.76,15.86,15.7,11.24
88,88,1130A,126.561,45.8167,松北商大,哈尔滨,29.57,16.33,13.74,11.88,12.51,13.85,13.95,7.78
89,89,1131A,126.979,45.5419,阿城会宁,哈尔滨,18.99,29.6,15.18,9.93,11.32,14.94,15.94,13.94
90,90,1133A,126.689,45.7733,太平宏伟公园,哈尔滨,49.87,37.42,34.52,30.57,20.42,18.9,18.3,16.24
91,91,1134A,126.635,45.7667,道外承德广场,哈尔滨,48.82,33.31,30.96,24.09,15.36,15.54,16.4,13.82
92,92,1137A,126.593,45.7478,道里建国路,哈尔滨,40.79,26.49,24.22,19.14,15.92,18.91,16.39,15.48
93,93,1138A,126.615,45.61,平房东轻厂,哈尔滨,26.95,20.97,17.87,12.19,13.75,15.06,15.75,14.43
94,94,1142A,121.478,31.2036,十五厂,上海,16.73,14.36,10.76,8.28,6.86,5.12,5.16,5.91
95,95,1143A,121.467,31.3008,虹口,上海,18.16,14.9,11.54,9.86,7.23,6.84,5.48,5.15
96,96,1144A,121.412,31.1654,徐汇上师大,上海,15.48,13.03,11.65,10.4,6.65,5.79,5.6,6.62
97,97,1145A,121.536,31.2659,杨浦四漂,上海,15.55,14.84,11.07,10.43,5.78,7.33,6.51,6.46
98,98,1147A,121.425,31.2261,静安监测站,上海,14.31,13.48,11.94,10.26,6.38,5.92,4.73,5.17
99,99,1148A,121.703,31.1907,浦东川沙,上海,14.56,13.86,11.59,10.26,7.68,6.82,5.56,5.07
100,100,1149A,121.533,31.2284,浦东新区监测站,上海,18.69,15.87,12.15,10.06,7.55,6.6,6.8,5.61
101,101,1150A,121.577,31.2071,浦东张江,上海,19.48,17.6,12.39,9.12,6.34,7.05,6.49,4.29
102,102,1151A,118.8086,32.1065,迈皋桥,南京,18.03,22.26,15.2,10.06,9.5,7.46,6.05,4.58
103,103,1152A,118.7538,32.0551,草场门,南京,18.58,19.17,18.22,11.33,10.82,7.08,7.74,5.35
104,104,1153A,118.7794,32.0745,山西路,南京,20.39,20.06,16.04,10.62,10.61,7.44,6.4,4.5
105,105,1154A,118.7752,32.0023,中华门,南京,20.38,19.48,20.02,10.53,9.27,8.37,7.11,4.58
106,106,1155A,118.8109,32.0309,瑞金路,南京,22.75,19.9,17.06,9.92,11.6,7.97,6.74,4.92
107,107,1156A,118.7997,32.0754,玄武湖,南京,19.17,15.26,14.23,10.63,8.73,6.78,3.7,4.34
108,108,1158A,118.7356,31.9996,奥体中心,南京,19.49,12.51,15.52,10.4,10.39,5.16,5.06,5.64
109,109,1159A,118.9125,32.1028,仙林大学城,南京,15.89,13.49,13.56,8.06,9.36,4.9,4.5,5.53
110,110,1160A,120.561,31.2472,上方山(对照点),苏州,14.88,14.51,12.66,7.06,6.93,6.19,6.6,6.12
111,111,1163A,120.596,31.3264,轧钢厂,苏州,22.15,17.19,13.25,8.26,6.06,6.03,6.1,6.33
112,112,1164A,120.613,31.2703,吴中区,苏州,18.24,17.59,13.28,8.75,4.64,5.09,4.51,6.07
113,113,1166A,120.669,31.3097,苏州工业园区,苏州,18.97,16.88,15.81,8.02,6.61,5.92,6.5,5.91
114,114,1168A,120.9098,31.9663,狼山街道,南通,28.63,24.16,20.97,17.03,11.35,9.45,5.38,7.09
115,115,1169A,120.86,32.0005,虹桥,南通,29.44,24.43,18.95,14.4,8.44,7.63,6.84,7.5
116,116,1170A,120.87,32.02,城中,南通,35.1,29.54,24.55,20.35,14.14,10.09,7.85,6.8
117,117,1171A,120.94,31.93,星湖花园,南通,27.88,22.71,19.05,13.65,9.64,8.16,7.65,6.8
118,118,1172A,120.81,32.0417,紫琅学院,南通,26.08,24.25,22.47,16.62,9.88,8.61,6.7,7.59
119,119,1173A,119.176,34.5885,市环境监测站,连云港,25.79,24.41,18.51,15.53,12.52,11.4,9.77,7.04
120,120,1177A,117.179,34.2761,黄河新村,徐州,52.05,45.67,26.23,19.52,13.55,10.84,9.35,9.09
121,121,1178A,117.1918,34.2384,淮塔,徐州,37.93,31.12,16.43,12.45,9.61,9.34,7.23,9.69
