,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,14.04,11.59,10.08,6.04,5.41,4.47,3.09,2.56,3.08,3.35,6.42,8.97
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,10.89,8.52,6.92,4.51,3.89,3.58,2.99,3.3,2.91,3.39,5.45,7.08
2,2,1003A,116.4174,39.9289,东四,北京,13.59,11.62,10.83,6.89,6.23,4.94,3.19,3.04,3.91,4.43,7.72,9.73
3,3,1004A,116.4072,39.8863,天坛,北京,10.52,8.81,8.02,5.7,5.42,4.68,3.46,3.13,3.52,3.83,5.26,6.02
4,4,1005A,116.462,39.9365,农展馆,北京,15.12,12.26,10.76,6.89,6.15,5.16,3.42,4.83,4.26,4.31,7.0,9.5
5,5,1006A,116.3392,39.9295,官园,北京,14.59,12.02,10.31,6.75,6.16,4.86,3.19,3.0,3.55,4.14,6.74,9.9
6,6,1007A,116.2878,39.9611,海淀万柳,北京,13.96,11.87,10.14,6.12,5.47,4.45,3.05,2.69,3.06,3.28,5.85,9.39
7,7,1008A,116.6636,40.135,顺义新城,北京,11.6,10.11,9.48,6.65,5.31,4.19,2.81,2.68,3.12,3.59,6.62,7.9
8,8,1009A,116.6275,40.3275,怀柔镇,北京,8.17,7.06,6.72,4.84,4.42,3.66,2.97,3.83,3.62,3.9,4.68,4.82
9,9,1010A,116.2296,40.217,昌平镇,北京,12.77,10.4,8.14,5.12,4.32,3.71,2.81,2.76,3.11,3.07,5.22,7.52
10,10,1011A,116.3966,39.9821,奥体中心,北京,14.31,12.26,10.56,6.24,5.45,4.36,3.15,2.86,3.15,3.38,5.93,9.29
11,11,1012A,116.184,39.9136,古城,北京,13.41,10.95,9.55,5.41,5.1,4.08,2.83,2.77,2.84,3.1,5.52,8.02
12,12,1015A,117.1444,39.1661,勤俭道,天津,31.09,25.09,19.47,13.47,11.28,9.38,6.0,6.43,10.92,13.27,19.36,22.23
13,13,1017A,117.237,39.1082,大直沽八号路,天津,28.69,21.99,19.12,13.12,11.34,9.34,5.7,6.91,10.76,11.54,16.22,18.53
14,14,1018A,117.202,39.0927,前进道,天津,29.81,20.69,18.86,12.86,11.21,9.47,5.57,7.37,10.59,12.06,17.58,20.1
15,15,1021A,117.307,39.0877,跃进路,天津,29.86,23.65,18.09,12.4,10.31,9.26,5.23,6.7,10.59,11.5,16.58,19.63
16,16,1023A,117.707,39.0343,第四大街,天津,23.1,18.93,17.22,13.21,11.74,9.04,5.23,6.3,9.68,12.23,16.73,19.22
17,17,1024A,117.457,38.8394,永明路,天津,24.68,18.41,16.12,11.9,11.0,11.21,7.71,8.07,10.41,12.16,16.17,19.92
18,18,1026A,117.764,39.1587,汉北路,天津,17.18,14.31,14.87,11.77,10.78,8.97,6.14,8.34,10.72,11.78,15.03,15.52
19,19,1027A,117.157,38.9194,团泊洼(对照点),天津,23.46,20.1,17.78,12.75,11.3,10.37,6.49,8.34,11.49,13.69,16.96,19.99
20,20,1029A,114.4422,38.0444,职工医院,石家庄,54.41,38.68,29.66,21.57,19.27,14.59,9.26,8.2,16.69,16.91,26.27,34.62
21,21,1030A,114.6063,38.0266,高新区,石家庄,51.74,35.77,28.07,22.59,22.04,16.83,12.02,10.55,16.75,17.91,25.95,33.83
22,22,1031A,114.4898,38.1328,西北水源,石家庄,43.47,35.12,27.25,20.11,18.91,14.46,8.78,8.34,12.11,14.03,23.7,31.69
23,23,1032A,114.4586,38.0058,西南高教,石家庄,49.88,36.95,25.86,19.35,16.43,15.31,8.82,8.75,15.1,17.09,22.68,31.6
24,24,1033A,114.5331,38.0178,世纪公园,石家庄,49.37,36.69,29.14,20.03,19.91,17.93,11.99,11.61,14.26,13.18,20.87,32.75
25,25,1034A,114.509,38.0457,人民会堂,石家庄,50.45,37.91,27.86,21.36,21.26,15.27,11.82,10.33,15.46,17.82,24.34,32.04
26,26,1037A,118.131,39.6363,雷达站,唐山,40.24,30.97,29.78,26.25,22.89,22.86,16.12,15.54,19.04,20.48,26.96,30.84
27,27,1040A,118.1705,39.6506,十二中,唐山,43.49,38.71,36.26,32.86,28.83,27.8,21.61,21.17,24.92,26.48,32.08,33.51
28,28,1041A,118.1869,39.622,小山,唐山,42.62,34.49,35.3,31.12,28.03,30.94,25.09,22.81,24.39,23.85,28.9,32.74
29,29,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,40.43,28.34,25.51,17.31,14.22,12.09,9.85,12.21,13.79,17.49,21.82,26.37
30,30,1043A,119.7493,40.0116,第一关,秦皇岛,48.51,39.69,28.47,16.82,16.01,14.6,10.5,10.83,12.33,16.51,25.33,35.86
31,31,1044A,119.5897,39.9499,监测站,秦皇岛,36.07,28.4,26.83,18.36,17.06,13.6,11.02,13.08,13.53,16.9,22.47,24.54
32,32,1046A,119.5251,39.9041,建设大厦,秦皇岛,35.2,27.77,25.7,17.98,16.35,13.42,10.85,15.38,14.81,18.29,21.5,26.62
33,33,1048A,114.5302,36.6116,东污水处理厂,邯郸,50.09,35.31,20.92,20.49,18.44,17.85,11.78,14.5,16.49,18.39,23.96,37.43
34,34,1049A,114.4918,36.5713,矿院,邯郸,54.88,42.82,28.64,22.25,20.13,16.39,12.59,15.43,18.69,20.37,24.2,40.39
35,35,1050A,114.484,36.6133,丛台公园,邯郸,49.36,37.81,25.4,23.93,20.76,17.26,12.39,15.74,18.32,19.02,21.76,34.24
