,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1001A,116.3621,39.8784,万寿西宫,北京,14.35,10.69,7.73,5.8,4.42,3.58,3.03,3.05
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,11.3,7.16,5.69,4.97,3.83,3.68,2.87,2.72
2,2,1003A,116.4174,39.9289,东四,北京,15.2,11.66,8.84,6.74,5.29,4.06,2.88,2.71
3,3,1004A,116.4072,39.8863,天坛,北京,11.81,8.96,6.81,5.52,3.82,3.26,2.7,2.64
4,4,1005A,116.462,39.9365,农展馆,北京,15.81,11.61,8.76,8.55,4.97,3.93,3.16,2.97
5,5,1006A,116.3392,39.9295,官园,北京,14.0,11.54,8.58,6.52,4.69,4.24,3.65,3.49
6,6,1007A,116.2878,39.9611,海淀万柳,北京,14.71,10.7,7.96,5.71,4.47,3.81,2.78,2.58
7,7,1008A,116.6636,40.135,顺义新城,北京,10.45,9.59,8.82,6.62,4.39,3.66,3.02,2.74
8,8,1009A,116.6275,40.3275,怀柔镇,北京,8.69,6.65,4.88,6.49,3.85,3.14,2.82,2.59
9,9,1010A,116.2296,40.217,昌平镇,北京,11.76,8.18,6.93,5.81,4.15,3.57,2.93,2.56
10,10,1011A,116.3966,39.9821,奥体中心,北京,14.33,10.88,8.34,6.05,4.64,3.87,3.02,2.71
11,11,1012A,116.184,39.9136,古城,北京,13.4,10.21,7.55,4.9,4.12,3.37,2.77,2.55
12,12,1015A,117.1444,39.1661,勤俭道,天津,33.67,24.86,16.55,12.79,10.7,8.52,9.9,8.08
13,13,1017A,117.237,39.1082,大直沽八号路,天津,32.72,21.21,14.9,11.68,10.57,7.82,8.07,8.3
14,14,1018A,117.202,39.0927,前进道,天津,32.59,18.47,16.73,12.19,10.94,9.11,9.11,8.23
15,15,1021A,117.307,39.0877,跃进路,天津,33.53,20.15,16.21,12.07,10.33,7.99,7.48,8.23
16,16,1023A,117.707,39.0343,第四大街,天津,25.22,19.42,15.41,11.57,11.09,9.17,8.05,8.29
17,17,1024A,117.457,38.8394,永明路,天津,27.35,18.28,16.33,12.7,10.27,8.32,8.93,9.71
18,18,1026A,117.764,39.1587,汉北路,天津,21.43,15.58,13.37,11.05,10.14,7.59,9.0,8.88
19,19,1027A,117.157,38.9194,团泊洼(对照点),天津,25.72,27.64,15.47,11.35,11.06,8.29,6.85,8.66
20,20,1029A,114.4422,38.0444,职工医院,石家庄,50.67,42.54,33.18,20.97,16.83,12.75,8.56,7.25
21,21,1030A,114.6063,38.0266,高新区,石家庄,45.07,41.56,38.44,23.72,16.62,13.49,9.55,7.32
22,22,1031A,114.4898,38.1328,西北水源,石家庄,43.56,34.37,31.68,22.09,15.71,10.42,6.95,6.85
23,23,1032A,114.4586,38.0058,西南高教,石家庄,43.25,41.31,28.16,22.94,15.5,11.59,8.52,6.71
24,24,1033A,114.5331,38.0178,世纪公园,石家庄,52.96,41.99,29.4,19.18,14.46,12.08,7.93,7.16
25,25,1034A,114.509,38.0457,人民会堂,石家庄,48.27,37.0,31.62,22.52,18.07,14.05,9.69,9.17
26,26,1037A,118.131,39.6363,雷达站,唐山,42.97,43.54,34.41,28.28,20.35,16.51,8.74,6.42
27,27,1040A,118.1705,39.6506,十二中,唐山,52.08,51.06,46.62,35.87,25.58,16.48,10.08,6.98
28,28,1041A,118.1869,39.622,小山,唐山,54.82,47.41,41.22,35.36,24.97,19.23,9.72,7.52
29,29,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,47.85,25.74,20.61,16.93,17.1,12.63,10.35,8.68
30,30,1043A,119.7493,40.0116,第一关,秦皇岛,40.61,31.2,28.57,21.11,22.39,17.42,12.01,10.02
31,31,1044A,119.5897,39.9499,监测站,秦皇岛,31.71,27.35,28.57,21.46,17.0,14.81,11.26,8.83
32,32,1046A,119.5251,39.9041,建设大厦,秦皇岛,35.75,25.6,27.4,20.91,18.12,14.92,12.09,7.61
33,33,1048A,114.5302,36.6116,东污水处理厂,邯郸,40.78,37.7,38.73,23.67,15.05,14.23,11.23,8.87
34,34,1049A,114.4918,36.5713,矿院,邯郸,55.23,49.8,37.6,21.33,14.83,12.64,10.13,9.0
35,35,1050A,114.484,36.6133,丛台公园,邯郸,47.13,43.02,36.86,20.36,15.3,15.52,10.2,8.91
36,36,1051A,115.493,38.8632,游泳馆,保定,62.78,41.59,32.34,21.6,14.12,10.69,8.12,8.11
37,37,1053A,115.4713,38.9108,接待中心,保定,45.17,34.34,22.49,16.92,11.22,11.32,7.08,7.38
38,38,1056A,115.5086,38.8639,监测站,保定,68.4,47.55,29.87,21.42,15.84,12.75,8.92,7.52
39,39,1057A,114.8883,40.8336,人民公园,张家口,30.98,19.64,13.85,12.07,11.56,12.34,8.29,6.18
40,40,1059A,114.8687,40.8042,五金库,张家口,38.64,21.87,17.28,15.09,10.74,10.51,10.02,7.98
41,41,1060A,114.8902,40.762,世纪豪园,张家口,33.15,24.36,12.83,11.97,9.89,11.2,9.16,4.43
42,42,1063A,117.9392,40.9763,中国银行,承德,23.2,13.9,13.69,9.31,10.82,9.76,9.97,6.4
43,43,1064A,117.9503,40.928,开发区,承德,22.1,18.21,19.01,15.46,12.5,9.74,9.91,7.34
44,44,1067A,116.6708,39.5111,药材公司,廊坊,25.64,17.78,14.12,11.46,8.51,7.33,7.18,6.41
45,45,1070A,116.7244,39.5269,北华航天学院,廊坊,22.26,19.04,13.93,11.19,9.57,9.14,8.08,7.58
46,46,1071A,116.8842,38.2991,沧县城建局,沧州,44.42,43.07,27.06,23.05,16.65,11.21,8.41,9.25
47,47,1072A,116.8584,38.3254,电视转播站,沧州,42.44,29.13,32.98,24.71,18.59,11.2,7.85,9.13
48,48,1073A,116.8709,38.3228,市环保局,沧州,32.75,36.06,32.56,22.17,17.35,10.9,8.35,9.26
49,49,1074A,115.6838,37.7541,电机北厂,衡水,40.58,30.57,18.42,13.89,12.84,12.34,12.48,9.79
50,50,1075A,115.6303,37.7316,市监测站,衡水,31.06,29.7,18.46,13.65,12.07,12.35,12.06,11.68
51,51,1077A,114.4704,37.0886,达活泉,邢台,52.85,46.3,34.37,22.55,17.51,14.84,9.84,9.69
52,52,1079A,114.5237,37.0851,路桥公司,邢台,61.43,52.71,39.4,27.32,19.64,13.29,9.56,8.3
53,53,1081A,112.5139,37.8873,尖草坪,太原,56.29,51.55,43.54,22.66,19.69,15.45,12.91,11.37
54,54,1084A,112.469,37.7124,晋源,太原,67.08,72.08,60.63,33.16,23.42,18.4,14.69,12.62
55,55,1085A,112.5583,37.7394,小店,太原,68.89,77.2,70.32,36.4,29.42,24.27,17.36,14.0
56,56,1086A,112.5369,37.8692,桃园,太原,64.8,63.59,46.87,24.77,21.03,17.11,13.73,11.81
57,57,1087A,112.57,37.8195,坞城,太原,85.25,71.99,63.89,30.19,24.97,19.1,14.93,14.18
58,58,1088A,112.549,37.9854,南寨,太原,52.0,48.57,34.55,21.14,15.93,11.62,10.53,9.65
59,59,1091A,111.6572,40.8033,小召,呼和浩特,43.91,39.71,37.27,20.22,14.03,12.53,10.69,11.14
60,60,1094A,111.7516,40.8369,如意水处理厂,呼和浩特,29.74,27.18,27.6,18.49,14.41,12.14,10.15,9.34
61,61,1095A,111.7276,40.8062,二十九中,呼和浩特,24.34,21.02,22.94,16.3,14.22,12.53,10.3,10.07
62,62,1097A,111.717,40.7612,化肥厂生活区,呼和浩特,21.2,18.08,21.37,17.1,13.72,12.88,11.27,11.85
63,63,1099A,123.505,41.7406,浑南东路,沈阳,46.53,41.71,36.24,24.95,21.41,18.72,15.35,15.1
64,64,1100A,123.4231,41.6989,新秀街,沈阳,50.14,41.0,32.31,30.86,24.47,23.52,18.25,17.06
